District,Total population
AUGUSTOWSKI,62384.0
BIAŁOSTOCKI,110918.0
BIELSKI (BIELSK PODLASKI),141127.0
GRODZIEŃSKI,145585.0
ŁOMŻYŃSKI,145854.0
OSTROŁĘCKI,93503.0
OSTROWSKI (OSTRÓW MAZOWIECKA),87677.0
SOKÓLSKI,89308.0
SUWALSKI,90116.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),58178.0
WOŁKOWYSKI,115261.0
WYSOKOMAZOWIECKI,77755.0
BIAŁYSTOK (MIASTO),76792.0
BĘDZIŃSKI,188777.0
CZĘSTOCHOWSKI,145738.0
IŁŻECKI,137080.0
JĘDRZEJOWSKI,101508.72294206913
KIELECKI,179866.0
KONECKI,145628.0
KOZIENICKI,124257.0
MIECHOWSKI,148168.27705793089
OLKUSKI,136239.0
OPATOWSKI,162877.0
OPOCZYŃSKI,118377.0
PIŃCZOWSKI,120402.0
RADOMSKI,131840.0
SANDOMIERSKI,111863.0
STOPNICKI,140624.0
WŁOSZCZOWSKI,94245.0
ZAWIERCIAŃSKI,111418.0
CZĘSTOCHOWA (MIASTO),88894.0
SOSNOWIEC,86497.0
RADOM (MIASTO),61599.0
BIALSKI (BIAŁA KRAKOWSKA),0.0
BOCHEŃSKI,0.0
BRZESKI (BRZESKO),0.0
CHRZANOWSKI,0.0
DĄBROWSKI,0.0
GORLICKI,0.0
JASIELSKI,0.0
KRAKOWSKI,0.0
KRAKÓW (MIASTO),0.0
LIMANOWSKI,0.0
MIELECKI,0.0
MYŚLENICKI,0.0
NOWOSĄDECKI,0.0
NOWOTARSKI,0.0
ROPCZYCKI,0.0
TARNOWSKI,0.0
WADOWICKI,0.0
ŻYWIECKI,0.0
BIALSKI (BIAŁA PODLASKA),84427.5692441851
BIŁGORAJSKI,99588.0
CHEŁMSKI,121475.0
GARWOLIŃSKI,145269.0
HRUBIESZOWSKI,103810.0
JANOWSKI,131502.0
KRASNOSTAWSKI,117080.0
LUBARTOWSKI,96474.0
LUBELSKI,139548.0
ŁUKOWSKI,115781.0
PUŁAWSKI,148894.0
RADZYŃSKI,88000.49876440284
SIEDLECKI,133189.0
