District,Powierzchnia lasów (ha)
BRZOZOWSKI,14646.0
DOBROMILSKI,33799.897675740685
DROHOBYCKI,48974.37957605257
GRÓDECKI,25187.250857279592
JAROSŁAWSKI,24360.87486119144
JAWOROWSKI,22786.98106232853
KOLBUSZOWSKI,24940.455176736355
KROŚNIEŃSKI,18378.407811200268
LESKI,68488.0
LWOWSKI,23721.0
LWÓW (MIASTO),128.0
ŁAŃCUCKI,18148.668867415254
MOŚCISKI,11439.0
NIŻAŃSKI,41244.0
PRZEMYSKI,21795.0
PRZEWORSKI,4029.0
RAWSKI (RAWA RUSKA),28965.0
RUDECKI,7151.749142720406
RZESZOWSKI,22460.92332138448
SAMBORSKI,17206.10316676304
SANOCKI,33733.0
SOKALSKI,26269.3339259167
TARNOBRZESKI,30978.0
ŻÓŁKIEWSKI,25961.0
LUBACZOWSKI,34905.14407648003
TURCZAŃSKI,49551.6195814437
BRZEZIŃSKI,17041.0
KALISKI,23109.0
KOLSKI,9482.0
KONIŃSKI,29475.0
ŁASKI,27821.0
ŁĘCZYCKI,9223.0
ŁÓDZKI,11129.0
ŁÓDŹ (MIASTO),37.0
PIOTRKOWSKI,42610.0
RADOMSZCZAŃSKI,50149.0
SIERADZKI,27588.0
TURECKI,14370.0
WIELUŃSKI,42872.0
POŁUDNIOWO-WARSZAWSKI,0.0
PÓŁNOCNO-WARSZAWSKI,0.0
PRASKO-WARSZAWSKI,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0
BARANOWICKI,80442.0
BRASŁAWSKI,54249.0
LIDZKI,52646.0
NIEŚWIESKI,36584.0
NOWOGRÓDZKI,55673.42807841176
SŁONIMSKI,82014.0
STOŁPECKI,37432.571921588235
WOŁOŻYŃSKI,108787.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),52553.924688583465
BRZESKI (BRZEŚĆ N.BUG.),77119.97738265993
DROHICKI,41134.0
KOBRYŃSKI,39755.0
KOSZYRSKI,73331.0
ŁUNINIECKI,212674.0
PIŃSKI,165419.0
PRUŻAŃSKI,35278.0
STOLIŃSKI,167064.0
IWACEWICKI,132122.0
BRODNICKI,26034.202763942692
CHEŁMIŃSKI,7442.779847956762
CHOJNICKI,74682.37144962505
DZIAŁDOWSKI,5313.0
GRUDZIĄDZ (MIASTO),0.0
GRUDZIĄDZKI,7070.737326825085
KARTUSKI,28951.792366781458
KOŚCIERSKI,31492.970576899945
LUBAWSKI,13857.695971764928
SĘPOLEŃSKI,10382.0
STAROGARDZKI,36248.904873620384
ŚWIECKI,52309.690211173096
TCZEWSKI,8217.335616754825
TORUŃ (MIASTO),388.3111756983776
TORUŃSKI,13613.20947600848
TUCHOLSKI,39560.938111965814
WĄBRZESKI,7007.255016371008
MORSKI,41613.93125120989
GDYNIA (MIASTO),238.87396340220886
BYDGOSKI,48766.58355133261
BYDGOSZCZ (MIASTO),301.4164486673888
CHODZIESKI,23853.0
CZARNKOWSKI,39347.10166828612
GNIEŹNIEŃSKI,9039.870793642105
GOSTYŃSKI,7960.654080941273
INOWROCŁAWSKI,19557.44080375449
JAROCIŃSKI,15781.932384811713
KĘPIŃSKI,23580.44672040915
KOŚCIAŃSKI,12421.57330888851
KROTOSZYŃSKI,14576.584536059432
LESZCZYŃSKI,16157.982756967782
MIĘDZYCHODZKI,25424.0
MOGILEŃSKI,9632.909822038868
NOWOTOMYSKI,31578.602015096785
OBORNICKI,23337.01437719809
OSTROWSKI (OSTRÓW WIELKOPOLSKI),33944.22907045146
POZNAŃ (MIASTO),76.0
RAWICKI,6076.2493198200245
SZAMOTULSKI,31549.0
SZUBIŃSKI,16324.0
