District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce (sztuki),Kozy (sztuki)
GRÓDECKI,13569.821740215668,25887.167763156132,13489.054292893727,924.6509715566206,56.05424762971838
JAROSŁAWSKI,21846.740659044288,47990.83133613812,21183.820492900737,477.46428390006184,410.52068967355376
JAWOROWSKI,16056.761035046546,29431.098735030602,13703.106680308993,2205.810130221333,6.8870170292187565
KOLBUSZOWSKI,9169.324414422696,34034.088065773896,9092.315569388598,4.478800432221075,48.5932961877522
KROŚNIEŃSKI,10003.890040703745,46928.92387251793,15375.126205205235,1256.972718695757,831.8817399946545
LESKI,14007.0,49795.0,11018.0,4643.0,383.0
LWOWSKI,23413.0,49845.0,19200.0,137.0,284.0
LWÓW (MIASTO),1683.0,1406.0,466.0,26.0,114.0
ŁAŃCUCKI,13379.797416885207,38940.373571664946,15520.57549656674,1159.7111058488015,294.72868111255343
MOŚCISKI,15222.0,29816.0,14680.0,585.0,49.0
NIŻAŃSKI,8839.0,25517.0,13511.0,496.0,79.0
PRZEMYSKI,16842.0,43823.0,14681.0,412.0,571.0
PRZEWORSKI,7527.0,23131.0,10103.0,203.0,283.0
RAWSKI (RAWA RUSKA),20066.0,36344.0,26983.0,5469.0,99.0
RUDECKI,14448.178259784332,23692.832236843868,11075.945707106273,71.34902844337941,5.9457523702816175
RZESZOWSKI,17188.312542411048,70066.70255581712,27161.298298228026,386.31617545544145,834.3895788927921
SAMBORSKI,20019.338022536787,43121.13706631767,13422.32241991988,1777.7037422261146,192.06688110847915
SANOCKI,14910.0,42862.0,10837.0,1810.0,766.0
SOKALSKI,24704.284546263054,30643.905792454938,32674.88590345585,18467.980911307313,94.57995614955227
TARNOBRZESKI,1150.0,29892.0,20017.0,197.0,153.0
ŻÓŁKIEWSKI,17087.0,30748.0,22223.0,641.0,63.0
LUBACZOWSKI,15953.498305909166,28795.06992883128,18215.072826790274,3526.7255858786048,22.592293297227506
TURCZAŃSKI,14940.869645611914,52257.73299522065,9428.954185374543,10710.902033243776,585.6807600856159
BRZEZIŃSKI,12104.0,33561.0,20318.0,2081.0,130.0
KALISKI,18470.0,48148.0,23027.0,1907.0,978.0
KOLSKI,16445.0,38285.0,22383.0,2119.0,362.0
KONIŃSKI,29301.0,75763.0,45549.0,5657.0,2679.0
ŁASKI,15663.0,39088.0,19622.0,2571.0,199.0
ŁĘCZYCKI,19245.0,46210.0,27793.0,1643.0,277.0
ŁÓDZKI,11265.0,28620.0,11192.0,1314.0,291.0
ŁÓDŹ (MIASTO),4356.0,1923.0,422.0,22.0,359.0
PIOTRKOWSKI,23431.0,55162.0,31162.0,6739.0,376.0
RADOMSZCZAŃSKI,22973.0,52057.0,24437.0,7033.0,127.0
SIERADZKI,19666.0,52064.0,32996.0,1346.0,628.0
TURECKI,15201.0,39812.0,23210.0,1703.0,297.0
WIELUŃSKI,20202.0,54920.0,31120.0,3477.0,652.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,27006.0,48651.0,29209.0,27656.0,228.0
BRASŁAWSKI,28031.0,50284.0,28979.0,48686.0,369.0
LIDZKI,37013.0,74945.0,47176.0,55864.0,55.0
NIEŚWIESKI,23077.0,41047.0,36573.0,39043.0,38.0
NOWOGRÓDZKI,28471.71546731005,55303.75889924708,34662.062445825984,36846.919681655054,61.979857394667064
SŁONIMSKI,24391.0,45842.0,26501.0,50846.0,150.0
STOŁPECKI,20016.89126101744,40534.963190446826,33692.57471384895,28857.208511927736,43.201269896191775
WOŁOŻYŃSKI,18869.39327167251,37825.2779103061,31527.362840325062,27935.87180641721,63.818872709141154
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),23181.29232623459,42589.1295011823,19176.10280043168,35782.72025811514,5.7441164528044375
BRZESKI (BRZEŚĆ N.BUG.),34042.633270725055,70615.27569761714,39916.160345752425,55254.93458953461,229.351083482007
DROHICKI,16309.0,44338.0,30640.0,47606.0,12.0
KOBRYŃSKI,19261.0,68919.0,31937.0,58638.0,333.0
KOSZYRSKI,13146.0,57132.0,18941.0,59766.0,18.0
ŁUNINIECKI,19605.0,55692.0,29545.0,39025.0,157.0
PIŃSKI,30243.0,82289.0,43850.0,70188.0,188.0
PRUŻAŃSKI,19054.0,41504.0,21337.0,42759.0,213.0
STOLIŃSKI,22791.0,64789.0,32936.0,20781.0,171.0
IWACEWICKI,14885.0,37817.0,18059.0,26524.0,56.0
BRODNICKI,13709.678679288103,35184.28042188031,36603.390749721286,11085.236440772396,1047.8888782184463
CHEŁMIŃSKI,10433.608323508672,24303.742077926192,27954.344734311653,17492.898176784165,1114.470845596358
CHOJNICKI,8502.38770125324,25367.40805560771,25791.677268353116,14753.847124037407,1880.8065489446083
DZIAŁDOWSKI,5493.0,14178.0,11468.0,3153.0,259.0
GRUDZIĄDZ (MIASTO),530.0,194.0,59.0,1.0,1.0
GRUDZIĄDZKI,11508.295281039278,25350.34485552968,26182.081186529034,11714.761593793235,962.8571172980742
KARTUSKI,9797.003485261488,25379.860642966414,32695.469625398957,10843.431197309246,790.2171601293393
KOŚCIERSKI,8136.558330166278,22565.837986395138,26173.406363841485,11541.929699596232,1530.8180994042027
LUBAWSKI,12560.698636637178,32528.693165003944,32839.01178666784,6679.055906524527,1825.4036568464614
SĘPOLEŃSKI,6512.0,20527.0,22740.0,17248.0,1637.0
STAROGARDZKI,10618.313518843335,25304.124061791772,27624.60352619075,7864.472112536301,2760.864007010259
ŚWIECKI,14574.376150213864,34571.1392068682,49375.117258016384,11413.957058896247,3587.9672301821743
TCZEWSKI,8736.638574884848,17171.73696915956,17690.65071285703,9388.48449608638,1567.8139052475958
TORUŃ (MIASTO),659.9467096486215,524.4413722540966,750.2764499483857,108.0435557954656,301.9438010706829
TORUŃSKI,10322.439051377896,25316.02830126604,22940.244518421652,12336.482020098105,903.9828769810251
TUCHOLSKI,7216.213184482749,18953.243329341716,23657.21787334581,7905.954487935557,1743.1769942003766
WĄBRZESKI,10149.314945103883,25806.885983431417,26898.179797456407,5406.565211502598,776.8053464802582
MORSKI,9558.093666238565,25844.489830117473,29952.352716270703,12597.964487524112,1073.9066379104318
GDYNIA (MIASTO),235.4337620520024,334.7437404603456,296.9754326695021,98.91643080802926,9.07689447970684
BYDGOSKI,11649.041342060327,31329.42790941989,34997.993202347185,9331.002804604363,1985.8927401354663
BYDGOSZCZ (MIASTO),1567.9586579396719,1152.5720905801088,1519.006797652813,45.99719539563573,1092.1072598645335
CHODZIESKI,8200.0,23917.0,25689.0,5262.0,2077.0
CZARNKOWSKI,6212.268498044261,17183.34958451889,23191.347263526834,2818.1496051054355,2994.2666150703867
GNIEŹNIEŃSKI,13579.673139964796,38410.697556317,47710.97689149765,7364.542279823354,2822.739969397189
GOSTYŃSKI,9626.673311341872,28294.25396658285,25733.769854749724,5505.154401589184,2332.2856031181773
INOWROCŁAWSKI,11295.783658148226,32193.03293823081,28757.855107940966,10245.128230665516,1683.425284373804
JAROCIŃSKI,13732.73079956447,38606.259677796996,32269.491143529347,11111.402642361394,4221.313288978672
KĘPIŃSKI,12972.644274888815,36247.290001366535,33152.2926272843,1951.7415299951483,4986.706979633298
KOŚCIAŃSKI,13596.632723575261,43853.98428993055,36431.02621363933,5839.239097530879,5249.7122456708075
KROTOSZYŃSKI,12227.94547955805,36937.052224139734,31565.403748629455,3822.6571910825587,2728.9496496990423
LESZCZYŃSKI,8781.823347755582,29344.87517958381,27237.063302929462,2070.357259699825,3043.7088624618823
MIĘDZYCHODZKI,5525.0,15460.0,15632.0,1495.0,2577.0
MOGILEŃSKI,17111.592267408472,44135.21986209667,41872.7303657456,12218.424670678729,4625.888600507296
NOWOTOMYSKI,12519.479304400738,46275.53781981577,45285.6067106221,5705.432666863508,7621.911420450855
OBORNICKI,10020.083806867684,29710.976690878684,38703.10177097059,6600.6100201940835,3071.0406298535686
OSTROWSKI (OSTRÓW WIELKOPOLSKI),11511.421162391513,39030.78848951282,30787.13437587539,2280.104678964867,3602.1533604693977
POZNAŃ (MIASTO),2305.0,912.0,599.0,138.0,169.0
RAWICKI,6578.439484326638,23209.93656153052,21459.010345820247,534.0898128037971,2465.422026094446
SZAMOTULSKI,11143.0,28895.0,32066.0,8114.0,4360.0
SZUBIŃSKI,9755.0,27832.0,29601.0,6055.0,1494.0
ŚREDZKI,10570.0,27748.0,29586.0,4724.0,2127.0
ŚREMSKI,9994.689416597803,27879.55960955618,24241.808387542747,3822.2533859723485,2677.7479838742784
WĄGROWIECKI,12463.0,32462.0,41676.0,6589.0,2322.0
WOLSZTYŃSKI,7170.0,24143.0,25993.0,2070.0,4343.0
WRZESIŃSKI,8377.0,24699.0,24099.0,1928.0,1409.0
WYRZYSKI,12980.0,35162.0,38710.0,19714.0,2530.0
ŻNIŃSKI,9271.283085495184,24926.419338661384,31321.76406519216,4525.471186684756,1822.5462468504631
POZNAŃSKI,13138.051423118899,34775.94289313951,36025.514250259526,3516.6748584994693,4067.701201119274
GNIEZNO (MIASTO),568.5684746999624,245.85625457209477,366.95868218553994,24.694712150664532,253.90531675096767
INOWROCŁAW (MIASTO),576.2163418517742,611.9670617691925,750.1448920590317,116.87176933448373,274.5747156261959
DOLIŃSKI,9410.417154206798,39566.52667109677,8780.255291201878,15144.890107551566,527.0444672404782
HORODEŃSKI,17873.088999439355,21576.51307744137,17975.393531980844,19320.941717121805,556.3417912494479
KAŁUSKI,9919.410144080875,30754.071109282868,10996.097485446257,4604.455317623504,305.31504998081897
KOŁOMYJSKI,18072.911000560645,42202.48692255863,26627.606468019156,15428.058282878195,1218.6582087505521
KOSOWSKI (KOSÓW HUCULSKI),6600.0,33447.0,16332.0,61629.0,963.0
NADWÓRNIAŃSKI,11430.495748304907,35040.23332929342,14456.989488250181,13897.83980003415,1259.6260060587304
ROHATYŃSKI,20288.0,39908.0,23048.0,872.0,641.0
STANISŁAWOWSKI,15429.578561862827,39997.458305272885,16539.322404178973,1737.1809743304132,713.8394469931783
STRYJSKI,13878.885585665019,47658.07042867711,12734.522409935822,8475.638781704922,341.39573051911407
ŚNIATYŃSKI,9430.0,18011.0,13321.0,7914.0,990.0
TŁUMACKI,14677.778262442353,30288.700223558793,16356.647792192143,2875.3846528910926,372.8629155378501
ŻYDACZOWSKI,11306.697260128181,29776.402900226123,10501.2222988623,174.47111074351244,108.55980224040775
BIELSKI (BIELSKO),2542.0,15793.0,9851.0,197.0,750.0
BIELSKO (MIASTO),227.0,102.0,69.0,0.0,22.0
CIESZYŃSKI,3677.0,24942.0,17762.0,3232.0,1582.0
TARNOGÓRSKI,1234.0,3918.0,2865.0,32.0,3135.0
KATOWICE (MIASTO),1283.0,715.0,2210.0,13.0,1613.0
KATOWICKI,2038.9898072231458,1892.9049968923516,3434.3210865039437,3.541449947413193,6770.366936967172
LUBLINIECKI,3825.0,14935.0,9600.0,108.0,913.0
PSZCZYŃSKI,7679.0,36457.0,21759.0,113.0,7058.0
RYBNICKI,7760.0,32673.0,27584.0,285.0,12667.0
ŚWIĘTOCHŁOWICKI,1858.476269727477,1000.1122298957185,4298.71073617579,14.765436464995844,6213.295664470252
CHORZÓW,1016.5339230493771,470.9827732119297,1538.9681773202656,0.6931135875909622,2045.3373985625765
BORSZCZOWSKI,18715.59779991483,29695.533292607055,30014.44849651851,20396.792763744354,760.8686809368972
BRODZKI,15115.911359451362,30540.14540715414,25408.764277134924,5457.265161488002,165.75092306469702
BRZEŻAŃSKI,19034.02854400165,30225.401780979842,17706.080982371936,2170.914232603711,668.9287528748057
BUCZACKI,20299.256134182175,38080.150241548465,20281.562724157706,2952.8335396389157,1016.3881091833019
CZORTKOWSKI,14412.335583920358,23506.68384802613,19399.22565930697,2170.4128831182893,457.82042511129254
KAMIONECKI,15814.854406394947,30003.05838295002,22458.119306579905,1781.0439101273248,47.72467925002002
PODHAJECKI,18030.402427426707,30798.324254446412,15376.264831516935,1557.9904610351423,609.9449834946836
PRZEMYŚLAŃSKI,14860.0,30831.0,16815.0,818.0,251.0
RADZIECHOWSKI,14185.088640548638,23828.854592845862,28773.235722865076,11440.734838511999,61.24907693530299
SKAŁACKI,17589.340687294807,23891.82162742736,19899.43672205137,1307.362041647946,285.10060953039596
TARNOPOLSKI,23663.856678054974,35918.3166337232,22538.272105274624,1286.0374197113572,508.7852898369692
TREMBOWELSKI,14781.231162822827,23849.868669141062,16086.75450466965,339.4423936398136,301.3907497910492
ZALESZCZYCKI,11030.746736127938,15725.810854348621,13593.971874461778,12785.24346108687,542.3691746022661
ZBARASKI,15958.0,22013.0,13269.0,4451.0,139.0
ZBOROWSKI,15951.0,27845.0,19527.0,1044.0,238.0
ZŁOCZOWSKI,17653.861047341998,36148.03582459504,21695.994789964243,2038.9751785653616,196.6953646004277
KOPYCZYNIECKI,16221.941529562779,27428.62583034387,23302.924929602974,1270.1100588944444,537.7598060677609
BŁOŃSKI,13113.0,29766.0,15672.0,211.0,95.0
CIECHANOWSKI,16109.0,34939.0,14714.0,2016.0,12.0
GOSTYNIŃSKI,12314.0,30979.0,16368.0,2132.0,183.0
GRÓJECKI,21359.0,49848.0,41580.0,2086.0,212.0
KUTNOWSKI,14583.0,34320.0,17993.0,2066.0,187.0
LIPNOWSKI,17764.0,43567.0,30543.0,6182.0,213.0
ŁOWICKI,16984.0,45668.0,22096.0,2835.0,133.0
MAKOWSKI (MAKÓW MAZOWIECKI),13165.0,25351.0,13299.0,1794.0,48.0
MIŃSKI,12523.0,32727.0,26708.0,1385.0,49.0
MŁAWSKI,17690.0,38777.0,16500.0,1344.0,137.0
NIESZAWSKI,17671.0,38409.0,25186.0,5485.0,416.0
PŁOCKI,21180.0,44324.0,27106.0,2404.0,78.0
PŁOŃSKI,16196.0,36963.0,22718.0,4525.0,25.0
PRZASNYCKI,13346.0,29620.0,9988.0,2760.0,33.0
PUŁTUSKI,17561.0,41004.0,26586.0,1936.0,60.0
RADZYMIŃSKI,9702.0,24174.0,11876.0,331.0,9.0
RAWSKI (RAWA MAZOWIECKA),13430.0,33017.0,26252.0,6933.0,103.0
RYPIŃSKI,15176.0,34611.0,27308.0,4273.0,55.0
SIERPECKI,15140.0,38184.0,21026.0,2568.0,75.0
SKIERNIEWICKI,8927.0,24323.0,15338.0,2269.0,42.0
SOCHACZEWSKI,10989.0,28517.0,16191.0,155.0,35.0
WARSZAWSKI,16571.0,27774.0,15171.0,352.0,201.0
WŁOCŁAWSKI,16352.0,33422.0,21275.0,7618.0,371.0
DUBIEŃSKI,55161.0,66967.0,66848.0,4004.0,167.0
HOROCHOWSKI,31293.0,34412.0,30698.0,1576.0,24.0
KOWELSKI,49063.0,102587.0,48431.0,43233.0,143.0
KRZEMIENIECKI,56851.0,62653.0,35217.0,16230.0,230.0
LUBOMELSKI,17449.0,36629.0,16979.0,17762.0,11.0
ŁUCKI,60642.0,102527.0,74180.0,17261.0,173.0
RÓWIEŃSKI,52200.0,64741.0,54846.0,12367.0,501.0
WŁODZIMIERSKI,36316.0,46855.0,29365.0,5224.0,73.0
KOSTOPOLSKI,27552.0,76610.0,39812.0,27311.0,703.0
ZDOŁBUNOWSKI,25350.0,30213.0,27360.0,4911.0,286.0
SARNEŃSKI,23252.0,84112.0,42994.0,24379.0,131.0
OSZMIAŃSKI,21197.963294025325,41254.237240604794,34474.83409106807,36232.19884577531,117.55614572304674
ŚWIĘCIAŃSKI,28174.0,49991.0,28756.0,51040.0,256.0
WILNO (MIASTO),545.0,938.0,468.0,46.0,22.0
DZIŚNIEŃSKI,31248.0,54480.0,39948.0,58674.0,286.0
WILEJSKI,23540.0,49954.0,37335.0,28632.0,118.0
WILEŃSKO-TROCKI,37036.03670597467,79581.7627593952,58030.16590893192,50363.80115422468,359.44385427695323
POSTAWSKI,22947.0,40438.0,22146.0,40836.0,260.0
MOŁODECZAŃSKI,15874.0,31897.0,26274.0,27648.0,94.0
