District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VR,Kategoria VPR,Kategoria VIR,Kategoria VIPR,Kategoria VIIR,Kategoria VIIPR,Kategoria VIIIR,Kategoria VIIIPR,R,PR
BIŁGORAJSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,8.0,2.0,41.0,5.0,234.0,23.0,294.0,31.0
CHEŁMSKI,1.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,19.0,3.0,34.0,1.0,42.0,3.0,630.0,44.0,736.0,52.0
GARWOLIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,29.0,1.0,47.0,2.0,626.0,51.0,713.0,54.0
HRUBIESZOWSKI,2.010161633213797,0.0,0.0,0.0,0.0,0.0,2.010161633213797,0.0,9.091454698924172,0.0,22.16258613142075,0.0,36.17274776463454,4.050808166068984,413.75980428910486,20.213394297489735,485.2069161505119,24.264202463558718
JANOWSKI,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,34.0,1.0,45.0,4.0,419.0,39.0,506.0,44.0
KRASNOSTAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,2.0,33.0,1.0,36.0,2.0,437.0,29.0,515.0,34.0
LUBARTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,19.0,0.0,18.0,1.0,412.0,6.0,457.0,7.0
LUBELSKI,2.947391253617592,0.0,3.9298550048234557,0.0,5.894782507235184,0.0,19.64927502411728,0.9824637512058639,30.456376287381783,0.9824637512058639,71.71985383802807,2.947391253617592,168.00130145620273,7.8597100096469115,1438.3269317653849,95.2989838669688,1740.925767136791,108.07101263264504
ŁUKOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,23.0,1.0,21.0,5.0,477.0,34.0,529.0,40.0
PUŁAWSKI,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,27.0,2.0,65.0,5.0,662.0,31.0,767.0,39.0
RADZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,3.982779048184693,0.0,7.965558096369386,0.9956947620461732,23.89667428910816,0.9956947620461732,38.832095719800755,11.94833714455408,480.9205700683017,42.81487476798545,555.5976772217647,56.75460143663187
SIEDLECKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.359782699259972,0.0,33.3315224938331,1.0,43.78478339358642,1.0,615.184788948198,25.26630449876662,698.6608775348775,29.26630449876662
SOKOŁOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,11.0,1.0,14.0,0.0,332.0,22.0,362.0,23.0
TOMASZOWSKI,0.9898383667862032,0.0,0.0,0.0,0.0,0.0,0.9898383667862032,0.0,8.90854530107583,0.0,15.837413868579251,0.0,16.827252235365453,4.949191833931016,366.2401957108952,20.78660570251027,409.79308384948814,25.735797536441282
WĘGROWSKI,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,18.0,0.0,23.0,1.0,336.0,20.0,386.0,21.0
WŁODAWSKI,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,4.0,1.0,12.0,0.0,23.0,4.0,656.0,36.0,702.0,41.0
ZAMOJSKI,1.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,24.0,0.0,33.0,2.0,49.0,2.0,516.0,46.0,636.0,50.0
LUBLIN (MIASTO),0.05260874638240837,0.0,0.07014499517654449,0.0,0.10521749276481673,0.0,0.35072497588272245,0.017536248794136122,0.5436237126182197,0.017536248794136122,1.280146161971937,0.05260874638240837,2.998698543797277,0.14028999035308898,25.673068234615283,1.701016133031204,31.074232863209208,1.9289873673549733
BÓBRECKI,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,0.0,26.0,2.0,16.0,2.0,305.0,4.0,356.0,9.0
BRZOZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,2.0,24.0,2.0,203.0,9.0,249.0,13.0
DOBROMILSKI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,8.476662771426305,0.0,13.271100723803482,2.0,23.542201447606963,0.0,191.08537507608548,3.3177751809508704,239.37534001892226,5.31777518095087
DROHOBYCKI,2.0,0.0,2.0,0.0,2.113263483919139,0.0,22.05663174195957,0.0,34.45305393567656,3.0,227.79284438743397,5.0,49.79284438743397,9.0,581.0267829745582,65.73621264547441,921.2354209109814,82.73621264547441
GRÓDECKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0180825432394607,0.0,6.0,0.0,16.360149760393647,1.0473415839706204,11.382502755377045,2.06755935308205,218.7718826255725,32.39845007274454,253.53261768458262,35.513351009797205
JAROSŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,4.871884407693808,0.0,5.00022713508343,1.9487537630775233,17.07777789571744,0.02566854547792441,18.334508777513367,2.077096490467145,240.01398602387175,6.616317653570302,285.2983842398798,10.667836452592894
JAWOROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052841898433250614,0.0,11.565973962087918,0.9567855770495598,13.574660533366888,1.94527629315907,192.03842868429317,12.61787495631733,217.23190507818123,15.519936826525958
KOLBUSZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.020817410096568442,0.0,9.015613057572427,0.0,5.083269640386273,0.0052043525241421106,10.041634820193137,2.0052043525241423,276.1917967280285,2.0312261151448525,300.35313165627696,4.041634820193137
KROŚNIEŃSKI,0.0,0.0,1.0,0.0,1.0,0.0,3.172726899815522,0.39090896660517405,15.86363449907761,0.0,45.69090759926209,4.563635866420697,29.72726899815522,5.736362766236218,341.7090677885624,26.127271732841393,438.1636057848728,36.81817933210348
LESKI,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,3.0,22.0,3.0,24.0,2.0,234.0,10.0,293.0,18.0
LWOWSKI,1.0,0.0,0.0,0.0,3.0,1.0,7.0,0.0,23.0,1.0,37.0,1.0,59.0,1.0,542.0,25.0,672.0,29.0
LWÓW (MIASTO),2.0,1.0,0.0,0.0,9.0,0.0,27.0,1.0,65.0,2.0,129.0,3.0,237.0,7.0,2807.0,36.0,3276.0,50.0
ŁAŃCUCKI,0.0,0.0,0.0,0.0,1.0,0.0,7.109730009590978,0.0,8.219460019181955,1.0274325023977444,20.932705081523313,3.0274325023977444,26.20703010550076,6.109730009590978,330.344626078985,18.35662253117068,393.81355129478203,28.521217545557146
MOŚCISKI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,14.0,0.0,11.0,0.0,193.0,2.0,224.0,2.0
NIŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,15.0,0.0,5.0,1.0,165.0,5.0,195.0,6.0
PRZEMYSKI,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,15.0,1.0,37.0,2.0,82.0,3.0,746.0,30.0,886.0,36.0
PRZEWORSKI,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,11.0,0.0,3.0,1.0,141.0,2.0,162.0,4.0
RAWSKI (RAWA RUSKA),0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,42.0,0.0,20.0,0.0,488.0,0.0,557.0,0.0
RUDECKI,0.0,0.0,0.0,0.0,0.0,0.0,1.9819174567605393,0.0,0.0,0.0,12.882463468943506,2.9728761851408088,10.900546012182966,2.9728761851408088,301.251453427602,14.864380925704046,327.016380365489,20.81013329598566
RZESZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,5.7175430905935,0.609091033394826,16.916905481740432,0.9725674976022555,40.376387319214594,3.4089316311815594,61.065700896344026,8.153907224172803,550.9463061324526,17.516105735987928,675.022842920345,30.660603122339374
SAMBORSKI,0.0,0.0,0.0,0.0,1.8867365160808607,0.0,0.9433682580404303,0.0,8.52346384164206,0.0,15.811203018749005,0.0,18.415250424931983,0.0,312.21854070787106,12.91479920607134,357.7985627673154,12.91479920607134
SANOCKI,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,0.0,30.0,0.0,18.0,0.0,354.0,9.0,419.0,9.0
SOKALSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.9867354573542824,0.0,7.964627886278087,0.9955784857847608,55.752395203946605,1.9911569715695216,31.858511545112346,3.9823139431390433,342.4789991099577,17.920412744125695,441.04126920264906,24.88946214461902
TARNOBRZESKI,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,8.0,1.0,19.0,3.0,10.0,2.0,307.0,26.0,351.0,32.0
ŻÓŁKIEWSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.786554130121454,0.0,10.217365143778665,0.9288513767071513,21.36358166426448,0.9288513767071513,39.94060919840751,1.8577027534143027,358.53663140896043,14.861622027314422,432.84474154553254,18.577027534143028
LUBACZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.12811559230619188,0.0,4.946930966483319,0.05124623692247675,20.113634912857496,0.9973281083610864,30.80778192155973,4.937191678150927,353.92424923866065,29.50297639166379,409.9207126318674,35.48874241509828
TURCZAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,10.546819451255077,2.0,16.124851870013536,1.0,23.249703740027076,2.0,251.66930124148524,13.031212967503384,303.59067630278093,18.031212967503386
BRZEZIŃSKI,2.0,0.0,2.0,0.0,6.0,1.0,11.0,2.0,26.0,1.0,42.0,2.0,69.0,9.0,783.0,50.0,941.0,65.0
KALISKI,4.0,0.0,1.0,0.0,1.0,0.0,28.0,0.0,50.0,4.0,76.0,7.0,116.0,10.0,1014.0,118.0,1290.0,139.0
KOLSKI,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,11.0,2.0,30.0,2.0,31.0,1.0,654.0,20.0,734.0,25.0
KONIŃSKI,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,23.0,0.0,47.0,2.0,41.0,2.0,1166.0,72.0,1286.0,76.0
ŁASKI,2.0,0.0,2.0,0.0,1.0,0.0,29.0,0.0,41.0,0.0,68.0,0.0,144.0,7.0,856.0,29.0,1143.0,36.0
ŁĘCZYCKI,4.0,0.0,3.0,0.0,1.0,0.0,6.0,0.0,8.0,2.0,28.0,0.0,39.0,0.0,513.0,59.0,602.0,61.0
ŁÓDZKI,4.0,0.0,4.0,0.0,4.0,0.0,40.0,1.0,73.0,4.0,79.0,6.0,180.0,9.0,854.0,112.0,1238.0,132.0
ŁÓDŹ (MIASTO),26.0,0.0,29.0,0.0,45.0,4.0,293.0,11.0,348.0,25.0,331.0,28.0,862.0,82.0,6266.0,702.0,8200.0,852.0
PIOTRKOWSKI,4.0,0.0,3.0,0.0,1.0,0.0,15.0,1.0,23.0,2.0,70.0,4.0,104.0,4.0,744.0,23.0,964.0,34.0
RADOMSZCZAŃSKI,2.0,0.0,2.0,0.0,0.0,0.0,12.0,0.0,25.0,0.0,51.0,0.0,56.0,6.0,722.0,34.0,870.0,40.0
SIERADZKI,0.0,0.0,1.0,0.0,1.0,0.0,27.0,4.0,42.0,3.0,86.0,5.0,122.0,10.0,948.0,76.0,1227.0,98.0
TURECKI,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,20.0,1.0,21.0,3.0,378.0,64.0,427.0,68.0
WIELUŃSKI,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,24.0,0.0,47.0,5.0,509.0,44.0,588.0,50.0
POŁUDNIOWO-WARSZAWSKI,3.75103469208922,0.0,2.387022076784049,1.023009461478878,19.09617661427239,0.6820063076525854,123.44314168511796,6.138056768873269,180.73167152793513,9.889091460962488,184.48270622002434,7.843072538004733,618.2387178870687,46.035425766549515,4654.693049728896,424.20792335990814,5786.823520432187,495.8185856634296
PÓŁNOCNO-WARSZAWSKI,3.2498108883428336,0.0,2.0680614743999852,0.8863120604571364,16.544491795199882,0.5908747069714243,106.9483219618278,5.317872362742818,156.58179734742745,8.567683251085652,159.83160823577026,6.79505913017138,535.6279218695961,39.88404272057114,4032.7198750799707,367.5240677362259,5013.571888652536,429.56591196822546
PRASKO-WARSZAWSKI,3.0826690089040785,0.0,1.9616984602116863,0.8407279115192942,15.69358768169349,0.5604852743461961,101.4478346566615,5.044367469115765,148.52859770174197,8.127036478019843,151.61126671064605,6.4455806549812555,508.0799011948268,37.83275601836824,3825.3119974127885,348.621840643334,4755.717552827474,407.47279444968456
ŚRÓDMIEJSKO-WARSZAWSKI,0.9164854106638698,0.0,0.5832179886042808,0.24995056654469178,4.665743908834246,0.16663371102979452,30.160701696392806,1.4997033992681508,44.157933422895546,2.4161888099320206,45.07441883355942,1.916287676842637,151.05345904850873,11.24777549451113,1137.2750777783476,103.64616826053219,1413.8870380878066,121.14270791866062
BARANOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,4.896002389721822,0.0,2.9376014338330934,0.0,11.750405735332373,1.958400955888729,67.56483297816115,9.792004779443644,536.6018619135117,85.19044158115972,623.7507044505602,96.94084731649208
BRASŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0,0.0,25.0,0.0,44.0,1.0,216.0,26.0,296.0,27.0
LIDZKI,0.0,0.0,0.6768571650517,0.0,0.6768571650517,0.0,6.0917144854653005,0.0,12.8602861359823,0.6768571650517,27.7511437671197,2.0305714951551,88.6682886217727,7.4454288155687,621.3548775174606,31.135429592378202,758.080024857904,41.2882870681537
NIEŚWIESKI,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,20.0,3.0,42.0,5.0,657.0,42.0,724.0,50.0
NOWOGRÓDZKI,0.012892860456145601,0.0,0.0,0.0,0.012892860456145601,0.0,2.0515714418245823,0.012892860456145601,6.077357162736874,1.0257857209122911,26.283642930035203,3.012892860456146,91.58017872052655,5.103142883649165,664.6873580904577,75.91539309238634,790.7058940664931,85.07010741786009
SŁONIMSKI,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,13.0,2.0,24.0,9.0,101.0,21.0,515.0,34.0,658.0,67.0
STOŁPECKI,0.1473851302130497,0.0,0.0,0.0,1.1473851302130498,0.0,2.693538131130376,0.1473851302130497,6.946709347445204,0.2947702604260994,17.49206712935472,0.18898417432432058,55.06749788142608,7.387076262260752,342.55028532742045,34.27390266396681,426.0448680772029,42.29211849119103
WOŁOŻYŃSKI,0.8397220093308047,0.0,0.0,0.0,0.8397220093308047,0.0,3.3588880373232186,0.8397220093308047,5.038332055984828,1.6794440186616093,18.473884205277702,0.8397220093308047,37.78749041988621,6.717776074646437,240.16049466861014,59.62026266248713,306.4985334057437,69.69692677445678
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0,0.0,0.32314283494830004,0.0,0.32314283494830004,0.0,3.964951887951284,0.0,8.18260218595643,0.5344761096316168,15.432633404607907,1.110317354633778,47.262821120838026,4.047682158692373,381.7419877550216,20.14790227470472,457.2312820242719,25.84037789766249
BRZESKI (BRZEŚĆ N.BUG.),0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,16.032914076438157,0.0,20.274283970317963,7.0,84.28525532913068,3.0,1006.3039853506709,76.0548567940636,1133.8964387265578,87.0548567940636
DROHICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,25.0,3.0,276.0,22.0,313.0,25.0
KOBRYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,6.0,1.0,23.0,5.0,407.0,25.0,441.0,31.0
KOSZYRSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,9.0,0.0,19.0,2.0,132.0,11.0,167.0,13.0
ŁUNINIECKI,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,10.0,1.0,12.0,6.0,40.0,2.0,149.0,14.0,219.0,23.0
PIŃSKI,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,22.0,1.0,41.0,14.0,75.0,9.0,657.0,61.0,802.0,85.0
PRUŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,8.0,0.0,28.0,1.0,405.0,23.0,443.0,25.0
STOLIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,20.0,1.0,64.0,1.0,432.0,48.0,529.0,50.0
IWACEWICKI,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12.0,1.0,13.0,0.0,30.0,3.0,295.0,29.0,353.0,33.0
BRODNICKI,0.010262074741022427,0.0,0.0,0.0,0.05841776184211132,0.0,5.274299901485787,0.0,14.164092376800898,1.0,36.35607573866218,3.0392612332387046,55.367495328887976,2.198932121612402,517.0552061571024,34.55759294092891,628.2858493395224,40.79578629578002
CHEŁMIŃSKI,1.0059483562302856,0.0,0.9644363888855376,0.0,1.0552985069052696,0.0,4.38003964247749,0.0,4.415464875579708,0.03028737267324401,16.259964930580704,4.831206207139378,25.38818562673571,4.0566594533249045,272.9923750976555,37.10870087871325,326.4617134250502,46.02685391185077
CHOJNICKI,0.0,0.0,0.0,0.0,0.9859804069355478,0.0,6.904907303147254,0.0,14.792750558631635,1.9727219275207004,38.458944222858406,1.9738635979951076,49.306631483273435,5.916643555262891,416.159081978112,17.753736234036698,526.6082959529583,27.6169653148154
DZIAŁDOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,23.0,0.0,23.0,1.0,173.0,10.0,223.0,12.0
GRUDZIĄDZ (MIASTO),3.0,0.0,1.0,0.0,2.0,0.0,10.0,0.0,22.0,1.0,14.0,1.0,77.0,6.0,405.0,26.0,534.0,34.0
GRUDZIĄDZKI,0.9785133305874737,0.0,0.0,0.0,0.0,0.0,1.9570266611749474,0.0,4.892566652937369,0.0,19.570266611749474,0.0,15.65621328939958,7.82810664469979,216.2514460598317,14.677699958812106,259.3060326056805,22.505806603511896
KARTUSKI,0.0,0.0,0.0,0.0,0.0,0.0,4.692500950886813,0.0,5.631001141064175,0.0,13.139002662483076,0.0,24.401004944611426,0.9385001901773625,255.27205172824262,12.200502472305713,303.1355614272881,13.139002662483076
KOŚCIERSKI,0.0,0.0,0.0,0.0,0.9599865259997971,0.0,2.9975326628005914,0.0,6.86099338376002,0.9599865259997971,24.328867787438288,0.9599865259997971,29.410975820960154,0.9835011429600372,231.03282289713783,12.785514858480482,295.5911790780967,15.688989053440114
LUBAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,1.921477533522591,0.0,8.64664890085166,0.0,26.900685469316276,0.9607387667612955,29.782901769600162,0.0,348.7481723343503,25.93994670255498,415.99988600764095,26.900685469316276
SĘPOLEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,26.0,0.0,22.0,0.0,244.0,2.0,305.0,3.0
STAROGARDZKI,2.1714895221581455e-05,0.0,1.0,0.0,2.259302974240155,0.0,14.926209546987184,0.0,22.744609671402728,0.07709405879068804,41.00617816340352,0.13272579342402627,43.71064291287773,0.5155210550040417,402.0817120562027,17.51754339544208,527.7286770400093,18.242884302660837
ŚWIECKI,0.9113863344057107,0.0,0.0,0.0,2.848152045105683,0.0,11.298974919076668,0.0,39.89393041131935,0.9164762795413326,47.54537302090806,2.746883866056187,60.66004369179541,0.233076028912723,553.9579036547401,47.662469036067115,717.1157640773511,51.55890521057735
TCZEWSKI,1.0,0.0,0.0,0.0,0.6667826025571619,0.0,10.000347807671485,0.0,14.000695615342972,3.0,30.335304243471754,1.0,55.66991287160053,1.3335652051143239,418.024346537004,36.33634766648621,529.697389677648,41.66991287160053
TORUŃ (MIASTO),0.0077497779806728955,0.0,0.0,0.0,0.023249333942018686,0.0,0.13174622567143923,0.0,0.37973912105297186,0.0077497779806728955,0.4029884549949906,0.0,0.8059769099899812,0.030999111922691582,6.486564169823214,0.58898312653114,8.238013993455288,0.6277320164345045
TORUŃSKI,1.000534548031109,0.0,0.03556361111446247,0.0,2.9304764218644017,0.0,16.54676037204084,0.0,47.390266742259065,0.9649709369166465,50.71194288638255,0.17781805557231234,101.17494049496386,4.002138192124436,816.749395033421,74.61808120578577,1036.5398801100773,79.76300839039918
