District,Indirect Occupation - Total,Indirect Occupation - A. Agriculture,Indirect Occupation - Excluding Agriculture - Total,Indirect Occupation  - Horticulture,Indirect Occupation - B. Mining and industry,Indirect Occupation - C. Trade and insurance,Indirect Occupation - D. Transport and communication,"Indirect Occupation - E. Public service, liberal professions","Indirect Occupation - Schooling, Education, and Culture",Indirect Occupation - Public Hygiene and Sanitation,Indirect Occupation - G. Domestic service,Indirect Occupation - N. Not further specified
AUGUSTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁOSTOCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRODZIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁOMŻYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROŁĘCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKÓLSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUWALSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WOŁKOWYSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BĘDZIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IŁŻECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JĘDRZEJOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KIELECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KONECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOZIENICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIECHOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLKUSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPATOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPOCZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIŃCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOMSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANDOMIERSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOPNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁOSZCZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAWIERCIAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA KRAKOWSKA),139127.0,43037.0,96090.0,878.0,62102.0,10090.0,7674.0,2826.0,1346.0,1206.0,2950.0,7018.0
BOCHEŃSKI,113790.0,80879.0,32911.0,457.0,10033.0,4054.0,7192.0,1975.0,933.0,462.0,1208.0,6597.0
BRZESKI (BRZESKO),102226.0,82357.0,19869.0,315.0,9688.0,2751.0,2229.0,1129.0,682.0,251.0,893.0,1931.0
CHRZANOWSKI,138061.0,31935.0,106126.0,682.0,70096.0,8728.0,9023.0,2344.0,1110.0,918.0,2581.0,10644.0
DĄBROWSKI,66678.0,56787.0,9891.0,166.0,3302.0,2803.0,646.0,764.0,416.0,157.0,501.0,1136.0
GORLICKI,104805.0,82009.0,22796.0,219.0,11971.0,3677.0,1659.0,1304.0,605.0,359.0,1187.0,1815.0
JASIELSKI,116146.0,93016.0,23130.0,185.0,8426.0,4201.0,2705.0,1713.0,769.0,410.0,1513.0,3208.0
KRAKOWSKI,187509.0,87916.0,99593.0,850.0,54054.0,7386.0,13126.0,4113.0,1765.0,2195.0,2511.0,13593.0
KRAKÓW (MIASTO),219286.0,1958.0,217328.0,471.0,67128.0,45490.0,16469.0,15369.0,9213.0,8773.0,18247.0,36168.0
LIMANOWSKI,87279.0,76234.0,11045.0,156.0,4639.0,1970.0,1074.0,826.0,426.0,176.0,647.0,1131.0
MIELECKI,77465.0,63419.0,14046.0,335.0,4808.0,3980.0,667.0,976.0,617.0,214.0,703.0,1746.0
MYŚLENICKI,102692.0,88190.0,14502.0,179.0,7356.0,2049.0,611.0,962.0,584.0,247.0,727.0,1787.0
NOWOSĄDECKI,183867.0,122225.0,61642.0,683.0,20471.0,10040.0,12160.0,3515.0,1609.0,1675.0,3056.0,8433.0
NOWOTARSKI,129489.0,99025.0,30464.0,271.0,11354.0,6417.0,2124.0,2410.0,1276.0,1444.0,2012.0,3156.0
ROPCZYCKI,110925.0,90781.0,20144.0,403.0,6340.0,3836.0,2943.0,1446.0,776.0,275.0,935.0,3190.0
TARNOWSKI,142365.0,79750.0,62615.0,322.0,26540.0,10926.0,6938.0,3767.0,1610.0,1458.0,3305.0,7749.0
WADOWICKI,145143.0,107290.0,37853.0,725.0,19495.0,4342.0,3211.0,2190.0,1004.0,535.0,1871.0,4480.0
ŻYWIECKI,130949.0,81172.0,49777.0,2257.0,30070.0,3299.0,5569.0,1710.0,755.0,522.0,1549.0,4046.0
BIALSKI (BIAŁA PODLASKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIŁGORAJSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEŁMSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GARWOLIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HRUBIESZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRASNOSTAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBARTOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBELSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁUKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PUŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADZYŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SIEDLECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKOŁOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMASZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WĘGROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WŁODAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZAMOJSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBLIN (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BÓBRECKI,97124.0,75118.0,22006.0,528.0,9174.0,4279.0,3493.0,1186.0,565.0,265.0,722.0,1794.0
BRZOZOWSKI,83205.0,70455.0,12750.0,223.0,5557.0,2909.0,356.0,1154.0,529.0,199.0,616.0,1207.0
DOBROMILSKI,93970.0,76984.0,16986.0,517.0,5641.0,3660.0,1678.0,1296.0,615.0,196.0,769.0,2614.0
DROHOBYCKI,194456.0,102915.0,91541.0,750.0,55558.0,11617.0,4536.0,4527.0,1852.0,1787.0,3850.0,7064.0
GRÓDECKI,85007.0,67317.0,17690.0,719.0,6700.0,3270.0,2828.0,1028.0,481.0,288.0,617.0,1759.0
JAROSŁAWSKI,148028.0,111841.0,36187.0,705.0,12633.0,7351.0,2991.0,2223.0,1092.0,651.0,1946.0,6595.0
JAWOROWSKI,86762.0,75752.0,11010.0,250.0,4046.0,2627.0,344.0,991.0,551.0,172.0,492.0,1537.0
KOLBUSZOWSKI,69565.0,59894.0,9671.0,355.0,3518.0,2950.0,229.0,707.0,433.0,179.0,338.0,962.0
KROŚNIEŃSKI,113387.0,84981.0,28406.0,317.0,14926.0,4515.0,1226.0,1579.0,813.0,764.0,1265.0,3001.0
LESKI,111575.0,92725.0,18850.0,612.0,7806.0,4336.0,1239.0,1451.0,520.0,210.0,890.0,1786.0
LWOWSKI,142800.0,104889.0,37911.0,902.0,16638.0,4380.0,6555.0,2004.0,946.0,636.0,1123.0,4727.0
LWÓW (MIASTO),312231.0,3372.0,308859.0,10421.0,93649.0,64153.0,31379.0,20689.0,12825.0,11444.0,21521.0,52157.0
ŁAŃCUCKI,97679.0,78934.0,18745.0,640.0,7288.0,4062.0,1180.0,1176.0,726.0,236.0,833.0,2604.0
MOŚCISKI,89460.0,74978.0,14482.0,290.0,4597.0,3315.0,2625.0,911.0,362.0,168.0,596.0,1618.0
NIŻAŃSKI,64233.0,51377.0,12856.0,585.0,5566.0,2341.0,783.0,798.0,377.0,192.0,422.0,1792.0
