District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Kategoria VaR,Kategoria VaPR,Kategoria VbR,Kategoria VbPR
AUGUSTOWSKI,2.0,0.0,63.0,5.0,414.0,41.0,57.0,26.0,9.0,4.0,13.0,6.0
BIAŁOSTOCKI,59.14944532298888,1.9716481774329628,700.9209270774182,14.78736133074722,2224.019144144382,127.1713074444261,455.45072898701443,139.00119650902388,5.914944532298889,3.9432963548659257,87.73834389576685,25.631426306628516
BIELSKI (BIELSK PODLASKI),7.0,0.0,142.0,3.0,1193.0,81.0,188.0,50.0,20.0,1.0,24.0,2.0
GRODZIEŃSKI,17.66155592700566,2.7886667253166837,316.0488955358908,33.4640007038002,1669.481812889588,148.7288920168898,439.6797870249304,96.67377981097836,29.745778403377958,19.520667077216785,64.13933468228372,57.632445656544796
ŁOMŻYŃSKI,7.1634840304022065,0.0,220.28877642563089,15.163484030402206,1035.811380985962,59.54355038002758,422.4969804169754,158.17839068404965,6.399162167212136,1.7452260456033097,44.81742015201103,6.581742015201103
OSTROŁĘCKI,0.8365159695977936,0.0,37.711223574369114,1.8365159695977935,699.1886190140382,39.45644961997242,319.5030195830246,49.821609315950354,5.600837832787865,1.2547739543966905,5.182579847988968,0.4182579847988968
OSTROWSKI (OSTRÓW MAZOWIECKA),2.0,0.0,69.0,4.0,509.0,35.0,600.0,90.0,0.0,1.0,11.0,0.0
SOKÓLSKI,0.0,0.0,84.0,5.0,464.0,24.0,178.0,37.0,4.0,3.0,8.0,9.0
SUWALSKI,5.0,0.0,198.0,5.0,599.0,43.0,216.0,42.0,2.0,2.0,12.0,3.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),3.0,0.0,68.0,5.0,504.0,18.0,125.0,28.0,22.0,1.0,14.0,2.0
WOŁKOWYSKI,3.0,0.0,81.0,9.0,670.0,45.0,246.0,68.0,28.0,6.0,22.0,10.0
WYSOKOMAZOWIECKI,0.0,0.0,51.0,4.0,292.0,11.0,347.0,51.0,0.0,1.0,5.0,1.0
BIAŁYSTOK (MIASTO),0.8505546770111165,0.028351822567037218,10.07907292258173,0.21263866925277913,31.980855855617982,1.8286925555739006,6.5492710129855976,1.9988034909761239,0.08505546770111165,0.056703645134074436,1.2616561042331562,0.3685736933714838
BĘDZIŃSKI,14.66606854916119,0.0,274.82937150819447,7.970689428891951,1349.9159616771408,90.22820433505689,641.1622576600686,146.97951306876757,12.753103086227123,13.390758240538478,192.57185660202956,58.34544661948908
CZĘSTOCHOWSKI,30.206410663364853,0.9744003439795114,481.3537699258786,21.43680756754925,2099.832741275847,156.87845538070133,1476.2165211289598,566.1265998520961,5.846402063877068,0.9744003439795114,196.8288694838613,58.464020638770684
IŁŻECKI,1.0,0.0,47.0,4.0,670.0,34.0,542.0,80.0,0.0,1.0,22.0,4.0
JĘDRZEJOWSKI,4.0079655789584026,0.0,79.68503979042264,5.087621368542431,690.1849522204793,25.37438221104493,585.0305829529518,68.47793473750417,0.01593115791680559,0.007965578958402796,21.17524273708486,6.127449263334444
KIELECKI,10.0,0.0,295.0,11.0,1489.0,99.0,822.0,225.0,1.0,2.0,59.0,35.0
KONECKI,5.0,0.0,117.0,7.0,961.0,35.0,1032.0,142.0,11.0,0.0,81.0,20.0
KOZIENICKI,0.0,0.0,46.0,9.0,564.0,21.0,915.0,192.0,0.0,1.0,11.0,2.0
MIECHOWSKI,0.9920344210415972,0.0,85.31496020957736,10.91237863145757,894.8150477795207,46.62561778895507,501.9694170470482,59.522065262495836,1.9840688420831945,0.9920344210415972,21.82475726291514,15.872550736665556
OLKUSKI,1.0,0.0,92.0,6.0,1090.0,79.0,533.0,168.0,0.0,1.0,14.0,5.0
OPATOWSKI,8.0,0.0,129.0,10.0,1110.0,41.0,878.0,146.0,0.0,2.0,12.0,9.0
OPOCZYŃSKI,2.0,0.0,45.0,4.0,491.0,19.0,670.0,146.0,0.0,0.0,16.0,8.0
PIŃCZOWSKI,4.0,0.0,98.0,3.0,681.0,32.0,830.0,127.0,3.0,0.0,85.0,9.0
RADOMSKI,2.9594937855615577,0.9864979285205192,307.787353698402,12.82447307076675,1131.5131240130356,74.97384256755946,1429.4354984262322,210.1240587748706,2.9594937855615577,0.0,11.837975142246231,4.932489642602596
SANDOMIERSKI,2.0,0.0,59.0,5.0,834.0,22.0,803.0,85.0,0.0,1.0,11.0,0.0
STOPNICKI,1.0,0.0,77.0,21.0,927.0,96.0,667.0,188.0,0.0,2.0,23.0,21.0
WŁOSZCZOWSKI,2.0,0.0,55.0,2.0,575.0,24.0,269.0,72.0,0.0,0.0,11.0,0.0
