District,Total,1. All types of professional purchasing (total),a. Professional purchasing (agricultural products),b. Professional purchasing (livestock),c. Professional purchasing (plant and animal products),2. Food and colonial goods (exclusively),3. Food products along with non-food items (excluding wine and spirits),"4. Meat, fats, and meat products (exclusively)",5. Catering establishments with and without alcohol,"6. Wine, spirits, and beer (possibly with food and colonial goods)",7. Tobacco monopoly products,8. Textiles,"9. Textiles with clothing, haberdashery, garments, and footwear",10. Ready-made clothing and haberdashery,"11. Garments, garment parts, furs, and fur products",12. Footwear,13. Footwear with leather and shoemaking accessories,14. All types of leather and leather products (excluding footwear),"15. Machinery, tools, and technical goods (excluding agricultural)",16. Building materials and fuels,17. Furniture and all wooden products,"18. Iron, ironware, enameled and aluminum goods (possibly with other goods)","19. Kitchenware, porcelain, faience, glassware, window panes, and mirrors","20. Soap, candles, paints, gasoline, kerosene, mineral oils, lubricants (soap shops)","21. Musical, optical, surgical instruments, photographic equipment and accessories","22. Watchmaking, jewelry, and silver-plated products","23. Electrical equipment, radio equipment, and all lighting accessories",24. Pharmacies,"25. Pharmaceutical warehouses, perfumeries, and cosmetic shops","26. Rubber goods, oilcloth, linoleum, galoshes, tarpaulins, tires, inner tubes, etc.","27. Bookstores, stationery, and paper products (possibly with other goods)","28. Agricultural machinery, tools, and goods",29. Agricultural-commercial syndicates and cooperatives,"30. Banks, exchange offices, and other short- and long-term credit institutions","31. Forwarding, transport, and communication enterprises","32. Other service enterprises (reading rooms, clinics, laundries, bathhouses, garages, dance halls, etc.)","33. Hotels, boarding houses, furnished rooms, lodging houses","34. Theaters, cinemas, and other performances",35. Insurance companies,"36. Offices: commission, trade brokerage, advertising, legal advice, agency, technical, etc.",37. Other enterprises not listed above,38. Cards with no industry/branch specified,ZP. Industrial activities
AUGUSTOWSKI,349.0,19.0,15.0,1.0,2.0,79.0,69.0,27.0,73.0,9.0,1.0,7.0,7.0,6.0,1.0,1.0,9.0,3.0,0.0,1.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,7.0,3.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0
BIAŁOSTOCKI,604.0,3.0,1.0,0.0,2.0,158.0,140.0,47.0,79.0,19.0,10.0,27.0,14.0,10.0,2.0,5.0,5.0,8.0,0.0,5.0,1.0,10.0,2.0,5.0,0.0,0.0,0.0,10.0,6.0,0.0,2.0,1.0,1.0,0.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
BIELSKI (BIELSK PODLASKI),1022.0,41.0,29.0,2.0,7.0,382.0,105.0,111.0,98.0,17.0,13.0,36.0,23.0,34.0,7.0,9.0,11.0,15.0,1.0,8.0,8.0,24.0,10.0,7.0,0.0,0.0,1.0,14.0,11.0,0.0,15.0,4.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,5.0,1.0,3.0,0.0
GRODZIEŃSKI,1385.0,39.0,26.0,0.0,6.0,369.0,241.0,114.0,177.0,12.0,12.0,61.0,6.0,71.0,14.0,12.0,3.0,18.0,0.0,22.0,3.0,34.0,14.0,19.0,3.0,4.0,1.0,12.0,25.0,13.0,26.0,1.0,5.0,0.0,14.0,11.0,3.0,0.0,0.0,19.0,4.0,3.0,14.0
ŁOMŻYŃSKI,837.4545996178626,27.72613022801655,18.23567813680993,2.326968060804413,4.0,249.0680049424684,100.39497300327281,76.65393612160882,111.870518440832,14.163484030402206,5.0,24.653936121608826,12.326968060804413,33.74522604560331,11.163484030402206,10.74522604560331,10.581742015201103,7.74522604560331,4.0,17.163484030402206,5.0,25.399162167212136,8.581742015201103,13.163484030402206,0.0,7.0,0.5817420152011032,9.326968060804413,8.163484030402206,0.0,17.74522604560331,1.5817420152011032,1.5817420152011032,0.0,9.74522604560331,0.0,1.0,2.0,0.0,5.0,4.0,0.5817420152011032,2.5817420152011032
OSTROŁĘCKI,538.5454003821375,10.273869771983453,5.764321863190071,1.6730319391955872,2.0,185.9319950575316,69.60502699672719,17.346063878391174,91.12948155916801,3.8365159695977935,2.0,16.346063878391174,20.67303193919559,24.25477395439669,1.8365159695977935,3.2547739543966907,6.418257984798897,8.25477395439669,0.0,6.8365159695977935,1.0,17.600837832787864,7.418257984798897,1.8365159695977935,1.0,4.0,1.4182579847988968,7.673031939195587,3.8365159695977935,0.0,8.25477395439669,3.4182579847988968,2.4182579847988968,0.0,2.2547739543966907,1.0,1.0,1.0,0.0,2.0,0.0,3.4182579847988968,0.4182579847988968
OSTROWSKI (OSTRÓW MAZOWIECKA),475.0,6.0,3.0,0.0,3.0,146.0,80.0,52.0,56.0,3.0,6.0,13.0,10.0,15.0,1.0,4.0,9.0,1.0,0.0,10.0,0.0,11.0,3.0,10.0,0.0,4.0,0.0,9.0,3.0,0.0,6.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,10.0,1.0
SOKÓLSKI,473.0,14.0,12.0,0.0,2.0,83.0,133.0,40.0,78.0,11.0,5.0,18.0,20.0,8.0,2.0,3.0,5.0,7.0,0.0,4.0,2.0,8.0,3.0,5.0,0.0,1.0,0.0,7.0,6.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0
SUWALSKI,622.0,31.0,19.0,0.0,8.0,145.0,126.0,39.0,104.0,10.0,10.0,18.0,13.0,25.0,7.0,12.0,1.0,11.0,0.0,4.0,0.0,13.0,8.0,10.0,0.0,3.0,1.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,5.0,4.0,6.0,4.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),402.0,14.0,11.0,0.0,2.0,76.0,102.0,52.0,37.0,10.0,1.0,18.0,16.0,9.0,9.0,2.0,6.0,4.0,1.0,8.0,1.0,6.0,2.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0
WOŁKOWYSKI,729.0,32.0,27.0,0.0,2.0,206.0,103.0,70.0,89.0,8.0,7.0,37.0,16.0,13.0,10.0,11.0,9.0,6.0,0.0,9.0,0.0,22.0,7.0,5.0,0.0,4.0,1.0,11.0,13.0,0.0,11.0,0.0,4.0,0.0,6.0,1.0,4.0,0.0,0.0,1.0,1.0,12.0,2.0
WYSOKOMAZOWIECKI,542.0,18.0,9.0,1.0,7.0,130.0,106.0,57.0,66.0,14.0,7.0,31.0,14.0,10.0,2.0,4.0,13.0,5.0,0.0,10.0,1.0,11.0,2.0,7.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,3.0,4.0,0.0,5.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,0.0
BIAŁYSTOK (MIASTO),1283.0,27.0,2.0,0.0,9.0,365.0,73.0,130.0,149.0,23.0,21.0,48.0,12.0,88.0,21.0,26.0,16.0,16.0,5.0,33.0,14.0,37.0,14.0,22.0,4.0,12.0,4.0,2.0,20.0,2.0,32.0,0.0,3.0,1.0,4.0,8.0,6.0,2.0,0.0,19.0,22.0,2.0,18.0
BĘDZIŃSKI,1768.0,25.0,5.0,3.0,6.0,418.0,394.0,245.0,183.0,15.0,31.0,63.0,13.0,69.0,37.0,30.0,31.0,2.0,4.0,21.0,14.0,29.0,12.0,23.0,2.0,6.0,1.0,13.0,10.0,0.0,24.0,13.0,1.0,0.0,9.0,3.0,1.0,3.0,1.0,7.0,9.0,6.0,1.0
CZĘSTOCHOWSKI,342.0,3.0,0.0,3.0,0.0,69.0,138.0,16.0,28.0,18.0,0.0,5.0,8.0,3.0,2.0,6.0,4.0,1.0,0.0,3.0,0.0,8.0,1.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0
IŁŻECKI,500.0,14.0,10.0,0.0,0.0,77.0,172.0,29.0,51.0,15.0,22.0,20.0,9.0,19.0,3.0,6.0,4.0,3.0,0.0,1.0,2.0,16.0,1.0,2.0,0.0,0.0,2.0,9.0,2.0,0.0,6.0,0.0,1.0,0.0,6.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0
JĘDRZEJOWSKI,387.71562274337447,13.127449263334444,6.103552526459237,3.0159311579168055,4.0079655789584026,50.828420211673894,131.94360126585028,19.262864105627294,23.262864105627294,10.08762136854243,18.095586947500834,19.135414842292846,4.087621368542431,9.055759052708819,2.0238967368752085,5.031862315833611,11.055759052708819,4.087621368542431,0.007965578958402796,19.17524273708486,0.01593115791680559,7.103552526459237,1.0238967368752083,4.031862315833611,0.0,1.0,0.007965578958402796,7.047793473750417,3.031862315833611,0.0,7.0238967368752085,2.0159311579168055,3.0159311579168055,0.0,1.0716902106256252,0.0,2.0,1.0,0.0,3.007965578958403,0.0,5.047793473750417,1.0159311579168055
KIELECKI,782.0,7.0,1.0,0.0,3.0,138.0,140.0,36.0,102.0,26.0,13.0,39.0,8.0,46.0,12.0,30.0,9.0,9.0,3.0,33.0,6.0,16.0,4.0,20.0,2.0,7.0,4.0,8.0,7.0,0.0,18.0,2.0,4.0,0.0,1.0,6.0,4.0,2.0,0.0,8.0,5.0,7.0,1.0
KONECKI,560.0,7.0,1.0,1.0,0.0,118.0,105.0,36.0,69.0,16.0,5.0,30.0,23.0,25.0,9.0,12.0,5.0,9.0,1.0,7.0,2.0,15.0,7.0,11.0,0.0,1.0,1.0,8.0,7.0,0.0,9.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,11.0,0.0
KOZIENICKI,354.0,10.0,5.0,2.0,3.0,64.0,71.0,6.0,85.0,19.0,3.0,17.0,18.0,12.0,0.0,1.0,1.0,5.0,1.0,3.0,1.0,7.0,3.0,3.0,0.0,0.0,1.0,7.0,4.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0
