District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,14800.0,26855.0,24599.0,15866.0,15.0
BIAŁOSTOCKI,28828.0,53750.0,38827.0,27019.0,57.0
BIELSKI (BIELSK PODLASKI),43599.0,75097.0,56040.0,85359.0,135.0
GRODZIEŃSKI,36312.0,55439.0,36710.0,50946.0,112.0
ŁOMŻYŃSKI,33244.0,62911.0,40385.0,14059.0,67.0
OSTROŁĘCKI,21339.0,47254.0,22728.0,9693.0,20.0
OSTROWSKI (OSTRÓW MAZOWIECKA),14741.0,33566.0,21982.0,5664.0,38.0
SOKÓLSKI,26602.0,41031.0,30665.0,45089.0,10.0
SUWALSKI,23048.0,36768.0,37281.0,24158.0,90.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),15242.0,25298.0,14559.0,5577.0,1.0
WOŁKOWYSKI,29535.0,56232.0,35824.0,60734.0,50.0
WYSOKOMAZOWIECKI,18186.0,39654.0,21736.0,4247.0,17.0
BIAŁYSTOK (MIASTO),1218.0,1564.0,2908.0,62.0,190.0
BĘDZIŃSKI,4779.0,11339.0,2338.0,336.0,4119.0
CZĘSTOCHOWSKI,15535.0,44406.0,16397.0,3281.0,890.0
IŁŻECKI,17833.0,48156.0,25256.0,2080.0,406.0
JĘDRZEJOWSKI,16651.594326782026,36723.08190263039,13187.962373056767,2700.3154247511316,363.1793702273979
KIELECKI,14881.0,46862.0,9629.0,2265.0,325.0
KONECKI,10692.0,41058.0,10882.0,2751.0,270.0
KOZIENICKI,17873.0,41337.0,28122.0,1508.0,157.0
MIECHOWSKI,22989.405673217974,47210.91809736961,19299.03762694323,1284.6845752488684,1516.8206297726022
OLKUSKI,12225.0,36632.0,8675.0,2243.0,2072.0
OPATOWSKI,19413.0,51701.0,26308.0,1642.0,282.0
OPOCZYŃSKI,14937.0,38867.0,19205.0,13633.0,94.0
PIŃCZOWSKI,20867.0,42519.0,15103.0,994.0,616.0
RADOMSKI,22573.0,55320.0,32192.0,4733.0,87.0
SANDOMIERSKI,15718.0,38965.0,22793.0,1815.0,175.0
STOPNICKI,21443.0,54097.0,18135.0,333.0,113.0
WŁOSZCZOWSKI,14988.0,32431.0,11732.0,1747.0,175.0
ZAWIERCIAŃSKI,6575.0,24920.0,2836.0,1764.0,1081.0
CZĘSTOCHOWA (MIASTO),1081.0,1049.0,1452.0,64.0,208.0
SOSNOWIEC,825.0,769.0,153.0,14.0,808.0
RADOM (MIASTO),579.0,614.0,193.0,0.0,57.0
BIALSKI (BIAŁA KRAKOWSKA),4773.0,27478.0,13412.0,700.0,1544.0
BOCHEŃSKI,8845.0,38327.0,15765.0,309.0,504.0
BRZESKI (BRZESKO),8929.0,39558.0,12127.0,276.0,555.0
CHRZANOWSKI,4320.0,18742.0,4494.0,233.0,3431.0
DĄBROWSKI,9934.0,30961.0,11044.0,147.0,248.0
GORLICKI,8955.0,49697.0,11831.0,2290.0,1202.0
JASIELSKI,11739.984949439855,47250.894558364766,15467.492700914641,2119.1949562182044,1476.2674306487634
KRAKOWSKI,11532.0,41191.0,12563.0,444.0,1866.0
KRAKÓW (MIASTO),1816.0,1969.0,1184.0,15.0,454.0
LIMANOWSKI,4814.0,41544.0,7216.0,4388.0,912.0
MIELECKI,10932.804165759679,36419.46865409116,12692.597666144471,86.54722133039964,118.3806820496271
MYŚLENICKI,7343.0,43514.0,11164.0,1181.0,1592.0
NOWOSĄDECKI,10501.0,65802.0,18062.0,6878.0,1398.0
NOWOTARSKI,12659.0,65019.0,12967.0,28779.0,827.0
ROPCZYCKI,15146.015050560143,50870.105441635234,13088.507299085357,268.8050437817958,368.7325693512366
TARNOWSKI,10430.0,40011.0,12363.0,342.0,532.0
WADOWICKI,7522.0,50630.0,18266.0,1108.0,2089.0
ŻYWIECKI,4689.0,46238.0,8722.0,3081.0,1527.0
BIALSKI (BIAŁA PODLASKA),20811.814282564595,39618.96310890151,38047.13474837937,21162.244649611035,102.37537573690908
BIŁGORAJSKI,18229.0,43407.0,18231.0,1464.0,60.0
CHEŁMSKI,25755.0,47328.0,32615.0,1285.0,39.0
GARWOLIŃSKI,20655.0,50163.0,46780.0,2191.0,181.0
HRUBIESZOWSKI,29507.0,39938.0,28626.0,2175.0,52.0
JANOWSKI,21959.0,54041.0,30973.0,2233.0,95.0
KRASNOSTAWSKI,24612.0,46899.0,28673.0,1304.0,92.0
LUBARTOWSKI,15764.0,33504.0,36337.0,728.0,79.0
LUBELSKI,25294.0,61282.0,45907.0,4315.0,66.0
ŁUKOWSKI,19193.0,41876.0,40943.0,5365.0,130.0
PUŁAWSKI,19459.0,43772.0,38468.0,1456.0,132.0
RADZYŃSKI,18033.027835418245,30590.730174344582,29866.860082337014,4644.916064945398,10.952642382507905
SIEDLECKI,23254.0,45227.0,39545.0,12387.0,91.0
SOKOŁOWSKI,14401.0,32209.0,21342.0,3569.0,49.0
TOMASZOWSKI,22529.0,35976.0,21934.0,1011.0,105.0
WĘGROWSKI,13405.0,34406.0,20548.0,1012.0,47.0
WŁODAWSKI,23007.0,46250.0,38134.0,5447.0,123.0
ZAMOJSKI,24927.0,42823.0,24996.0,656.0,89.0
LUBLIN (MIASTO),1003.0,1023.0,1000.0,17.0,68.0
BÓBRECKI,13267.0,30686.0,14102.0,237.0,370.0
BRZOZOWSKI,7867.0,35075.0,6285.0,300.0,691.0
DOBROMILSKI,9444.038901187077,36769.52294599062,7137.99219696327,379.042012711382,681.1433191221507
DROHOBYCKI,18665.736128601453,49161.37179159625,13427.045742760141,4243.606990911015,902.113860569823
GRÓDECKI,12512.283198656853,26522.69144973292,9902.730686087456,999.7956319025362,49.22603179049326
JAROSŁAWSKI,21881.208321147868,49733.96904744551,15223.160691172874,436.6728813692317,305.4933348311909
JAWOROWSKI,14949.872794144268,30787.00767881716,11397.982122369134,2228.343728814553,25.320668779083405
KOLBUSZOWSKI,8640.195834240321,32878.53134590884,5303.402333855529,12.452778669600363,38.61931795037291
KROŚNIEŃSKI,9880.0,43948.0,10996.0,1817.0,683.0
LESKI,13029.0,49716.0,9134.0,5906.0,510.0
LWOWSKI,21480.0,47697.0,13306.0,134.0,114.0
LWÓW (MIASTO),2441.0,2891.0,771.0,5.0,359.0
ŁAŃCUCKI,12863.593290611603,41169.080076475584,11130.368898418947,738.3283300993046,302.81793038411956
MOŚCISKI,14723.0,32286.0,13572.0,626.0,65.0
NIŻAŃSKI,8101.0,24769.0,9008.0,318.0,84.0
PRZEMYSKI,16244.0,45267.0,10773.0,639.0,458.0
PRZEWORSKI,7721.0,23967.0,7377.0,149.0,339.0
RAWSKI (RAWA RUSKA),18462.0,37313.0,21592.0,4667.0,66.0
RUDECKI,13402.716801343147,25942.30855026708,10821.269313912544,87.20436809746373,24.77396820950674
RZESZOWSKI,16849.406709388397,69331.91992352442,20592.631101581053,205.67166990069538,894.1820696158803
SAMBORSKI,18472.224970211468,45279.10526241313,12671.96206027659,427.3509963776036,209.74282030802632
SANOCKI,14578.0,44694.0,8204.0,2503.0,904.0
SOKALSKI,23862.025147289147,32492.69504055724,30120.231508932153,20518.87259202392,90.59764220641324
TARNOBRZESKI,11346.0,29241.0,13150.0,245.0,136.0
ŻÓŁKIEWSKI,16182.0,31539.0,20246.0,719.0,92.0
LUBACZOWSKI,15197.918884707866,30825.023273737326,14818.857186457994,2763.983389816215,28.185996389725716
TURCZAŃSKI,12768.0,49575.0,10159.0,14351.0,1208.0
BRZEZIŃSKI,12261.0,34647.0,20655.0,1964.0,321.0
KALISKI,18074.0,48968.0,23645.0,1920.0,1617.0
KOLSKI,15947.0,38982.0,26021.0,2251.0,737.0
KONIŃSKI,28276.0,75641.0,45660.0,5192.0,3692.0
ŁASKI,15987.0,43716.0,19571.0,3648.0,348.0
ŁĘCZYCKI,19037.0,44639.0,26045.0,1262.0,351.0
ŁÓDZKI,11302.0,29664.0,10744.0,1708.0,325.0
ŁÓDŹ (MIASTO),4478.0,2204.0,359.0,153.0,439.0
PIOTRKOWSKI,22965.0,57593.0,28106.0,7795.0,340.0
RADOMSZCZAŃSKI,22315.0,54892.0,24996.0,7183.0,133.0
SIERADZKI,19471.0,54976.0,32625.0,1638.0,1069.0
TURECKI,14965.0,39600.0,24240.0,1819.0,548.0
WIELUŃSKI,20871.0,62232.0,34748.0,4758.0,1456.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,26500.0,51298.0,35032.0,25737.0,334.0
BRASŁAWSKI,28844.0,60707.0,45154.0,68111.0,408.0
LIDZKI,33954.0,72038.0,44435.0,54901.0,47.0
NIEŚWIESKI,21270.0,41300.0,36664.0,34696.0,348.0
NOWOGRÓDZKI,27533.17062738679,54205.887991794974,37686.23909604463,34600.66009260819,72.44982826428428
SŁONIMSKI,23382.0,46861.0,30591.0,51319.0,95.0
STOŁPECKI,16407.82937261321,34384.11200820502,30133.76090395537,27766.339907391808,82.55017173571572
WOŁOŻYŃSKI,20188.0,43630.0,36978.0,31359.0,21.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),20790.0,40835.0,20407.0,32559.0,68.0
BRZESKI (BRZEŚĆ N.BUG.),33096.15788201716,73782.30671675391,46331.00516928361,67316.83928544357,214.67198188058302
DROHICKI,16202.0,45830.0,27174.0,45410.0,40.0
KOBRYŃSKI,19470.0,69497.0,34492.0,64818.0,129.0
KOSZYRSKI,12731.0,50823.0,16132.0,53837.0,14.0
ŁUNINIECKI,18074.0,52306.0,24950.0,33773.0,192.0
PIŃSKI,28306.0,81721.0,36873.0,65701.0,310.0
PRUŻAŃSKI,19274.0,43385.0,28901.0,46459.0,215.0
STOLIŃSKI,20250.0,65104.0,22824.0,24429.0,123.0
IWACEWICKI,14251.0,37374.0,18695.0,23220.0,97.0
BRODNICKI,11480.950062097862,31332.064231289056,32641.18349820435,9321.682280553934,945.3545322590668
CHEŁMIŃSKI,10089.246836791275,24642.66964192467,31176.170522427063,18049.444544941947,976.2721007420115
CHOJNICKI,8342.776467388543,25245.81207903428,27019.136150357946,12699.715807498485,1994.3080822328122
DZIAŁDOWSKI,7718.0,21773.0,18988.0,4632.0,826.0
GRUDZIĄDZ (MIASTO),435.0,289.0,310.0,0.0,104.0
GRUDZIĄDZKI,11395.766248021719,26796.587558137966,28223.259994134503,11991.68086634949,1083.2142569603334
KARTUSKI,9306.167885798726,24550.226474849627,31195.74632149553,9361.53939701919,999.5027025388911
KOŚCIERSKI,7690.346275744165,22210.975753954357,25269.922159487207,9877.622957846357,1051.268663356439
LUBAWSKI,10648.8284907822,27841.248721975582,26185.89582684587,4884.395890214427,1432.4615012410916
SĘPOLEŃSKI,6108.0,19516.0,23194.0,14370.0,1356.0
STAROGARDZKI,8634.13333971269,21309.66822426856,24575.10567856738,7994.981660486024,2271.7006201209865
ŚWIECKI,14346.837364289488,34565.7100780713,52407.85688369916,9159.11459208023,3571.384987734338
TCZEWSKI,10031.0,20280.0,18922.0,7790.0,1971.0
TORUŃ (MIASTO),593.1808748310009,526.7765631907179,570.421466606073,91.96025872113056,220.05201932191915
TORUŃSKI,9594.293917922061,24502.93931996375,24077.158995077058,11477.152604036204,1037.1015062374242
TUCHOLSKI,6208.077494642856,17549.95272973442,21476.604995646685,5992.1232862673,1714.38071361808
WĄBRZESKI,9755.733569553886,25680.713963518258,27772.909696705086,4179.683555182868,716.5440832381533
MORSKI,9221.077152107244,25702.54296304151,27244.093952503557,11778.4159704586,771.1922862738497
GDYNIA (MIASTO),619.5840203162901,444.1116970459486,307.5338582425371,100.4863283438155,4.261944124603557
BYDGOSKI,11036.616358412322,30635.213269975244,34579.070575096106,8023.365746684928,2145.4823124215914
BYDGOSZCZ (MIASTO),1379.383641587676,1116.7867300247522,1534.929424903891,29.634253315071494,1386.5176875784086
CHODZIESKI,7939.0,23489.0,29674.0,3891.0,2194.0
CZARNKOWSKI,5805.68372568706,16423.870100669687,23164.90581955539,2692.4628577653243,3333.662282663945
GNIEŹNIEŃSKI,13435.89640590155,39971.11169106841,49965.62943772723,6561.554017406111,3323.413683874506
GOSTYŃSKI,9014.570975399902,28562.802061069306,27904.471907785508,5331.913268648068,2574.0520655202654
INOWROCŁAWSKI,10747.185065475822,30680.92093279622,31996.96340510962,9844.076912917639,1753.7330462505925
JAROCIŃSKI,13474.48859241551,38442.143968215634,33845.627400364494,10196.35274557594,4549.632473931806
KĘPIŃSKI,12694.846240192997,36064.42992623031,31681.329030723875,1547.5103741171313,5293.8279855495775
