District,Pszenica (zł za q = 100kg),Żyto (zł za q = 100kg),Jęczmień browarniany (zł za q = 100kg),Jęczmień innych gatunków (zł za q = 100kg),Owies (zł za q = 100kg),Gryka (zł za q = 100kg),Groch (zł za q = 100kg),Ziemniaki jadalne (zł za q = 100kg),Ziemniaki fabryczne (zł za q = 100kg),Siano koniczyny (zł za q = 100kg),Siano łąkowe (zł za q = 100kg),Słoma (zł za q = 100kg)
AUGUSTOWSKI,20.4,15.2,16.0,15.2,13.5,0.0,20.25,5.4,4.0,6.02,4.64,3.93
BIAŁOSTOCKI,20.08,14.73,15.66,15.2,15.64,18.0,16.71,3.84,0.0,6.1,4.73,4.04
BIELSKI (BIELSK PODLASKI),23.45,15.5,16.0,15.78,15.72,16.0,18.66,4.15,0.0,7.75,5.23,3.72
GRODZIEŃSKI,21.75,15.11,13.78,13.62,15.0,14.83,19.0,4.31,3.3,6.91,5.73,4.54
ŁOMŻYŃSKI,20.5,13.75,15.33,14.89,15.63,17.5,17.0,3.47,2.5,6.31,5.33,3.76
OSTROŁĘCKI,21.61,13.89,17.0,15.36,14.58,16.2,18.63,3.1,2.2,7.19,5.61,3.66
OSTROWSKI (OSTRÓW MAZOWIECKA),22.38,13.77,17.5,17.75,17.0,18.5,21.2,3.76,0.0,7.5,6.0,4.5
SOKÓLSKI,20.42,14.7,15.83,14.18,15.06,15.3,18.3,4.49,3.3,6.48,5.05,4.1
SUWALSKI,19.55,13.08,15.0,13.5,12.4,0.0,16.71,4.32,3.33,5.19,4.4,3.63
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),22.75,13.78,14.5,14.5,14.33,12.67,16.6,3.28,2.75,6.54,4.83,3.98
WOŁKOWYSKI,21.58,15.63,15.33,14.3,15.72,15.0,17.91,4.28,3.6,7.06,5.18,3.98
WYSOKOMAZOWIECKI,22.73,14.33,14.33,14.11,15.83,0.0,21.0,4.25,4.0,7.4,6.51,4.78
BIAŁYSTOK (MIASTO),20.08,14.73,15.66,15.2,15.64,0.0,16.71,3.84,0.0,6.1,4.73,4.04
BĘDZIŃSKI,24.8,20.5,18.0,16.5,22.0,0.0,27.67,6.83,0.0,13.0,8.25,7.83
CZĘSTOCHOWSKI,25.88,15.8,16.67,16.22,16.82,24.33,25.0,3.95,0.0,9.5,7.77,5.32
IŁŻECKI,23.36,15.43,14.8,13.21,12.08,19.75,24.0,4.65,3.5,11.0,9.25,6.56
JĘDRZEJOWSKI,25.45543228133721,16.032786201236576,16.86382172650117,15.770794806496975,16.332786201236573,23.0,25.36303621083528,4.657438221104493,4.0,11.642566424311049,8.952254197967124,6.7415803221628625
KIELECKI,25.5,16.69,18.0,16.25,15.44,0.0,26.0,4.13,4.0,10.25,8.63,6.83
KONECKI,22.11,15.11,16.0,15.83,17.0,0.0,26.0,4.0,0.0,13.7,9.83,6.86
KOZIENICKI,23.95,14.95,14.22,14.17,13.63,18.56,23.0,3.88,3.57,8.2,7.08,5.41
MIECHOWSKI,25.584567718662793,16.53721379876343,16.666178273498833,16.28920519350303,16.53721379876343,0.0,27.77696378916472,4.662561778895507,0.0,9.03743357568895,6.507745802032877,5.178419677837137
OLKUSKI,25.95,16.9,18.5,15.94,16.28,21.0,26.0,5.26,4.3,10.87,8.27,6.47
OPATOWSKI,23.27,15.77,14.4,14.11,13.42,20.0,26.4,4.0,0.0,9.8,8.75,5.92
OPOCZYŃSKI,20.15,14.44,13.67,13.36,13.38,16.0,24.33,3.34,2.83,9.33,7.51,6.28
PIŃCZOWSKI,25.05,16.58,16.57,15.39,16.28,0.0,28.4,4.94,3.0,8.31,6.63,4.69
RADOMSKI,24.1,14.8,16.3,14.18,14.4,18.67,25.5,3.04,2.46,10.21,7.88,4.96
SANDOMIERSKI,24.38,15.38,13.75,13.27,12.82,0.0,26.4,4.06,4.0,8.0,6.5,4.42
STOPNICKI,24.67,16.11,16.0,15.89,15.33,0.0,28.0,3.84,3.0,8.4,7.0,4.8
WŁOSZCZOWSKI,26.06,15.44,16.29,15.25,17.23,24.5,27.0,3.79,3.5,9.75,7.42,6.29
ZAWIERCIAŃSKI,25.6,17.31,17.5,17.38,19.27,0.0,27.67,5.38,4.17,11.56,8.27,6.96
CZĘSTOCHOWA (MIASTO),25.88,15.8,16.67,16.22,16.82,0.0,25.0,3.95,0.0,9.5,7.77,5.32
SOSNOWIEC,24.8,20.5,18.0,16.5,22.0,0.0,27.67,6.83,0.0,13.0,8.25,7.83
RADOM (MIASTO),24.1,14.8,16.3,14.18,14.4,0.0,25.5,3.04,0.0,10.21,7.88,4.96
BIALSKI (BIAŁA KRAKOWSKA),26.6,20.43,23.0,22.75,21.0,0.0,30.0,6.33,3.25,11.37,8.0,7.2
BOCHEŃSKI,25.0,18.3,18.67,17.78,17.82,0.0,27.0,5.45,0.0,10.85,8.33,5.7
BRZESKI (BRZESKO),25.63,17.65,18.0,16.94,17.58,0.0,25.75,5.56,4.0,9.35,6.19,5.97
CHRZANOWSKI,25.9,19.8,18.75,19.71,20.2,0.0,28.0,6.77,0.0,10.72,8.7,6.78
DĄBROWSKI,25.37,16.84,15.4,15.38,15.06,0.0,20.8,4.45,3.0,7.94,6.13,3.81
GORLICKI,29.13,21.53,22.0,21.38,20.57,0.0,28.0,5.43,4.0,10.8,7.97,6.39
JASIELSKI,26.908263556500916,19.162509086714515,19.57248009694229,18.902320653195062,19.802769994664526,0.0,27.01860418632454,4.643022183754318,4.002536605069571,11.22630527545865,8.435203664114148,6.163768670389078
KRAKOWSKI,28.31,18.9,21.0,19.07,19.31,0.0,28.0,5.88,4.0,9.79,7.18,5.78
KRAKÓW (MIASTO),28.31,18.9,21.0,19.07,19.31,0.0,28.0,5.88,0.0,9.79,7.18,5.78
LIMANOWSKI,27.36,22.75,24.33,21.14,22.27,0.0,26.33,6.42,4.83,9.86,8.36,6.0
MIELECKI,24.432181102007068,16.80209848586724,16.66282709522062,15.319852971128212,15.051258146309731,0.0,24.37249336315852,3.969234633428673,3.2330858542965384,8.256803874049622,6.137889144926043,5.769814755359976
MYŚLENICKI,28.77,21.42,21.67,20.08,21.17,0.0,26.0,6.62,4.5,9.82,7.5,5.96
NOWOSĄDECKI,26.07,21.28,21.8,20.87,21.6,0.0,26.0,7.75,0.0,10.6,8.0,6.39
NOWOTARSKI,30.0,24.55,21.67,23.33,20.93,0.0,30.0,7.68,0.0,12.09,10.1,8.9
ROPCZYCKI,25.181736443499084,17.247490913285485,17.207519903057708,16.98767934680494,17.60723000533547,0.0,25.651395813675457,4.166977816245682,3.4974633949304286,8.69369472454135,7.17479633588585,5.196231329610923
TARNOWSKI,26.05,18.21,18.71,17.72,17.0,0.0,25.75,5.0,4.33,9.16,6.82,5.7
WADOWICKI,26.67,19.84,18.75,18.6,20.29,0.0,28.0,6.53,0.0,9.91,7.61,6.64
ŻYWIECKI,28.67,24.71,22.0,20.5,21.86,0.0,30.0,8.9,6.0,11.6,9.38,7.33
BIALSKI (BIAŁA PODLASKA),23.56389841064258,16.062984815229818,17.45828547602307,15.567495382200422,15.436320052832762,17.630060889144378,19.954890950064573,4.02131631664135,3.364330648567676,8.517219291121735,5.7955585495067306,4.7590285760473945
BIŁGORAJSKI,23.25,16.44,17.13,15.88,16.89,17.67,24.25,5.17,0.0,8.63,7.44,4.69
CHEŁMSKI,23.0,14.38,14.2,13.69,14.57,16.78,21.25,4.46,4.0,6.94,5.78,3.89
GARWOLIŃSKI,25.38,15.47,15.2,14.38,14.46,19.6,23.0,4.15,3.9,8.8,6.9,4.7
HRUBIESZOWSKI,21.92,14.64,13.75,13.5,14.08,17.38,18.0,4.95,3.9,6.57,5.78,3.17
JANOWSKI,24.54,15.14,14.89,13.42,14.29,17.44,23.0,4.75,4.0,9.3,8.1,5.2
KRASNOSTAWSKI,22.16,15.05,14.0,13.75,14.79,18.0,25.0,4.68,4.0,6.1,5.0,3.1
LUBARTOWSKI,24.06,15.9,16.1,14.67,14.22,19.0,25.25,4.75,4.5,8.56,6.81,4.65
LUBELSKI,24.56,15.31,14.89,13.91,14.07,14.8,18.0,4.63,3.5,8.57,6.75,5.06
ŁUKOWSKI,24.59,15.25,15.71,14.69,14.5,18.0,20.75,3.45,3.33,8.79,6.62,5.0
PUŁAWSKI,23.2,14.67,16.0,14.83,14.16,21.33,23.0,4.9,0.0,7.33,6.67,4.0
RADZYŃSKI,24.962067684497562,15.731977240329538,16.757542845237094,16.02072872132293,15.552752183161225,17.424658335808033,19.744627131375612,4.072391576768848,3.773683148154997,7.617064929653226,5.426536453151645,4.65985148637609
SIEDLECKI,23.05,14.8,15.5,14.69,14.26,20.5,21.5,3.39,2.9,7.54,6.09,4.23
SOKOŁOWSKI,22.63,14.38,14.83,14.0,14.42,0.0,20.0,3.33,0.0,5.4,5.0,4.14
TOMASZOWSKI,23.4,14.4,15.0,13.0,13.2,17.0,24.67,3.88,2.5,7.75,6.8,4.75
WĘGROWSKI,24.2,15.64,17.5,15.78,15.22,18.75,15.75,3.83,3.0,8.61,7.11,4.5
WŁODAWSKI,24.69,16.0,16.86,15.27,15.0,17.9,19.57,3.65,3.26,7.2,5.5,3.89
ZAMOJSKI,22.87,15.47,14.0,13.73,14.18,18.4,25.5,5.32,4.0,6.94,5.56,3.92
LUBLIN (MIASTO),24.56,15.31,14.89,13.91,14.07,0.0,18.0,4.63,0.0,8.57,6.75,5.06
BÓBRECKI,24.33,17.5,17.0,16.5,15.5,16.5,20.0,4.35,4.0,7.89,6.4,4.75
BRZOZOWSKI,27.45,19.92,19.0,19.86,19.78,0.0,23.0,5.5,4.0,10.13,8.63,6.43
DOBROMILSKI,28.634690210020445,20.348927005112305,18.902908551246195,20.155835813733432,18.300247317233772,1.6366446786747424,30.762540423188184,4.842436425076562,3.7417198294658083,7.841443970738355,5.863173630456796,5.391955417918515
DROHOBYCKI,27.366670708406858,18.417582860452754,18.7345191238834,17.53586318560223,16.223141030742347,16.82175117129812,26.884962799859515,4.111935629686991,0.12136632683787621,8.167128685660767,5.682766685097969,4.526798870254473
GRÓDECKI,25.348798773197473,16.641043837267794,15.135619074295956,15.124317484771293,16.630194311324118,18.162742889155147,19.171784160774877,4.785080133884554,0.027123814859191072,6.763288901338113,5.346562548841611,4.436165086478922
JAROSŁAWSKI,23.353145039876527,16.9338287479174,17.07610416292785,16.325833964143005,15.919686177820301,18.22721398121483,24.18487675782159,4.039947396625079,3.727356181235891,7.435224824841007,6.391840669831523,4.560484389583316
JAWOROWSKI,22.297905590812388,15.817185028275397,14.770207500467121,14.451512523883828,14.60165806671956,15.847490990215167,22.827387854625073,3.9715364930268473,3.422371755236078,7.781513593156382,6.146701435408053,3.8903266062621955
KOLBUSZOWSKI,24.23781889799293,16.38790151413276,17.417172904779378,16.83014702887179,14.778741853690269,16.0,23.12750663684148,4.190765366571327,0.01691414570346186,9.043196125950379,6.952110855073957,5.740185244640024
KROŚNIEŃSKI,26.33,20.73,19.5,18.33,20.21,19.0,27.0,5.31,3.5,12.8,10.91,8.0
LESKI,23.67,18.0,19.0,16.0,16.67,0.0,29.0,4.25,0.0,7.0,5.5,4.0
LWOWSKI,25.45,16.42,17.0,15.44,15.67,18.0,20.67,5.0,3.6,7.85,5.95,4.11
LWÓW (MIASTO),25.45,16.42,17.0,15.44,15.67,0.0,20.67,5.0,0.0,7.85,5.95,4.11
ŁAŃCUCKI,24.60620851066153,17.66069417494205,16.357190288671184,16.060388627086564,16.8122363885402,19.432833009930462,26.80405520135241,4.149864377299847,4.075642721259276,8.159302058364768,6.29839265195866,5.288101578423883
MOŚCISKI,24.79,17.33,16.0,15.5,15.88,17.0,21.0,4.03,3.25,7.17,5.73,3.91
NIŻAŃSKI,26.2,16.0,16.5,15.5,17.89,21.0,25.0,6.01,0.0,9.25,7.63,5.88
PRZEMYSKI,24.22,17.21,17.44,17.07,16.27,0.0,26.43,4.22,3.25,7.65,6.19,3.93
PRZEWORSKI,23.82,16.5,16.67,16.4,16.33,21.0,26.33,4.39,3.0,8.43,6.95,4.7
RAWSKI (RAWA RUSKA),23.27,15.92,15.2,14.89,15.42,19.2,22.6,5.23,3.5,7.93,6.0,4.7
RUDECKI,23.981201226802526,15.458956162732207,14.864380925704046,13.625682515228707,14.269805688675884,17.837257110844853,18.828215839225123,3.844919866115446,2.9728761851408088,6.936711098661887,5.103437451158389,3.9638349135210786
RZESZOWSKI,24.05379148933847,17.13930582505795,16.97280971132881,16.649611372913434,17.6877636114598,20.567166990069538,22.52594479864759,4.270135622700152,3.594357278740724,10.420697941635233,8.00160734804134,5.611898421576117
SAMBORSKI,21.498639081572698,15.503490134434944,15.23257232487041,14.638301000664336,14.996611652023882,17.041604150027137,18.352496776952304,3.5656279452364474,2.5169138436963157,6.991427343600877,5.864059684445236,4.0812457118270125
SANOCKI,26.8,19.83,19.0,18.4,18.9,0.0,27.0,7.11,0.0,12.0,9.22,7.0
SOKALSKI,22.11179816927954,14.406020689305489,13.271061215510862,12.942520315201891,13.500044267241357,15.511112808526574,16.128371469713123,3.892711879418415,8.03431838028302,6.969049400493326,5.565283735536813,2.9867354573542824
TARNOBRZESKI,22.67,15.58,16.0,15.2,14.6,17.67,26.33,5.14,0.0,8.55,7.17,4.58
ŻÓŁKIEWSKI,23.0,18.0,14.0,14.0,14.57,16.75,18.0,4.7,4.0,6.8,5.2,4.0
LUBACZOWSKI,25.05894936931109,16.688986223807202,15.413688336605027,15.382653511973166,15.858655755460138,17.72529502857,22.307735387553336,4.858516110348073,4.070272063528031,8.17326158200261,6.961457894760424,5.38918900415449
TURCZAŃSKI,27.5,20.5,18.0,17.4,16.63,0.0,21.0,6.33,0.0,6.63,6.0,3.67
BRZEZIŃSKI,23.25,14.7,16.0,14.0,14.89,0.0,23.2,3.62,0.0,10.5,7.86,5.33
KALISKI,22.5,14.18,16.0,14.5,14.7,17.0,20.0,3.23,3.0,6.06,5.26,3.21
KOLSKI,21.86,14.53,16.83,15.0,15.08,18.0,24.66,3.31,0.0,8.21,6.88,3.93
KONIŃSKI,20.75,13.65,15.31,14.41,13.44,14.67,20.5,3.13,2.67,8.5,6.2,3.54
ŁASKI,22.74,14.4,17.83,15.09,15.61,19.0,24.33,3.57,2.46,9.07,6.94,4.6
ŁĘCZYCKI,22.45,14.82,16.67,14.63,15.67,20.0,22.33,3.08,2.0,9.67,6.93,4.31
ŁÓDZKI,23.18,14.92,16.25,15.33,15.6,22.0,23.2,3.96,3.03,12.5,9.27,5.91
ŁÓDŹ (MIASTO),23.18,14.92,16.25,15.33,15.6,0.0,23.2,3.96,0.0,12.5,9.27,5.91
PIOTRKOWSKI,23.0,14.6,16.5,15.6,17.18,0.0,25.17,2.95,2.0,8.29,6.5,4.63
RADOMSZCZAŃSKI,26.11,15.45,16.5,15.31,15.4,22.4,25.17,3.17,2.83,8.9,6.61,4.6
SIERADZKI,23.67,14.83,16.0,15.1,15.39,20.0,22.8,3.27,2.5,8.58,6.23,3.82
TURECKI,21.7,14.1,15.5,14.09,13.88,14.0,22.0,2.86,0.0,7.75,5.91,3.59
WIELUŃSKI,23.21,15.0,15.0,15.0,15.5,22.0,20.0,3.57,2.5,5.9,5.83,4.0
POŁUDNIOWO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
PÓŁNOCNO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
PRASKO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
ŚRÓDMIEJSKO-WARSZAWSKI,22.17,15.87,15.0,14.67,14.45,0.0,25.0,4.83,0.0,10.89,7.25,6.63
BARANOWICKI,22.46,15.47,15.5,14.5,15.38,15.44,20.4,4.43,4.0,6.76,5.16,4.06
BRASŁAWSKI,15.12,10.6,13.0,10.89,9.26,9.0,10.25,2.77,2.4,3.61,2.68,1.98
LIDZKI,20.0,15.29,15.0,14.0,14.47,15.86,17.86,5.19,4.35,7.13,5.6,5.46
NIEŚWIESKI,21.06,14.37,14.29,14.19,14.53,15.78,19.71,4.84,4.2,5.48,4.62,3.93
NOWOGRÓDZKI,21.425197205781966,14.64681600213411,14.258897904336477,14.239912058018469,13.924734099931738,14.834216304123066,21.296869596972495,5.547669371300943,0.056957538954025,7.097345612030516,5.321811737770327,4.485080392257578
SŁONIMSKI,21.94,15.82,15.67,15.44,16.26,16.46,20.25,5.27,4.8,7.69,5.44,4.04
STOŁPECKI,19.65480279421803,14.053183997865892,14.741102095663521,13.66008794198153,13.365265900068259,13.335783695876932,16.903130403027504,4.422330628699057,3.2430424610459747,5.542654387969484,4.6581882622296735,4.274919607742421
WOŁOŻYŃSKI,19.08,13.76,15.0,13.25,13.15,16.5,18.14,4.71,3.5,6.47,5.15,4.2
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),20.5,14.83,15.5,14.33,14.45,14.2,17.67,5.52,0.0,6.73,5.36,3.6
