District,Pszenica,Żyto,Jęczmień,Owies,Gryka,Proso,Kukurydza,Mieszanki zbóż na ziarno (jęczmień i owies),Mieszanki zbóż na ziarno (inne),Groch,"Fasola, Bób, Soczewica","Peluszka, wyka, bobik",Łubin,Seradela,Koniczyna,Pozostałe pastawne oraz mieszanki,Ziemniaki,Buraki Cukrowe,Len,Konopie,Rzepak i rzepik ozimy i jary,Chmiel,Cykoria
MIECHOWSKI,16831.84802181278,18862.54248168493,11055.23158808756,13116.679115011999,12.896447473540764,210.3112972608186,83.33089136749416,201.38298747144424,196.42281536623625,99.20344210415972,61.506134104579026,2019.782081240692,434.51107641621957,351.18018504872543,9049.33798874145,1767.8053382961264,12036.353630497699,1501.9401134569782,41.66544568374708,25.79289494708153,129.95650915644924,0.0,2.9761032631247915
OLKUSKI,3513.0,22085.0,7507.0,8554.0,172.0,0.0,1.0,276.0,117.0,48.0,3.0,725.0,2699.0,332.0,3444.0,127.0,15945.0,0.0,6.0,5.0,18.0,0.0,0.0
OPATOWSKI,10913.0,23015.0,11788.0,19220.0,239.0,503.0,0.0,218.0,184.0,470.0,40.0,1704.0,3034.0,1496.0,7226.0,1106.0,14972.0,1386.0,120.0,35.0,426.0,16.0,0.0
OPOCZYŃSKI,1817.0,39152.0,4129.0,9675.0,435.0,374.0,7.0,64.0,20.0,162.0,16.0,34.0,5473.0,2655.0,977.0,62.0,16209.0,0.0,308.0,5.0,129.0,6.0,0.0
PIŃCZOWSKI,11610.0,18931.0,9683.0,7571.0,72.0,1078.0,7.0,187.0,212.0,180.0,86.0,1949.0,462.0,124.0,5283.0,1080.0,10510.0,2998.0,3.0,8.0,126.0,11.0,44.0
RADOMSKI,2383.3789953055743,47284.818709845524,9364.824835445288,14893.159226874279,1331.772203502701,812.8742931009078,0.0,115.42025763690074,45.37890471194388,653.0616286805837,84.83882185276465,744.805936032992,8784.764053475223,5687.1605579207935,2840.127536210575,183.48861470481657,17009.19728355079,40.446415069341285,320.6118267691687,34.527427498218174,393.61267347968715,38.47341921230025,0.0
SANDOMIERSKI,8847.0,16122.0,8938.0,10399.0,74.0,1021.0,4.0,157.0,99.0,315.0,102.0,1387.0,1836.0,591.0,4396.0,293.0,11151.0,1125.0,36.0,45.0,155.0,16.0,0.0
STOPNICKI,9396.0,26993.0,9263.0,10416.0,43.0,1722.0,1.0,299.0,205.0,519.0,152.0,1202.0,3213.0,870.0,4324.0,271.0,15328.0,330.0,2.0,4.0,78.0,0.0,0.0
WŁOSZCZOWSKI,6356.0,18607.0,3430.0,5272.0,22.0,129.0,3.0,185.0,124.0,136.0,11.0,1192.0,4016.0,1964.0,2087.0,410.0,11715.0,0.0,96.0,6.0,29.0,19.0,0.0
ZAWIERCIAŃSKI,998.0,17751.0,2454.0,3078.0,56.0,5.0,1.0,63.0,79.0,71.0,14.0,177.0,2069.0,137.0,412.0,123.0,11069.0,0.0,1.0,0.0,0.0,0.0,0.0
CZĘSTOCHOWA (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOSNOWIEC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RADOM (MIASTO),32.621004694425544,647.1812901544723,128.17516455471096,203.84077312572123,18.227796497299042,11.125706899092156,0.0,1.5797423630992504,0.6210952880561155,8.938371319416271,1.1611781472353464,10.194063967007983,120.23594652477628,77.83944207920665,38.87246378942514,2.5113852951834237,232.80271644920748,0.5535849306587116,4.388173230831251,0.472572501781827,5.387326520312828,0.5265807876997501,0.0
BIALSKI (BIAŁA KRAKOWSKA),1127.6356699864768,7389.463325378024,651.4490079970981,7757.091199659921,2.0,1.0441363827681773,0.0,134.72888732979294,54.35309106214542,5.044136382768177,20.573772975986305,38.8751592535295,15.051704784602217,1.0,4586.103561104369,171.2005247648109,6612.179472425456,0.0,0.0,0.0,48.0,0.0,0.0
BOCHEŃSKI,7585.0,10292.0,3272.0,5794.0,110.0,80.0,5.0,55.0,24.0,59.0,52.0,59.0,69.0,3.0,3793.0,59.0,7308.0,0.0,2.0,1.0,35.0,10.0,76.0
BRZESKI (BRZESKO),7611.0,13401.0,4225.0,7247.0,7.0,337.0,31.0,113.0,8.0,24.0,46.0,90.0,92.0,29.0,4444.0,49.0,8637.0,35.0,3.0,11.0,6.0,0.0,0.0
CHRZANOWSKI,979.0,8993.0,867.0,3588.0,6.0,20.0,0.0,48.0,27.0,3.0,2.0,26.0,155.0,6.0,946.0,50.0,6604.0,0.0,0.0,0.0,5.0,0.0,0.0
DĄBROWSKI,6834.0,9926.0,3329.0,4735.0,24.0,403.0,142.0,211.0,75.0,41.0,146.0,227.0,560.0,17.0,3418.0,256.0,5529.0,107.0,3.0,12.0,19.0,0.0,0.0
GORLICKI,5320.1294463199365,7046.228875186181,3122.3913080146435,10841.107455314252,2.0,1.2810840457110495,0.0,131.95696724548452,67.83794159988673,64.90276495993204,111.52444587415303,61.929866102708274,34.67588319977346,0.0,4293.540177085738,83.90276495993204,6174.157095919257,0.0,123.8326310626403,1.2810840457110495,0.2810840457110494,0.0,0.0
JASIELSKI,8029.498412207267,11604.857378012766,4025.4874076326755,8015.821834706636,49.95486928919788,47.57012015315292,1.0021600327712499,204.22574269017326,34.9231587298115,77.96641629609226,227.84198875426102,155.53634843703892,219.61706626648157,19.819390623522334,4116.327424635294,147.07018440238141,7688.062965865835,6.397446029909962,24.144097814166617,8.069888874312058,0.42304991250166096,0.0,0.0
KRAKOWSKI,7737.700086880828,13949.311506212207,2632.068381463124,8111.336152808213,4.818987377248194,21.323417952113264,5.0,90.42721598808437,99.9227854132193,43.59936746110604,12.86645582036868,228.85443197616874,165.24620336533258,22.637974754496387,4552.712709632633,359.7594950899278,8583.476022376784,849.0,1.0,27.379747544963884,13.637974754496389,0.0,30.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,4285.0,5185.0,3919.0,10650.0,0.0,2.0,0.0,203.0,146.0,36.0,4.0,49.0,250.0,0.0,4870.0,85.0,5833.0,0.0,86.0,15.0,0.0,0.0,0.0
MIELECKI,5950.8675632005825,11854.979730969799,3268.898497605669,7085.929396970536,63.66692143845491,200.9487207901233,9.947956474758579,306.3970594225642,176.07882960322686,50.73457802126875,34.81784766165503,349.17327226402614,1328.0521893802704,172.09964701332342,3223.1378978217795,256.65727704877133,7667.8848507439125,21.885504244468873,7.958365179806863,3.9791825899034317,0.9947956474758579,0.0,0.0
MYŚLENICKI,5245.221750118827,8684.061143068708,2711.0316568695052,11648.781986945116,1.1810126227518059,7.676582047886738,0.0,153.34488328112127,25.66941747780462,20.252206032482473,6.13354417963132,67.14556802383126,316.98310454479133,2.3620252455036117,5339.229691475267,76.57183406390952,7701.735887454865,0.0,26.58919662177985,23.620252455036116,8.362025245503611,0.0,0.0
NOWOSĄDECKI,5930.806042683499,9227.863644679961,6264.1643864631715,16605.47624328369,2.0,2.556408347700225,0.0,602.5049926867159,41.474292169507876,127.68457530170473,107.81274225570922,140.59478399421036,77.94858433901575,1.0,7171.783017295593,107.68457530170473,9109.651795700545,0.0,252.27935929591507,25.556408347700224,1.5564083477002248,0.0,0.0
NOWOTARSKI,235.69087122031544,3506.2030352941424,6089.962885819161,28083.77746613321,0.0,0.0,0.0,492.90916585788614,28.885923147109835,158.6328022479356,27.0,0.0,306.0895218778702,0.0,6447.930120649427,18.556176185136295,10923.42035427672,0.0,249.72018742481427,3.0,0.0,0.0,0.0
ROPCZYCKI,9159.501587792733,17071.142621987237,4877.512592367325,9216.178165293364,43.04513071080213,190.4298798468471,0.9978399672287503,138.77425730982674,220.0768412701885,54.03358370390774,101.15801124573899,128.4636515629611,806.3829337335185,47.18060937647767,4514.672575364707,226.9298155976186,10073.937034134166,183.60255397009007,25.855902185833386,11.930111125687942,6.57695008749834,0.0,0.0
TARNOWSKI,7850.064510996565,12691.90748013386,4034.444305522186,8502.416301402058,54.0,94.16250760658873,10.0,116.53804006779953,70.6877662306054,42.41265973836324,74.66281187013776,111.47534990308138,302.3755324612108,26.0,5289.676805618669,140.41265973836323,8038.191108380198,131.0,16.888009641444626,1.1625076065887257,0.16250760658872573,9.0,0.0
WADOWICKI,4318.74143015501,12768.263664830738,1988.9858256244481,15102.16736954988,0.0,1.955863617231823,0.0,155.9908165266398,29.89237881035487,17.559770669017745,14.426227024013698,40.1248407464705,285.52869398756275,1.0,7383.824169463311,198.34760600804776,11574.323811596969,0.0,19.56766603178822,0.0,5.0,0.0,13.0
ŻYWIECKI,949.0101916385441,4575.697325216182,2909.5022422266643,14062.845824903663,0.0,0.0,0.0,143.59903101647544,93.27640408936595,1.9117172066899721,3.0,2.0,120.10077143984101,0.0,6828.199747674994,37.5643638881678,9432.864451869205,0.0,77.12294992161766,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),5131.785334865892,32460.472156942968,4057.1505827085084,12873.999425507765,1167.2235098682477,690.5614092097962,4.0,248.69193864405287,335.93495529521977,1089.8552052033126,33.65573694641317,1094.5649596702788,3935.491560148156,4294.572066358205,3016.748044219663,2080.0203039547114,14418.151350428307,93.66922847904857,572.9568149611825,153.56275326513577,254.61509899049457,0.01722095181530722,0.0
BIŁGORAJSKI,4111.0,16614.0,4578.0,9735.0,5509.0,907.0,0.0,47.0,20.0,150.0,2.0,106.0,1845.0,508.0,1473.0,48.0,8632.0,19.0,733.0,806.0,25.0,0.0,0.0
CHEŁMSKI,13926.0,29179.0,9453.0,9122.0,1869.0,692.0,8.0,595.0,224.0,636.0,93.0,1375.0,1099.0,266.0,2743.0,226.0,13989.0,671.0,260.0,170.0,273.0,56.0,0.0
GARWOLIŃSKI,4361.0,34216.0,7750.0,11856.0,2767.0,785.0,11.0,298.0,239.0,268.0,15.0,317.0,3814.0,3901.0,5430.0,584.0,16125.0,259.0,438.0,55.0,256.0,11.0,0.0
HRUBIESZOWSKI,17051.23380946995,17788.1893512666,9368.974783961194,12851.872691170243,2168.0345807525596,788.2674094909828,1.0406465328551875,229.1621096726088,109.01984680761565,375.5464099916151,264.37782217202846,2565.145469892417,361.9015906952861,22.442951916359156,4019.1938957644265,1842.0198468076157,9468.742431681581,3086.21101200343,309.9163887323597,263.8309357216014,707.855418933077,15.335333896055296,0.0
JANOWSKI,7587.0,24271.0,10323.0,14569.0,4547.0,1080.0,2.0,1634.0,170.0,245.0,29.0,675.0,4844.0,1342.0,3944.0,178.0,11063.0,1304.0,333.0,227.0,390.0,69.0,0.0
KRASNOSTAWSKI,18692.0,18084.0,8905.0,10694.0,2831.0,837.0,6.0,1042.0,302.0,237.0,75.0,1560.0,2742.0,86.0,6863.0,539.0,11253.0,1798.0,388.0,306.0,499.0,78.0,0.0
LUBARTOWSKI,4285.0,29358.0,3089.0,8584.0,6054.0,553.0,0.0,107.0,22.0,37.0,9.0,181.0,1371.0,1848.0,2532.0,32.0,11193.0,671.0,270.0,43.0,212.0,67.0,0.0
LUBELSKI,20391.10660227443,28688.294428316,12683.015124766087,17652.95487736619,3218.5991699048805,408.67936192660295,3.9871157261131995,1207.0992860807712,192.37833378496188,68.77774627545269,34.8872626034905,1038.6436466524885,4113.7066504172935,732.6325146733004,8859.37114342353,376.78243611769733,15738.142549900327,4570.2314010572545,202.34612310024488,109.64568246811298,561.1865384504329,80.7390934537923,0.0
ŁUKOWSKI,2704.0,36057.0,2472.0,11815.0,3142.0,401.0,1.0,246.0,139.0,451.0,17.0,906.0,1827.0,6587.0,3867.0,284.0,14907.0,25.0,693.0,44.0,164.0,28.0,0.0
PUŁAWSKI,5585.0,24121.0,10399.0,9459.0,3456.0,1083.0,1.0,584.0,212.0,171.0,17.0,899.0,2977.0,1520.0,4791.0,301.0,12683.0,2028.0,116.0,75.0,353.0,203.0,0.0
RADZYŃSKI,6472.015953300126,25128.348709759273,2111.8685902999337,11993.143408846157,1823.1171093065432,598.4125519897501,0.0,100.5651709666635,118.48767668349461,392.3037362461923,35.845011433662236,1075.3503430098672,2135.7652645890416,3318.6506418998956,3850.3516448325518,186.1949205026344,11135.850218724401,228.01410050857368,448.06264292077793,88.61683382210941,231.0011847947122,3.982779048184693,0.0
SIEDLECKI,5089.021868939293,36313.73216682878,2895.0555061171044,12335.570914357619,384.7206630114433,218.04022285535163,0.0,495.2836996671921,904.4663211626014,851.2098118609708,15.345652596546536,1963.1478589316164,2279.3522382740866,8811.728346301907,3813.10985907517,1711.2718203364414,17110.72530342066,151.34022007804583,1057.98696751021,20.611957095313155,132.5076138578184,3.0,0.0
SOKOŁOWSKI,4422.0,22439.0,2551.0,6480.0,194.0,96.0,2.0,589.0,407.0,554.0,16.0,2420.0,1564.0,4232.0,2755.0,287.0,12608.0,729.0,603.0,9.0,32.0,0.0,0.0
TOMASZOWSKI,12393.76619053005,16285.8106487334,9154.025216038806,9631.127308829757,2048.9654192474404,902.7325905090173,3.9593534671448127,502.8378903273912,488.98015319238436,345.45359000838494,231.62217782797154,890.8545301075828,867.098409304714,140.55704808364086,3330.806104235574,488.98015319238436,9813.257568318419,2455.78898799657,284.0836112676403,373.1690642783986,278.1445810669231,32.664666103944704,0.0
WĘGROWSKI,2795.0,21680.0,2008.0,5974.0,506.0,305.0,1.0,356.0,119.0,253.0,16.0,1917.0,2198.0,3864.0,2369.0,133.0,12205.0,5.0,551.0,12.0,9.0,3.0,0.0
WŁODAWSKI,4889.0,34454.0,3724.0,10284.0,5289.0,870.0,1.0,34.0,44.0,585.0,23.0,343.0,2800.0,997.0,1574.0,111.0,12342.0,38.0,601.0,206.0,347.0,23.0,0.0
ZAMOJSKI,13175.0,16698.0,8851.0,10100.0,1997.0,694.0,1.0,419.0,96.0,290.0,59.0,1329.0,809.0,403.0,4251.0,293.0,10871.0,1934.0,269.0,218.0,171.0,31.0,0.0
LUBLIN (MIASTO),65.89339772556929,92.70557168400106,40.984875233912284,57.045122633809065,10.400830095119677,1.3206380733970478,0.012884273886800466,3.900713919228841,0.6216662150381225,0.22225372454730805,0.11273739650950408,3.3563533475115213,13.293349582706382,2.367485326699586,28.628856576470636,1.217563882302644,50.85745009967314,14.768598942745035,0.6538768997551236,0.3543175318870128,1.8134615495671655,0.2609065462077094,0.0
BÓBRECKI,7798.0,5859.0,4060.0,7170.0,836.0,531.0,645.0,241.0,69.0,217.0,180.0,372.0,97.0,2.0,2213.0,339.0,6996.0,940.0,252.0,278.0,18.0,2.0,0.0
BRZOZOWSKI,4987.0,9684.0,3485.0,5985.0,22.0,38.0,0.0,101.0,42.0,46.0,53.0,269.0,51.0,10.0,3608.0,75.0,6042.0,69.0,36.0,63.0,0.0,0.0,0.0
DOBROMILSKI,4680.2141152842305,7237.0011587967965,2075.2994903603158,10200.512623688363,13.5799298856735,31.30882916187002,5.158887590475436,93.19953257115668,49.97218976188588,35.62660434282089,89.22539844752765,109.18767000946113,222.29093712370832,2.065538676180658,2626.3691141512195,68.7010890380824,5563.180854968048,32.0,124.27304508554661,84.7864641141679,2.0,0.0,0.0
DROHOBYCKI,4165.504328399905,10234.728361592597,3014.5537508128364,10235.159989831447,41.34275509947179,333.8225920097065,163.4187581967036,38.45601858339093,41.07748542108901,24.944850581897615,411.7480712363319,299.55880465518095,31.891183487652416,33.152006194463645,2832.6702823798564,52.88970116379523,8168.536636089377,8.381497810016292,678.6691034913857,188.30845936049883,8.509685677636126,0.0,0.0
GRÓDECKI,5038.430644324668,9324.628293202615,3279.7439014539327,6461.41823175099,1292.849657564324,450.460613231727,8.24199124739365,90.30990793288859,69.70108534509805,126.48224764227278,342.21848322757086,150.48746364980298,776.8072487736041,57.84605355726611,2058.05187149826,76.80013807288145,5958.1509267082765,141.68892864657377,435.82152515262464,214.7271355651434,0.13561907429595535,0.0,15.0
JAROSŁAWSKI,8570.650996120485,17510.423567545527,4109.928964117097,7864.785408179447,786.5521877046222,569.1808870919843,58.48828143780363,464.85580597704546,85.54598429132183,60.26043892240278,29.616334628331717,383.0102036210342,899.6907752979278,261.0642213889333,3405.508844155233,278.08449511396066,8492.339485507611,1900.0349190005852,249.01645056026666,202.8860181901095,63.33449730001951,1.001073273639052,0.0
JAWOROWSKI,3315.5030139170713,14943.347449812076,3174.340461209402,8030.760725477917,1404.0680613762859,787.107604572317,4.741654366501199,96.94745769816944,131.95679956978165,83.46228117673135,73.0172498922438,88.28848258072576,1703.8681019427258,463.98885740141867,994.3475298309057,82.33640152469539,6782.6261115809775,57.71924903913749,594.1328326395321,345.6849395664306,0.0,0.4121668077793548,0.0
KOLBUSZOWSKI,2054.132436799418,14514.020269030201,2991.101502394331,4564.070603029464,513.3330785615451,569.0512792098767,1.052043525241421,26.60294057743577,182.92117039677316,23.265421978731247,29.182152338344974,83.82672773597388,2714.94781061973,117.90035298667658,1077.8621021782205,48.342722951228666,7228.1151492560875,1.1144957555311263,204.04163482019314,106.02081741009657,0.0052043525241421106,0.0,0.0
KROŚNIEŃSKI,7069.362916643958,10844.144515802274,3920.7633432550006,8713.399387430298,28.72726899815522,36.92726352878288,3.0,374.34542645276935,140.3545338942812,46.672720063100094,176.51815335258485,244.4545243228796,50.909075992620885,7.818179332103481,4420.199625347995,133.99089255848816,7284.79040578435,18.24544969760179,46.63635866420696,48.40908282933631,21.890902129889746,1.172726899815522,0.0
LESKI,2634.0,6434.0,2072.0,23986.0,25.0,11.0,1.0,51.0,25.0,67.0,568.0,63.0,1019.0,0.0,2748.0,48.0,6801.0,4.0,439.0,187.0,0.0,0.0,0.0
LWOWSKI,11512.0,13117.0,4997.0,11909.0,1736.0,632.0,102.0,302.0,230.0,196.0,292.0,221.0,267.0,4.0,5176.0,350.0,10459.0,172.0,320.0,186.0,3.0,0.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,5732.935823593806,16327.217517463208,3858.610855804237,5970.084521002547,1273.0848701822285,1056.5962304891398,159.21946001918195,112.59365781410453,278.77325541720757,45.44149271339926,75.70081514866015,262.2696131354023,1111.3720585813828,502.41148753596616,2769.538848997185,178.7509682648805,6968.243565299305,253.36176788124138,537.289327612694,204.6309475551481,19.35662253117068,55.05486500479549,0.0
MOŚCISKI,5623.0,12282.0,3255.0,4948.0,267.0,588.0,131.0,228.0,125.0,55.0,102.0,226.0,658.0,246.0,2150.0,236.0,6149.0,63.0,374.0,163.0,82.0,3.0,7.0
NIŻAŃSKI,2505.0,9888.0,2054.0,2981.0,648.0,851.0,1.0,55.0,38.0,25.0,21.0,28.0,1052.0,69.0,653.0,23.0,5875.0,19.0,281.0,142.0,0.0,0.0,0.0
PRZEMYSKI,9920.0,13276.0,3381.0,6298.0,130.0,136.0,34.0,220.0,102.0,108.0,226.0,594.0,73.0,4.0,4469.0,104.0,7421.0,945.0,114.0,160.0,20.0,0.0,0.0
PRZEWORSKI,5021.0,6673.0,1223.0,3473.0,97.0,212.0,2.0,74.0,203.0,154.0,19.0,260.0,66.0,55.0,1928.0,327.0,3267.0,1246.0,2.0,8.0,47.0,0.0,0.0
RAWSKI (RAWA RUSKA),8078.0,13639.0,6305.0,6900.0,1245.0,819.0,16.0,165.0,187.0,386.0,93.0,808.0,1203.0,161.0,2007.0,273.0,8333.0,537.0,214.0,430.0,77.0,3.0,0.0
RUDECKI,5315.502619031767,6236.103277697037,3575.379091996013,4795.2492866321245,577.7289386456972,743.2190462852022,453.8590975981635,136.7523045164772,102.06874902316777,79.27669827042158,401.3382849940092,178.37257110844854,74.32190462852023,0.0,1326.893737301181,225.93859007070148,6197.455887290206,159.54435526922342,572.7741450037959,156.5714790840826,14.864380925704046,0.0,0.0
RZESZOWSKI,13096.701259762234,20809.637966734517,5818.625800940763,9492.516091567155,92.18786081961619,243.47650598207724,7.780539980818044,265.06091573312614,225.87221068851127,121.88578722350064,199.781031498755,361.2758625417181,511.71886542599634,26.77033313193035,6499.261525654821,391.25813917663135,10699.966028916346,178.39278242115682,70.07431372309904,61.95996961551556,46.752475338939576,3.7724080953889887,0.0
SAMBORSKI,6195.114815743788,13220.067775535927,4725.310717013287,8996.245958404783,123.23456489226331,395.15068057584557,123.90674772906925,224.72611469484318,76.06016272323279,64.67943385520026,451.63814578218563,419.4581871839674,191.72661056591247,40.0795708405837,2743.957831458821,103.64389957434359,10011.42788767,139.6185021899837,366.593212030192,272.4704650600692,8.490314322363872,0.0,0.0
SANOCKI,5379.0,7862.0,4390.0,13892.0,6.0,28.0,2.0,203.0,151.0,106.0,356.0,186.0,279.0,0.0,3607.0,84.0,7008.0,88.0,155.0,94.0,12.0,0.0,0.0
SOKALSKI,12558.227019688973,12106.234387142691,6895.3765925452535,7470.820957328845,1234.5173223731035,1034.4060467303666,22.8983051730495,557.523952039466,230.97420870206452,850.2240268601857,72.67722946228754,834.2947710876296,186.17317684175026,2.9867354573542824,3966.384687366487,1062.2822443323398,9157.33091224823,1150.8887295671834,420.1341210011691,502.76713532130424,12.942520315201891,0.0,0.0
TARNOBRZESKI,2359.0,9112.0,2980.0,3392.0,188.0,729.0,1.0,39.0,78.0,5.0,22.0,284.0,435.0,77.0,1069.0,230.0,6635.0,278.0,94.0,99.0,6.0,14.0,0.0
ŻÓŁKIEWSKI,7224.606008028223,10947.442325870486,3527.777528733761,5781.17096862531,1247.4473989177043,567.5281911680695,49.22912296547902,78.95236702010786,153.26047715667997,172.76635606753015,108.67561107473671,224.78203316313062,338.1019011214031,10.217365143778665,1914.3626873934388,111.46216520485817,6108.126653226227,64.09074499279345,425.41393053187534,298.1612919229956,34.367500938164596,12.075067897192968,0.0
