District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,Ogółem R,Ogółem PR,Handel jarmarczny - hurt R,Handel jarmarczny - hurt PR,Handel jarmarczny - detal R,Handel jarmarczny - detal PR,Karty rejestracyjne R,Karty rejestracyjne PR
JASIELSKI,0.0,0.0,4.416569814187912,0.0021600327712497937,3.0021600327712497,0.0,1.0,0.0,8.418729846959161,0.0021600327712497937,0.0,0.0,0.0,0.0,22.536139442238717,1.0021600327712499
KRAKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4569621317445827,0.0
KRAKÓW (MIASTO),0.0,0.0,171.0,15.0,4.0,3.0,106.0,19.0,281.0,37.0,0.0,0.0,0.0,0.0,523.0,27.0
LIMANOWSKI,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0
MIELECKI,0.0,0.0,5.968773884855148,0.0,0.9947956474758579,0.0,0.9947956474758579,0.0,7.958365179806863,0.0,0.0,0.0,0.0,0.0,31.833460719227453,0.0
MYŚLENICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.83387834259026,1.1109440961531074
NOWOSĄDECKI,0.0,0.0,11.0,0.0,3.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,88.13584208330653,5.0
NOWOTARSKI,0.0,0.0,12.0,4.0,3.0,0.0,2.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,72.40292405953768,5.379681348761358
ROPCZYCKI,0.0,0.0,3.5834301858120887,0.9978399672287503,0.9978399672287503,0.0,0.0,0.0,4.5812701530408395,0.9978399672287503,0.0,0.0,0.0,0.0,38.463860557761286,0.9978399672287503
TARNOWSKI,0.0,0.0,19.0,0.0,6.0,0.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,59.712720591073044,1.0
WADOWICKI,0.0,0.0,8.34552266031138,2.4779318086159114,0.0,0.0,6.3013862775432035,13.38209064124552,14.646908937854583,15.860022449861432,0.0,0.0,0.0,0.0,116.50971417687231,0.9623442310715518
ŻYWIECKI,0.0,0.0,8.0,2.0,0.0,1.0,4.0,1.0,12.0,4.0,0.0,0.0,0.0,0.0,38.869657251123456,2.547030324013983
BIALSKI (BIAŁA PODLASKA),0.0,0.0,9.676187031563101,0.004305237953826805,0.0,0.0,0.0,0.0,9.676187031563101,0.004305237953826805,0.0,0.0,0.0,0.0,68.31412556843303,1.0301366656767876
BIŁGORAJSKI,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,49.0,16.0
CHEŁMSKI,0.0,0.0,5.0,0.0,3.0,0.0,1.0,2.0,9.0,2.0,0.0,0.0,0.0,0.0,78.0,8.0
GARWOLIŃSKI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0
HRUBIESZOWSKI,0.0,0.0,8.040646532855188,6.0,2.0203232664275936,0.0,0.0,0.0,10.06096979928278,6.0,0.0,0.0,0.0,0.0,26.213394297489735,0.0
JANOWSKI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,33.0,4.0
KRASNOSTAWSKI,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,68.0,7.0
LUBARTOWSKI,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0
LUBELSKI,0.0,0.0,8.842173760852775,0.0,6.877246258441048,0.0,15.719420019293823,0.9824637512058639,31.438840038587646,0.9824637512058639,0.0,0.0,0.0,0.0,195.51028648996692,8.842173760852775
ŁUKOWSKI,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,58.0,4.0
PUŁAWSKI,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,40.0,1.0
RADZYŃSKI,0.0,0.0,15.931116192738772,0.9956947620461732,0.0,0.0,0.0,0.0,15.931116192738772,0.9956947620461732,0.0,0.0,0.0,0.0,55.7589066745857,6.969863334323213
SIEDLECKI,0.0,0.0,6.359782699259972,0.0,2.0,1.0,1.0,0.0,9.359782699259972,1.0,0.0,0.0,0.0,0.0,68.59782699259972,0.0
SOKOŁOWSKI,0.0,0.0,6.0,2.0,1.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,42.0,0.0
TOMASZOWSKI,0.0,0.0,3.9593534671448127,0.0,1.9796767335724064,0.0,0.0,0.0,5.9390302007172195,0.0,0.0,0.0,0.0,0.0,20.78660570251027,0.0
WĘGROWSKI,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,5.0
WŁODAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,4.0
ZAMOJSKI,0.0,0.0,20.0,2.0,1.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,55.0,8.0
LUBLIN (MIASTO),0.0,0.0,0.1578262391472251,0.0,0.12275374155895286,0.0,0.28057998070617796,0.017536248794136122,0.5611599614123559,0.017536248794136122,0.0,0.0,0.0,0.0,3.4897135100330883,0.1578262391472251
BÓBRECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
BRZOZOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0
DOBROMILSKI,0.0,0.0,1.0,0.0,0.15888759047543521,0.0,0.0,0.0,1.1588875904754352,0.0,33.0,0.0,0.0,0.0,15.271100723803482,0.0
DROHOBYCKI,0.0,0.0,4.113263483919139,0.0,3.113263483919139,0.0,0.0,0.0,7.226526967838278,0.0,0.0,0.0,0.11326348391913907,0.0,147.37853316230192,1.0
GRÓDECKI,0.0,0.0,0.020217769111429387,0.0,0.020217769111429387,0.020217769111429387,0.0,0.0,0.04043553822285877,0.020217769111429387,0.0,0.0,0.0,0.0,18.885678003946264,0.04520635809865178
JAROSŁAWSKI,0.0,0.0,0.0,0.0,0.15401127286754646,0.0,1.9487537630775233,0.0,2.10276503594507,0.0,0.0,0.0,0.0,0.0,22.61704448583728,0.9743768815387617
JAWOROWSKI,0.0,0.0,0.9462171973629097,0.0,1.0096274754828105,0.9462171973629097,0.0,0.0,1.95584467284572,0.9462171973629097,0.0,0.0,0.0,0.0,20.35670661020701,0.0
KOLBUSZOWSKI,0.0,0.0,1.0312261151448527,0.0,0.0052043525241421106,0.0,0.0052043525241421106,0.0,1.041634820193137,0.0,0.0,0.0,0.0,0.0,16.166539280772547,0.0
KROŚNIEŃSKI,0.0,0.0,2.390908966605174,0.0,0.0,0.0,0.0,0.0,2.390908966605174,0.0,0.0,0.0,0.0,0.0,94.31817249538805,3.736362766236218
LESKI,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0
LWOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
LWÓW (MIASTO),0.0,0.0,148.0,5.0,4.0,0.0,33.0,0.0,185.0,5.0,0.0,0.0,0.0,0.0,461.0,2.0
ŁAŃCUCKI,0.0,0.0,3.274325023977445,0.054865004795489024,0.13716251198872256,0.0,0.08229750719323353,0.054865004795489024,3.4937850431594013,0.10973000959097805,0.0,0.0,0.0,0.0,41.67338264626242,0.08229750719323353
MOŚCISKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
NIŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
PRZEMYSKI,0.0,0.0,13.0,0.0,5.0,0.0,9.0,0.0,27.0,0.0,0.0,0.0,5.0,0.0,92.0,1.0
PRZEWORSKI,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
RAWSKI (RAWA RUSKA),0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
RUDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.53889514739375,4.9547936419013485
RZESZOWSKI,0.0,0.0,10.33476600941738,1.945134995204511,4.8628374880112775,0.0,2.9177024928067663,1.945134995204511,18.115305990235424,3.890269990409022,0.0,0.0,0.0,0.0,105.00844485834953,7.181339726570548
SAMBORSKI,0.0,0.0,1.8867365160808607,0.0,2.212242441853733,0.0,0.0,0.0,4.098978957934594,0.0,0.0,0.0,1.8867365160808607,0.0,42.22551424388105,0.0
SANOCKI,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0
SOKALSKI,0.0,0.0,3.9823139431390433,1.9911569715695216,2.9867354573542824,0.9955784857847608,0.0,0.0,6.969049400493326,2.9867354573542824,0.0,0.0,0.0,0.0,23.89388365883426,6.969049400493326
TARNOBRZESKI,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0
ŻÓŁKIEWSKI,0.0,0.0,0.9288513767071513,0.0,1.8577027534143027,0.0,0.0,0.0,2.786554130121454,0.0,0.0,0.0,0.0,0.0,15.790473404021572,0.0
LUBACZOWSKI,0.0,0.0,0.03356503352566099,0.0,5.816143482538213,0.03356503352566099,0.05124623692247675,0.0,5.900954752986352,0.03356503352566099,0.0,0.0,0.0,0.0,45.6016757526157,0.025623118461238374
TURCZAŃSKI,0.0,0.0,0.0,0.0,0.5156064837516923,0.0,0.0,0.0,0.5156064837516923,0.0,0.0,0.0,0.0,0.0,27.124851870013536,0.0
BRZEZIŃSKI,0.0,0.0,10.0,0.0,1.0,0.0,27.0,3.0,38.0,3.0,0.0,0.0,0.0,0.0,48.0,3.0
KALISKI,0.0,0.0,12.0,0.0,6.0,1.0,30.0,2.0,48.0,3.0,0.0,0.0,0.0,0.0,84.0,2.0
KOLSKI,0.0,0.0,10.0,2.0,3.0,0.0,2.0,0.0,15.0,2.0,0.0,0.0,0.0,0.0,180.0,5.0
KONIŃSKI,0.0,0.0,7.0,2.0,4.0,0.0,1.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,116.0,1.0
ŁASKI,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
ŁĘCZYCKI,0.0,0.0,8.0,1.0,1.0,0.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,28.0,8.0
ŁÓDZKI,0.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,96.0,12.0,20.0,1.0,165.0,21.0,281.0,34.0,0.0,0.0,0.0,0.0,1357.0,79.0
PIOTRKOWSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
RADOMSZCZAŃSKI,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,80.0,3.0
SIERADZKI,0.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0
TURECKI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0
WIELUŃSKI,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,106.39298399380333,8.184075691831024,12.958119845399123,0.3410031538262927,210.0579427569963,16.70915453748834,329.4090465961988,25.23423338314566,0.0,0.0,0.0,0.0,749.5249321101913,26.939249152277124
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,92.17645428754219,7.090496483657091,11.226619432457062,0.29543735348571215,181.9894097471987,14.476430320799896,285.39248346719796,21.8623641579427,0.0,0.0,0.0,0.0,649.3713029615953,23.33955092537126
PRASKO-WARSZAWSKI,0.0,0.0,87.43570279800659,6.725823292154353,10.649220212577726,0.28024263717309805,172.6294644986284,13.731889221481804,270.7143875092127,20.737955150809256,0.0,0.0,0.0,0.0,615.9733165064695,22.139168336674746
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,25.994858920647946,1.9996045323575342,3.1660405095660957,0.08331685551489726,51.32318299717671,4.0825259202299655,80.48408242739075,6.165447308102397,0.0,0.0,0.0,0.0,183.13044842174418,6.582031585676884
BARANOWICKI,0.0,0.0,7.833603823554916,1.958400955888729,2.9376014338330934,1.958400955888729,0.9792004779443645,0.0,11.750405735332373,3.916801911777458,0.0,0.0,0.0,0.0,174.29768507409688,0.0
BRASŁAWSKI,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,153.0,18.0
LIDZKI,0.0,0.0,2.0305714951551,0.0,0.0,0.0,0.0,0.0,2.0305714951551,0.0,0.0,0.0,0.0,0.0,27.074286602068,2.0305714951551
NIEŚWIESKI,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,0.0,0.0,171.0,18.0
NOWOGRÓDZKI,0.0,0.0,4.012892860456145,1.0,2.0,0.0,0.0,0.0,6.012892860456145,1.0,0.0,0.0,0.0,0.0,44.593071580982695,2.3352143718597858
SŁONIMSKI,0.0,0.0,4.0,1.0,4.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,109.0,9.0
STOŁPECKI,0.0,0.0,4.313781306658133,2.041599044111271,1.0623985661669064,0.04159904411127089,0.020799522055635445,0.0,5.396979394880675,2.0831980882225416,0.0,0.0,0.0,0.0,77.48203091570339,3.832013385539292
WOŁOŻYŃSKI,0.0,0.0,0.8397220093308047,0.0,0.0,0.0,0.0,0.0,0.8397220093308047,0.0,0.0,0.0,0.0,0.0,38.62721242921701,21.83277224260092
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),0.0,0.0,1.6738727537892892,0.21133327468331675,0.4226665493666335,0.14088884978887783,0.7748886738388281,0.0,2.8714279769947506,0.3522221244721946,0.0,0.0,0.0,0.0,30.46637519664729,4.914316298933479
BRZESKI (BRZEŚĆ N.BUG.),0.0,0.0,21.032914076438157,0.0,0.0,0.0,0.0,0.0,21.032914076438157,0.0,0.0,0.0,0.0,0.0,241.32914076438155,18.0
DROHICKI,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,65.0,6.0
KOBRYŃSKI,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,56.0,1.0
KOSZYRSKI,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,4.0
ŁUNINIECKI,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,168.0,18.0
PIŃSKI,0.0,0.0,14.0,0.0,11.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,87.0,6.0
PRUŻAŃSKI,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
STOLIŃSKI,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,52.0,3.0
IWACEWICKI,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,68.0,6.0
BRODNICKI,0.0,0.0,22.27024638089735,1.117783699716113,8.21451451876504,0.0,4.293036985242447,2.0785224664774087,34.777797884904835,3.196306166193522,0.0,0.0,0.0,0.0,39.94966730890692,2.350506571052668
CHEŁMIŃSKI,0.0,0.0,3.239688695726004,0.12415757826353938,1.312844423111649,0.0030080875705633396,1.8131023146392016,0.05756665777592468,6.365635433476855,0.1847323236100274,0.0,0.0,0.0,0.0,17.293569676912007,6.787358270013134
CHOJNICKI,0.0,0.0,15.777208738267975,0.0,11.832525996876177,0.0,6.902243405373636,0.0,34.51197814051779,0.0,0.0,0.0,0.0,0.0,44.37368499399728,0.0
DZIAŁDOWSKI,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,17.0,1.0,8.0,1.0,37.0,7.0,62.0,9.0,0.0,0.0,0.0,0.0,77.0,3.0
GRUDZIĄDZKI,0.0,0.0,1.9570266611749474,0.0,0.0,0.0,0.0,0.0,1.9570266611749474,0.0,0.0,0.0,0.0,0.0,19.570266611749474,0.0
KARTUSKI,0.0,0.0,0.0,0.0,1.877000380354725,0.0,0.9385001901773625,0.0,2.8155005705320875,0.0,0.0,0.0,0.0,0.0,37.5400076070945,0.9385001901773625
KOŚCIERSKI,0.0,0.0,16.31977094199655,0.0,1.0070157599202774,0.0,3.8634607209594285,0.0,21.190247422876258,0.0,0.0,0.0,0.0,0.0,42.22000529640088,0.023514616960240115
LUBAWSKI,0.0,0.0,10.568126434374252,2.8822163002838868,0.9607387667612955,0.0,2.8822163002838868,1.921477533522591,14.411081501419433,4.803693833806478,0.0,0.0,0.0,0.0,17.29329780170332,0.0
SĘPOLEŃSKI,0.0,0.0,14.0,1.0,6.0,0.0,0.0,1.0,20.0,2.0,0.0,0.0,0.0,0.0,34.0,1.0
STAROGARDZKI,0.0,0.0,12.631613373229895,0.21933293003039547,4.831019192596318,1.0000217148952215,16.178605045843664,2.1714895221581455e-05,33.64123761166988,1.2193763598208387,0.0,0.0,0.0,0.0,51.451586320114764,6.514468566474437e-05
ŚWIECKI,0.0,0.0,15.959719742722529,4.6709247139171035,7.2967386210840015,0.9113863344057107,0.9139313069735217,0.9113863344057107,24.17038967078005,6.493697382728525,0.0,0.0,0.0,0.0,46.512358726910364,2.7341590032171323
TCZEWSKI,0.0,0.0,7.667130410228648,1.666782602557162,11.334260820457295,0.0,11.0,3.0,30.001391230685943,4.666782602557162,0.0,0.0,0.0,0.0,21.66852164091459,1.0
TORUŃ (MIASTO),0.0,0.0,0.07749777980672895,0.030999111922691582,0.09299733576807474,0.0,0.24024311740085977,0.015499555961345791,0.4107382329756635,0.04649866788403737,0.0,0.0,0.0,0.0,0.6974800182605606,0.0077497779806728955
TORUŃSKI,0.0,0.0,9.756400202509852,3.859883747666586,11.61521485411422,0.0,29.949662655530503,1.929941873833293,51.321277712154576,5.789825621499879,0.0,0.0,0.0,0.0,87.38083848921512,1.2139162147178837
TUCHOLSKI,0.0,0.0,5.5934193048548275,0.42791931564252145,2.724412229992466,0.08558386312850429,1.1622660502394244,0.08558386312850429,9.480097585086718,0.59908704189953,0.0,0.0,0.0,0.0,16.56703140911412,0.25675158938551285
WĄBRZESKI,0.0,0.0,13.182151334210443,0.0,2.824746714473666,0.0,2.824746714473666,0.0,18.831644763157776,0.0,0.0,0.0,0.0,0.0,48.96227638421021,5.649493428947332
