District,Powierzchnia plantacji (ha),Przeciętny zbiór z ha,Ogólny zbiór
DROHICKI,0.0,0.0,0.0
KOBRYŃSKI,0.0,0.0,0.0
KOSZYRSKI,0.0,0.0,0.0
ŁUNINIECKI,0.0,0.0,0.0
PIŃSKI,0.0,0.0,0.0
PRUŻAŃSKI,0.0,0.0,0.0
STOLIŃSKI,0.0,0.0,0.0
IWACEWICKI,0.0,0.0,0.0
BRODNICKI,19.75449387646817,2.0524149482044853,3950.8987752936346
CHEŁMIŃSKI,1767.5445586039095,241.0709293052014,424691.07108932245
CHOJNICKI,0.0,0.0,0.0
DZIAŁDOWSKI,0.0,0.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0
GRUDZIĄDZKI,1883.638161380887,195.70266611749474,376727.63227617735
KARTUSKI,0.0,0.0,0.0
KOŚCIERSKI,0.0,0.0,0.0
LUBAWSKI,0.0,0.0,0.0
SĘPOLEŃSKI,0.0,0.0,0.0
STAROGARDZKI,0.04564470975576422,0.003908681139884662,8.21604775603756
ŚWIECKI,1915.734074920804,164.04954019302792,344832.1334857447
TCZEWSKI,2900.0,180.0,522000.0
TORUŃ (MIASTO),48.9785968378527,1.937444495168224,12244.649209463176
TORUŃSKI,6156.4071893742075,249.7780008966326,1538523.888662942
TUCHOLSKI,179.897280296116,15.405095363130771,32381.51045330088
WĄBRZESKI,0.0,0.0,0.0
MORSKI,0.0,0.0,0.0
GDYNIA (MIASTO),0.0,0.0,0.0
BYDGOSKI,0.0,0.0,0.0
BYDGOSZCZ (MIASTO),0.0,0.0,0.0
CHODZIESKI,0.0,0.0,0.0
CZARNKOWSKI,0.0,0.0,0.0
GNIEŹNIEŃSKI,3284.9365114727243,226.28561088814723,730171.418416788
GOSTYŃSKI,4005.374892517862,248.42458511392826,997819.3034924023
INOWROCŁAWSKI,12869.76168180004,220.6960779640714,2947175.4251322094
JAROCIŃSKI,3519.0,200.0,703800.0
KĘPIŃSKI,0.0,0.0,0.0
KOŚCIAŃSKI,4405.143567448614,190.98279534811158,872218.4263548255
KROTOSZYŃSKI,2500.0,220.0,550000.0
LESZCZYŃSKI,94.0791318386332,4.078753690398374,18627.66810404937
MIĘDZYCHODZKI,0.0,0.0,0.0
MOGILEŃSKI,2956.61598805105,241.37484928902794,762778.8351027869
NOWOTOMYSKI,5428.936984044907,246.99440327774826,1357234.2460112267
OBORNICKI,0.0,0.0,0.0
OSTROWSKI (OSTRÓW WIELKOPOLSKI),0.0,0.0,0.0
POZNAŃ (MIASTO),0.0,0.0,0.0
RAWICKI,3661.4024081948914,254.5138658475618,915350.6020487228
SZAMOTULSKI,2698.0,180.0,485640.0
SZUBIŃSKI,0.0,0.0,0.0
ŚREDZKI,2951.0,200.0,590200.0
ŚREMSKI,0.0,0.0,0.0
WĄGROWIECKI,0.0,0.0,0.0
WOLSZTYŃSKI,0.0,0.0,0.0
WRZESIŃSKI,3906.0,238.0,929628.0
WYRZYSKI,3100.0,200.0,620000.0
ŻNIŃSKI,4401.751147197067,211.43762102362513,924816.5487590102
POZNAŃSKI,66.06301595509342,3.005596722251748,16515.753988773355
GNIEZNO (MIASTO),130.69635327915927,8.901918799199704,28753.197721415043
INOWROCŁAW (MIASTO),484.23831819995866,8.3039220359286,110890.57486779054
DOLIŃSKI,0.0,0.0,0.0
HORODEŃSKI,0.0,0.0,0.0
KAŁUSKI,0.0,0.0,0.0
KOŁOMYJSKI,0.0,0.0,0.0
KOSOWSKI (KOSÓW HUCULSKI),0.0,0.0,0.0
NADWÓRNIAŃSKI,0.0,0.0,0.0
ROHATYŃSKI,0.0,0.0,0.0
STANISŁAWOWSKI,0.0,0.0,0.0
STRYJSKI,0.0,0.0,0.0
ŚNIATYŃSKI,0.0,0.0,0.0
TŁUMACKI,0.0,0.0,0.0
ŻYDACZOWSKI,0.0,0.0,0.0
BIELSKI (BIELSKO),1600.0,180.0,288000.0
BIELSKO (MIASTO),0.0,0.0,0.0
CIESZYŃSKI,0.0,0.0,0.0
TARNOGÓRSKI,0.0,0.0,0.0
KATOWICE (MIASTO),0.0,0.0,0.0
KATOWICKI,0.0,0.0,0.0
LUBLINIECKI,0.0,0.0,0.0
PSZCZYŃSKI,0.0,0.0,0.0
RYBNICKI,0.0,0.0,0.0
ŚWIĘTOCHŁOWICKI,0.0,0.0,0.0
CHORZÓW,0.0,0.0,0.0
BORSZCZOWSKI,0.0,0.0,0.0
BRODZKI,0.0,0.0,0.0
BRZEŻAŃSKI,0.0,0.0,0.0
BUCZACKI,0.0,0.0,0.0
CZORTKOWSKI,0.0,0.0,0.0
KAMIONECKI,0.0,0.0,0.0
PODHAJECKI,0.0,0.0,0.0
PRZEMYŚLAŃSKI,0.0,0.0,0.0
RADZIECHOWSKI,0.0,0.0,0.0
SKAŁACKI,0.0,0.0,0.0
TARNOPOLSKI,0.0,0.0,0.0
TREMBOWELSKI,0.0,0.0,0.0
ZALESZCZYCKI,0.0,0.0,0.0
ZBARASKI,0.0,0.0,0.0
ZBOROWSKI,0.0,0.0,0.0
ZŁOCZOWSKI,0.0,0.0,0.0
KOPYCZYNIECKI,0.0,0.0,0.0
BŁOŃSKI,6492.0,140.0,908880.0
CIECHANOWSKI,5779.0,195.0,1126905.0
GOSTYNIŃSKI,1309.0,190.0,248710.0
GRÓJECKI,1457.0,180.0,262260.0
KUTNOWSKI,8450.0,176.0,1487200.0
LIPNOWSKI,1165.179941895749,169.15507269195328,198080.5901222773
ŁOWICKI,1135.0,148.0,167980.0
MAKOWSKI (MAKÓW MAZOWIECKI),0.0,0.0,0.0
MIŃSKI,0.0,0.0,0.0
MŁAWSKI,0.0,0.0,0.0
NIESZAWSKI,3251.0,184.0,598184.0
PŁOCKI,2172.0,169.0,367068.0
PŁOŃSKI,0.0,0.0,0.0
PRZASNYCKI,0.0,0.0,0.0
PUŁTUSKI,0.0,0.0,0.0
RADZYMIŃSKI,0.0,0.0,0.0
RAWSKI (RAWA MAZOWIECKA),0.0,0.0,0.0
RYPIŃSKI,1448.0,187.0,270776.0
SIERPECKI,5.820058104251135,0.8449273080467062,989.409877722693
SKIERNIEWICKI,0.0,0.0,0.0
SOCHACZEWSKI,0.0,0.0,0.0
WARSZAWSKI,0.0,0.0,0.0
WŁOCŁAWSKI,5416.0,201.0,1088616.0
DUBIEŃSKI,2549.9191500970082,97.35894012866049,280491.1065106709
HOROCHOWSKI,4460.0,118.0,526280.0
KOWELSKI,0.0,0.0,0.0
KRZEMIENIECKI,0.0,0.0,0.0
LUBOMELSKI,0.0,0.0,0.0
ŁUCKI,0.0,0.0,0.0
RÓWIEŃSKI,0.0,0.0,0.0
WŁODZIMIERSKI,0.0,0.0,0.0
KOSTOPOLSKI,0.0,0.0,0.0
ZDOŁBUNOWSKI,331.0808499029917,12.641059871339495,36418.893489329086
SARNEŃSKI,0.0,0.0,0.0
OSZMIAŃSKI,0.0,0.0,0.0
ŚWIĘCIAŃSKI,0.0,0.0,0.0
WILNO (MIASTO),0.0,0.0,0.0
DZIŚNIEŃSKI,0.0,0.0,0.0
WILEJSKI,0.0,0.0,0.0
WILEŃSKO-TROCKI,0.0,0.0,0.0
POSTAWSKI,0.0,0.0,0.0
MOŁODECZAŃSKI,0.0,0.0,0.0
