District,Kategoria IR,Kategoria IPR,Kategoria IIR,Kategoria IIPR,Kategoria IIIR,Kategoria IIIPR,Kategoria IVR,Kategoria IVPR,RazemR,RazemPR,Handel jarmarczny - hurtR,Handel jarmarczny - hurtPR,Handel jarmarczny - detalR,Handel jarmarczny - detalPR,Karty rejestracyjneR,Karty rejestracyjnePR
AUGUSTOWSKI,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁOSTOCKI,0.0,0.0,18.730657685613146,0.9858240887164814,9.858240887164815,0.0,0.0,0.0,28.58889857277796,0.9858240887164814,0.0,0.0,0.0,0.0,0.0,0.0
BIELSKI (BIELSK PODLASKI),0.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
GRODZIEŃSKI,0.0,0.0,3.7182223004222448,2.7886667253166837,4.647777875527806,0.0,0.0,0.0,8.36600017595005,2.7886667253166837,0.0,0.0,0.0,0.0,0.0,0.0
ŁOMŻYŃSKI,0.0,0.0,5.581742015201103,2.0,0.0,0.0,0.0,0.0,5.581742015201103,2.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROŁĘCKI,0.0,0.0,4.418257984798897,0.0,0.0,0.0,0.0,0.0,4.418257984798897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OSTROWSKI (OSTRÓW MAZOWIECKA),0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKÓLSKI,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SUWALSKI,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
WOŁKOWYSKI,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WYSOKOMAZOWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIAŁYSTOK (MIASTO),0.0,0.0,0.2693423143868536,0.014175911283518609,0.14175911283518608,0.0,0.0,0.0,0.4111014272220397,0.014175911283518609,0.0,0.0,0.0,0.0,0.0,0.0
