District,Polish,% Polish,Ukrainian,% Ukrainian,Ruthenian,% Ruthenian,Belarusian,% Belarusian,Russian,% Russian,German,% German,Jewish,% Jewish,Hebrew,% Hebrew,Other and unknown: total,% Other: total,Minorities total (excluding Polish nationality),% Minorities total
GORLICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JASIELSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAKOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KRAKÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIMANOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIELECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYŚLENICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOSĄDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOWOTARSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROPCZYCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARNOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WADOWICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻYWIECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIALSKI (BIAŁA PODLASKA),106134.78817836005,0.9134020957321308,2116.457739248856,0.018205591573749468,120.2665524861129,0.0010344920881514617,174.9034219721196,0.001504415396539008,163.1280892136856,0.0014033549940819768,8.84105961554219,8.03359586870487e-05,6509.723603709333,0.05605875377357817,564.5660706125368,0.00487547580175589,141.39647122476237,0.0012166274933326576,9799.283008082948,0.08437904629370543
BIŁGORAJSKI,106100.0,0.907217553,2510.0,0.02146198,217.0,0.001855478,11.0,9.40565e-05,65.0,0.000555788,7.0,5.98541e-05,7837.0,0.06701097,150.0,0.001282588,54.0,0.000461732,10851.0,0.092782447
CHEŁMSKI,120805.0,0.744148084,9554.0,0.058851793,3549.0,0.021861525,350.0,0.002155969,563.0,0.00346803,6893.0,0.042460269,19061.0,0.117414069,1400.0,0.008623876,165.0,0.001016385,41535.0,0.255851916
GARWOLIŃSKI,140024.0,0.875467357,66.0,0.00041265,2.0,1.25045e-05,5.0,3.12613e-05,20.0,0.000125045,1212.0,0.007577747,17670.0,0.110477548,871.0,0.005445724,72.0,0.000450163,19918.0,0.124532643
HRUBIESZOWSKI,101394.0,0.780211916,16214.0,0.124764345,2852.0,0.021945721,58.0,0.000446301,412.0,0.003170279,365.0,0.002808621,8209.0,0.063167048,331.0,0.002546996,122.0,0.000938772,28563.0,0.219788084
JANOWSKI,142113.0,0.930558284,1006.0,0.006587305,3.0,1.9644e-05,3.0,1.9644e-05,18.0,0.000117864,2.0,1.3096e-05,8831.0,0.057825535,449.0,0.002940059,293.0,0.001918569,10605.0,0.069441716
KRASNOSTAWSKI,123204.0,0.91834316,868.0,0.006469935,186.0,0.001386415,58.0,0.000432323,100.0,0.000745384,6.0,4.47231e-05,9137.0,0.068105755,521.0,0.003883452,79.0,0.000588854,10955.0,0.08165684
LUBARTOWSKI,99918.0,0.92524377,557.0,0.005157837,71.0,0.000657462,9.0,8.33403e-05,13.0,0.00012038,1486.0,0.013760406,5755.0,0.053291478,152.0,0.001407525,30.0,0.000277801,8073.0,0.07475623
LUBELSKI,151946.0,0.929321965,55.0,0.000336387,2.0,1.22323e-05,6.0,3.66968e-05,11.0,6.72775e-05,850.0,0.005198713,10225.0,0.062537461,196.0,0.001198762,211.0,0.001290504,11556.0,0.070678035
ŁUKOWSKI,120991.0,0.937311652,28.0,0.000216915,0.0,0.0,11.0,8.52165e-05,9.0,6.97226e-05,187.0,0.00144868,7151.0,0.055398465,664.0,0.005143977,42.0,0.000325372,8092.0,0.062688348
PUŁAWSKI,150022.0,0.870869058,129.0,0.000748838,4.0,2.32198e-05,15.0,8.70741e-05,68.0,0.000394736,14.0,8.12692e-05,21074.0,0.122333355,717.0,0.004162144,224.0,0.001300307,22245.0,0.129130942
RADZYŃSKI,83811.61090047458,0.8458215428402255,311.6524605204522,0.003145176717677163,12.944031906600252,0.0001306301743066477,11.94833714455408,0.00012058162276807771,45.80195905412397,0.00046223038368993296,666.1197958088899,0.006722439160123311,10677.830628183161,0.10775999958413389,3049.8130561474286,0.0307785231849403,74.677107153463,0.0007536363869189383,14850.787375918673,0.1498732192059478
SIEDLECKI,129414.0,0.854719934,114.0,0.000752918,18.0,0.000118882,84.0,0.000554781,169.0,0.001116167,510.0,0.003368315,19979.0,0.131952104,943.0,0.006228081,180.0,0.001188817,21997.0,0.145280066
SOKOŁOWSKI,75376.0,0.897878474,39.0,0.000464568,0.0,0.0,6.0,7.1472e-05,22.0,0.000262064,69.0,0.000821928,8117.0,0.096689657,144.0,0.001715327,176.0,0.002096511,8573.0,0.102121526
TOMASZOWSKI,86612.0,0.715068855,17940.0,0.148112678,2812.0,0.023215878,41.0,0.000338496,348.0,0.002873089,3.0,2.4768e-05,12593.0,0.103967835,720.0,0.005944322,55.0,0.00045408,34512.0,0.284931145
WĘGROWSKI,79709.0,0.897745191,34.0,0.000382935,0.0,0.0,8.0,9.01023e-05,7.0,7.88395e-05,1201.0,0.013526603,7638.0,0.086025139,117.0,0.001317746,74.0,0.000833446,9079.0,0.102254809
WŁODAWSKI,86866.0,0.764894423,9077.0,0.079927091,586.0,0.005159995,412.0,0.003627846,402.0,0.003539792,2268.0,0.019970766,13537.0,0.119199408,360.0,0.003169963,58.0,0.000510716,26700.0,0.235105577
ZAMOJSKI,130530.0,0.872830128,2302.0,0.015393051,230.0,0.001537968,11.0,7.3555e-05,242.0,0.00161821,16.0,0.000106989,15417.0,0.103090646,722.0,0.004827881,78.0,0.000521572,19018.0,0.127169872
LUBLIN (MIASTO),73534.0,0.654887118,221.0,0.001968206,6.0,5.34355e-05,19.0,0.000169212,156.0,0.001389322,101.0,0.000899497,36549.0,0.325502071,1452.0,0.01293138,247.0,0.00219976,38751.0,0.345112882
BÓBRECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZOZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOBROMILSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DROHOBYCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRÓDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAROSŁAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAWOROWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOLBUSZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KROŚNIEŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LWOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MOŚCISKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIŻAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRZEMYSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRZEWORSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAWSKI (RAWA RUSKA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUDECKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RZESZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SAMBORSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SANOCKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOKALSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TARNOBRZESKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŻÓŁKIEWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBACZOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TURCZAŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRZEZIŃSKI,115905.0,0.767974398,50.0,0.000331295,2.0,1.32518e-05,6.0,3.97554e-05,58.0,0.000384302,10020.0,0.066391471,22686.0,0.150315061,2132.0,0.014126409,64.0,0.000424057,35018.0,0.232025602
KALISKI,169363.0,0.865151894,698.0,0.003565572,3.0,1.53248e-05,10.0,5.10827e-05,202.0,0.00103187,3821.0,0.019518699,20866.0,0.106589157,759.0,0.003877177,39.0,0.000199223,26398.0,0.134848106
KOLSKI,101969.0,0.854226355,36.0,0.000301583,1.0,8.37731e-06,2.0,1.67546e-05,18.0,0.000150792,7771.0,0.065100109,9212.0,0.077171819,294.0,0.00246293,67.0,0.00056128,17401.0,0.145773645
KONIŃSKI,183237.0,0.883091159,127.0,0.000612063,6.0,2.89164e-05,2.0,9.63879e-06,62.0,0.000298802,16787.0,0.080903154,6799.0,0.032767055,330.0,0.0015904,145.0,0.000698812,24258.0,0.116908841
ŁASKI,142769.0,0.830607674,47.0,0.000273439,1.0,5.81784e-06,8.0,4.65427e-05,25.0,0.000145446,10488.0,0.061017541,14440.0,0.084009658,969.0,0.00563749,3138.0,0.018256392,29116.0,0.169392326
ŁĘCZYCKI,111517.0,0.87406043,26.0,0.000203786,1.0,7.83791e-06,8.0,6.27033e-05,26.0,0.000203786,4195.0,0.032880041,10910.0,0.08551162,853.0,0.006685739,49.0,0.000384058,16068.0,0.12593957
ŁÓDZKI,120095.0,0.742835759,38.0,0.000235045,6.0,3.71124e-05,13.0,8.04102e-05,70.0,0.000432978,28450.0,0.175974665,11866.0,0.073395971,949.0,0.005869946,184.0,0.001138114,41576.0,0.257164241
ŁÓDŹ (MIASTO),356987.0,0.590423218,73.0,0.000120735,15.0,2.48086e-05,73.0,0.000120735,871.0,0.001440553,53562.0,0.0,177429.0,0.293451025,14291.0,0.023635982,1253.0,0.002072345,247567.0,0.409452739
PIOTRKOWSKI,192161.0,0.864830442,88.0,0.000396049,2.0,9.0011e-06,21.0,9.45116e-05,144.0,0.000648079,8838.0,0.039775873,19519.0,0.087846261,915.0,0.004118004,507.0,0.00228178,30034.0,0.135169558
RADOMSZCZAŃSKI,171787.0,0.92154475,49.0,0.000262859,1.0,5.36446e-06,6.0,3.21868e-05,24.0,0.000128747,2601.0,0.013952964,11614.0,0.062302856,120.0,0.000643735,210.0,0.001126537,14625.0,0.07845525
SIERADZKI,147369.0,0.876930218,29.0,0.000172567,1.0,5.95057e-06,5.0,2.97529e-05,22.0,0.000130913,5493.0,0.032686506,14462.0,0.086057209,649.0,0.003861923,21.0,0.000124962,20682.0,0.123069782
TURECKI,94370.0,0.927615153,10.0,9.82956e-05,2.0,1.96591e-05,2.0,1.96591e-05,5.0,4.91478e-05,3176.0,0.031218668,3893.0,0.03826646,262.0,0.002575344,14.0,0.000137614,7364.0,0.072384847
WIELUŃSKI,200823.0,0.937115899,67.0,0.000312647,2.0,9.33275e-06,6.0,2.79983e-05,16.0,7.4662e-05,113.0,0.000527301,12498.0,0.058320384,718.0,0.003350459,56.0,0.000261317,13476.0,0.062884101
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,826242.0,0.0,1188.0,0.0,94.0,0.0,578.0,0.0,3979.0,0.0,1892.0,0.0,313611.0,0.0,19743.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,74916.0,0.46520697,145.0,0.000900409,43.0,0.000267018,68630.0,0.426172705,1997.0,0.0124008,30.0,0.000186291,14026.0,0.087097455,1008.0,0.006259392,243.0,0.001508961,86122.0,0.53479303
BRASŁAWSKI,93958.0,0.656310029,18.0,0.000125733,464.0,0.003241106,23138.0,0.16162223,14551.0,0.10164081,114.0,0.000796306,6846.0,0.047820286,335.0,0.002340023,3737.0,0.026103478,49203.0,0.343689971
LIDZKI,145609.0,0.793574407,37.0,0.000201651,58.0,0.000316102,19821.0,0.108025179,717.0,0.003907676,13.0,7.08505e-05,12544.0,0.068365261,2002.0,0.010910974,2684.0,0.014627899,37876.0,0.206425593
NIEŚWIESKI,27933.0,0.244033058,69.0,0.00060281,288.0,0.002516075,76286.0,0.666462818,808.0,0.007058988,116.0,0.001013419,7773.0,0.067907814,981.0,0.00857038,210.0,0.001834638,86531.0,0.755966942
NOWOGRÓDZKI,35978.40596018108,0.24361813175189856,67.74217399243123,0.0004555203577350565,48.34519720578197,0.0003244662016859753,103627.1926527243,0.6953372699262028,861.3041365925918,0.005794611820058388,33.93203245561132,0.00023006062729227298,9807.239909075246,0.06590582501507944,628.204865017928,0.004248956895550747,199.07332702822725,0.0013450176763353467,115273.03429409213,0.7736417285371999
SŁONIMSKI,52313.0,0.413508814,77.0,0.000608648,248.0,0.001960319,62434.0,0.493510394,1011.0,0.007991463,26.0,0.000205517,9193.0,0.072666192,865.0,0.006837404,343.0,0.002711248,74197.0,0.586491186
STOŁPECKI,50925.59403981891,0.5123866222481014,42.25782600756876,0.00042517564226494356,19.65480279421803,0.0001977567983140247,39582.80734727569,0.3982614510737971,586.6958634074082,0.0059030261799416115,53.06796754438868,0.000533942372707727,5422.760090924754,0.05456096798492056,808.7951349820719,0.008137672104449253,231.92667297177275,0.0023335243236646533,46747.965705907875,0.4703535174628
WOŁOŻYŃSKI,76722.0,0.664133239,21.0,0.000181784,2.0,1.73127e-05,32716.0,0.283201468,524.0,0.004535933,102.0,0.000882949,5036.0,0.043593428,225.0,0.001947681,174.0,0.001506207,38800.0,0.335866761
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),89462.0,0.834510228,21.0,0.00019589,16.0,0.00014925,10369.0,0.096723039,289.0,0.00269582,5.0,4.66405e-05,5980.0,0.055782021,725.0,0.00676287,336.0,0.003134241,17741.0,0.165489772
BRZESKI (BRZEŚĆ N.BUG.),50942.60092116536,0.23868251542764363,17939.889800230692,0.08313826370857337,0.78941560728684,6.7897375418903994e-06,17023.148240883325,0.07884207398069291,3076.0699517321905,0.01425012662222809,59.039144575567946,0.0002735766811896407,28499.445768107507,0.13215498464228795,3635.6208732400346,0.01685164301330381,95508.92642162177,0.4423241211197484,165742.92961599838,0.7678415805003468
DROHICKI,6844.0,0.070527617,1493.0,0.015385408,0.0,0.0,355.0,0.003658285,1046.0,0.01077906,4.0,4.12201e-05,6427.0,0.06623042,520.0,0.005358615,80351.0,0.828019373,90196.0,0.929472383
KOBRYŃSKI,10040.0,0.088091812,21934.0,0.192450777,0.0,0.0,5208.0,0.045695434,3373.0,0.029594988,20.0,0.000175482,8697.0,0.076308216,1792.0,0.01572316,62908.0,0.551960131,103932.0,0.911908188
KOSZYRSKI,6692.0,0.070451004,8271.0,0.087074157,0.0,0.0,1136.0,0.011959405,250.0,0.002631911,200.0,0.002105529,3625.0,0.038162715,389.0,0.004095254,74425.0,0.783520024,88296.0,0.929548996
ŁUNINIECKI,16535.0,0.152167711,264.0,0.00242953,0.0,0.0,2850.0,0.026227879,596.0,0.005484848,185.0,0.001702511,6834.0,0.062891693,977.0,0.008991101,80422.0,0.740104727,92128.0,0.847832289
PIŃSKI,29077.0,0.15776566,1063.0,0.005767613,0.0,0.0,5671.0,0.030769648,4355.0,0.02362931,127.0,0.000689075,20652.0,0.11205339,4436.0,0.024068799,118924.0,0.645256504,155228.0,0.84223434
PRUŻAŃSKI,17762.0,0.163579934,301.0,0.002772073,0.0,0.0,24156.0,0.222465764,569.0,0.005240231,3.0,2.76286e-05,7424.0,0.06837166,1995.0,0.018373042,56373.0,0.519169667,90821.0,0.836420066
STOLIŃSKI,18452.0,0.147894041,2663.0,0.021344127,0.0,0.0,4681.0,0.037518535,2248.0,0.018017874,460.0,0.003686931,8663.0,0.069434537,2146.0,0.017200337,85452.0,0.684903619,106313.0,0.852105959
IWACEWICKI,8456.0,0.101032307,132.0,0.001577136,0.0,0.0,14259.0,0.170366565,686.0,0.00819633,5.0,5.974e-05,5735.0,0.068521793,565.0,0.006750621,53858.0,0.643495508,75240.0,0.898967693
BRODNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHEŁMIŃSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHOJNICKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DZIAŁDOWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KARTUSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KOŚCIERSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LUBAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
