District,Konie (sztuki),Bydło rogate (sztuki),Trzoda chlewna (sztuki),Owce i kozy (sztuki)
RAWSKI (RAWA RUSKA),19459.0,34726.0,21629.0,5195.0
RUDECKI,14146.926806356729,23961.38205223492,10427.858698745578,99.09587283802696
RZESZOWSKI,16940.729824206814,65417.39141317687,19903.3607903935,998.1155500714843
SAMBORSKI,20362.70610066248,40201.8280697149,10300.148157172274,1810.8219140182791
SANOCKI,14513.0,40396.0,8745.0,2134.0
SOKALSKI,24725.191694464535,29320.78198484699,26881.61469467433,17066.20640332237
TARNOBRZESKI,11849.0,28423.0,14153.0,355.0
ŻÓŁKIEWSKI,16906.023907446863,30263.835555872403,18438.628679013662,621.4015710170843
LUBACZOWSKI,15452.696011358306,28299.121181140672,14087.754363313212,3523.4318673068587
TURCZAŃSKI,15096.011881525515,52145.15259272211,7907.9360078458485,10328.772832768982
BRZEZIŃSKI,11821.0,31421.0,12774.0,2310.0
KALISKI,17615.0,44508.0,14890.0,3306.0
KOLSKI,16685.0,39407.0,20933.0,2257.0
KONIŃSKI,28776.0,65202.0,27423.0,9194.0
ŁASKI,15241.0,35684.0,11176.0,2344.0
ŁĘCZYCKI,18847.0,42306.0,16878.0,1159.0
ŁÓDZKI,11072.0,26218.0,6670.0,1668.0
ŁÓDŹ (MIASTO),4899.0,2028.0,867.0,596.0
PIOTRKOWSKI,23303.0,52324.0,20554.0,5707.0
RADOMSZCZAŃSKI,21963.0,49438.0,17614.0,7447.0
SIERADZKI,19060.0,48710.0,18782.0,1746.0
TURECKI,14706.0,38586.0,15013.0,1800.0
WIELUŃSKI,19387.0,50632.0,21360.0,3583.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0
BARANOWICKI,25938.0,45746.0,26705.0,25131.0
BRASŁAWSKI,28257.0,50974.0,24714.0,43630.0
LIDZKI,34552.0,68584.0,40594.0,44988.0
NIEŚWIESKI,22467.0,35236.0,27786.0,38017.0
NOWOGRÓDZKI,27019.707394337485,49957.38661292315,30048.00041138069,31745.51823704731
SŁONIMSKI,23035.0,41034.0,25089.0,40122.0
STOŁPECKI,19493.20979033816,37435.844326487626,30897.023218720547,24802.864481696575
WOŁOŻYŃSKI,18478.082815324356,37670.76906058923,31848.97636989876,23871.617281256116
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),21847.71417068431,37909.25802303482,18240.630294521667,27190.072680630758
BRZESKI (BRZEŚĆ N.BUG.),33245.52810310357,65273.05333082228,29264.176714427205,50525.49412883406
DROHICKI,16653.0,39289.0,21818.0,40481.0
KOBRYŃSKI,18217.0,63133.0,25340.0,51355.0
KOSZYRSKI,11646.0,50038.0,16797.0,49655.0
ŁUNINIECKI,19161.0,51795.0,24405.0,31521.0
PIŃSKI,28542.0,77867.0,39055.0,62630.0
PRUŻAŃSKI,18593.0,39758.0,25140.0,35486.0
STOLIŃSKI,22233.0,61992.0,26651.0,18482.0
IWACEWICKI,13944.0,34548.0,21104.0,21291.0
BRODNICKI,14101.167456518177,35731.36434253865,29331.679472041556,13608.32605224879
CHEŁMIŃSKI,10363.624283710697,24487.1398492992,23670.030964472156,19180.945997970997
CHOJNICKI,8451.083231092009,25429.54461019954,21831.936528295802,17879.570979124837
DZIAŁDOWSKI,5124.0,13873.0,9213.0,3619.0
GRUDZIĄDZ (MIASTO),116.0,180.0,35.0,0.0
GRUDZIĄDZKI,11526.88703432044,25512.778068407202,22897.211935746884,16094.587261502767
KARTUSKI,9560.501437336792,24628.121990634347,25941.08375669248,11321.127794109525
KOŚCIERSKI,8211.27151487628,22633.401565549968,22059.587030245468,13604.42985916456
LUBAWSKI,12842.195095298237,32635.33516811445,25954.3577840564,9038.63031769027
SĘPOLEŃSKI,6286.0,19941.0,19014.0,19157.0
STAROGARDZKI,10497.760540716772,25089.01394986256,22499.65177827466,11467.962898064163
ŚWIECKI,13875.472013278437,32182.547492988957,38315.8287098543,13758.110880248236
TCZEWSKI,8775.324139101665,17371.436097875565,14765.28028003874,12646.66952976761
TORUŃ (MIASTO),705.4039465494812,476.937915325846,541.21283203741,375.1337667263017
TORUŃSKI,10376.811756655738,25136.00778894933,20040.582187394488,13651.6963927469
TUCHOLSKI,7062.0177022232065,18777.700165089776,19919.51273209817,11114.758653734669
WĄBRZESKI,10226.52468863283,24662.86356406958,21242.095292841972,6030.8342354012775
MORSKI,10182.821914165817,26185.89502791006,24229.755209426356,13098.492445988613
GDYNIA (MIASTO),159.133245523427,275.91240318497375,228.1935064831727,92.7229355104893
BYDGOSKI,11707.889996840835,31398.25091246828,28224.41329362797,12226.556106770742
BYDGOSZCZ (MIASTO),1502.1100031591632,1142.7490875317176,1218.5867063720261,1169.4438932292574
CHODZIESKI,8163.0,23560.0,21999.0,6847.0
CZARNKOWSKI,6180.134920453889,16693.82610517351,18406.792911464207,5375.890989177966
GNIEŹNIEŃSKI,13619.549845253745,37496.28910026006,34246.63452678674,9799.402049226675
GOSTYŃSKI,9497.896409283156,27829.719474516805,19845.866019230172,7477.642587846957
INOWROCŁAWSKI,11405.701426716161,31717.712857937026,24095.757320392808,11689.90322472515
JAROCIŃSKI,13462.148718253113,38610.99847561584,24126.312448766927,15684.947229030067
KĘPIŃSKI,12768.772839548797,35055.006002896815,26713.508754811188,7445.919140557531
KOŚCIAŃSKI,13530.485238012785,43732.684349043506,30331.90029482041,12643.005243265226
KROTOSZYŃSKI,11886.825460346961,36403.113570069865,24329.13307032685,5870.562813116946
LESZCZYŃSKI,8957.742075014894,29668.39208814095,21965.624768974565,6285.484149238462
MIĘDZYCHODZKI,5587.0,14920.0,13298.0,3812.0
MOGILEŃSKI,17460.116911827485,45336.2532128675,34879.89542474667,17020.565581961884
NOWOTOMYSKI,12446.118632794069,36526.643606725156,38202.52483486659,13672.586192936913
OBORNICKI,9995.56156283063,28657.40994624196,31463.912881411838,9624.431018488127
OSTROWSKI (OSTRÓW WIELKOPOLSKI),11413.694104203878,38951.14627693924,24406.816573022046,6183.706340550896
POZNAŃ (MIASTO),2153.0,862.0,492.0,353.0
RAWICKI,6482.200606866248,22752.631048371008,14915.301127465766,2916.44520319912
SZAMOTULSKI,11013.0,27992.0,26092.0,13175.0
SZUBIŃSKI,9599.0,26446.0,22055.0,7497.0
ŚREDZKI,10571.0,27687.0,21825.0,7695.0
ŚREMSKI,9511.234548470171,27233.30871440598,21159.536942582083,6257.287293194794
WĄGROWIECKI,12174.0,32632.0,37622.0,9462.0
WOLSZTYŃSKI,7199.0,24322.0,20592.0,6511.0
WRZESIŃSKI,8304.0,23761.0,17568.0,4178.0
WYRZYSKI,13162.0,34788.0,32696.0,24004.0
ŻNIŃSKI,9405.313717688823,25168.456930013563,27385.129481544966,8244.691329213645
POZNAŃSKI,13416.55678356958,34116.630924835794,26997.682623763583,8033.218465036782
GNIEZNO (MIASTO),590.6476255817811,264.4901738824689,320.42731541541275,281.21437395800916
INOWROCŁAW (MIASTO),605.2985732838376,595.2871420629725,725.2426796071904,511.0967752748483
DOLIŃSKI,9292.75389269809,40056.18177326344,8449.077133130739,13674.94922746544
HORODEŃSKI,18363.176426757167,20555.416409789144,14463.912243604296,16854.91531843117
KAŁUSKI,9696.844032879906,31155.4510192265,9185.132204563142,3550.595269714633
KOŁOMYJSKI,17636.823573242833,41020.58359021086,20467.087756395704,14334.084681568831
KOSOWSKI (KOSÓW HUCULSKI),6042.0,29933.0,12076.0,52742.0
NADWÓRNIAŃSKI,11948.417036911942,37744.901325529514,15307.80930541676,20854.672446454864
ROHATYŃSKI,20386.0,39683.0,17405.0,1749.0
STANISŁAWOWSKI,15587.543878096127,40030.63488050092,13613.909790013653,2254.9302755842286
STRYJSKI,13799.68879773383,48980.42549955009,10687.937501906184,8951.463513967612
ŚNIATYŃSKI,9498.0,18599.0,10662.0,7389.0
TŁUMACKI,14982.578899747103,29690.935866902877,14344.37174008311,3102.2589136680913
ŻYDACZOWSKI,11279.55730956808,29871.39272718648,8425.985364963077,328.58725856694844
BIELSKI (BIELSKO),2495.0,14768.0,8305.0,858.0
BIELSKO (MIASTO),230.0,106.0,72.0,10.0
CIESZYŃSKI,3571.0,23883.0,16108.0,4832.0
TARNOGÓRSKI,1115.0,3878.0,2530.0,2954.0
KATOWICE (MIASTO),1220.0,489.0,2004.0,1632.0
KATOWICKI,1867.229484773606,1784.8907734962493,3822.1098557456885,6059.420860023973
LUBLINIECKI,3668.0,14233.0,6819.0,1232.0
PSZCZYŃSKI,7616.0,35588.0,16244.0,4944.0
RYBNICKI,7273.0,30119.0,20219.0,11055.0
ŚWIĘTOCHŁOWICKI,1898.8351293984656,946.9566586217335,3608.6726720449847,6004.61082909831
CHORZÓW,994.9353858279283,456.15256788201714,1578.2174722093268,1949.9683108777162
BORSZCZOWSKI,17608.253341888947,27940.51536490914,21619.30104540493,19415.43949738719
BRODZKI,15136.447964852838,32111.064317776592,28239.81420595532,6392.379434422714
BRZEŻAŃSKI,18784.010834320234,28256.238035476614,14208.554914195314,2855.1173507727526
BUCZACKI,20209.806116836255,37943.51779747064,14455.515989989979,3571.119923271698
CZORTKOWSKI,14223.063173701248,22663.03548525946,14918.093134627903,3016.2506167048323
KAMIONECKI,15557.970408896794,28887.805460487893,19749.517995206417,1772.841977271319
PODHAJECKI,16864.1018759201,28757.054701057652,12114.130958130034,1899.0140141072497
PRZEMYŚLAŃSKI,14499.0,28963.0,12543.0,910.0
RADZIECHOWSKI,14473.552035147162,24066.93568222341,24862.185794044683,11531.620565577286
SKAŁACKI,17565.90776048409,23151.731688988868,14441.517519055093,1444.0541147104645
TARNOPOLSKI,23330.211481940176,34028.16343099729,18129.688531519114,1712.8259287344047
TREMBOWELSKI,14498.818174094045,22130.689309959755,12008.689817968421,734.6440829797939
ZALESZCZYCKI,11125.323567286341,15552.098307322985,10021.28382396785,12722.5139302165
ZBARASKI,16003.0,21012.0,11071.0,4673.0
ZBOROWSKI,16195.0,28079.0,18827.0,2173.0
ZŁOCZOWSKI,17425.813989191807,34192.576998792705,19148.238631105593,2132.5500483892265
KOPYCZYNIECKI,16102.119825893491,26725.032786397816,17956.0012250647,1583.5636356932996
BŁOŃSKI,0.0,27895.0,11818.0,379.0
CIECHANOWSKI,16466.0,25200.0,12715.0,2204.0
GOSTYNIŃSKI,11993.0,31612.0,10857.0,2301.0
GRÓJECKI,21816.0,49968.0,31068.0,3125.0
KUTNOWSKI,16376.0,39758.0,15811.0,2456.0
LIPNOWSKI,17438.0,42815.0,22089.0,7047.0
ŁOWICKI,16001.0,46329.0,14078.0,2570.0
MAKOWSKI (MAKÓW MAZOWIECKI),13635.0,27399.0,14499.0,2985.0
MIŃSKI,12478.0,31873.0,18337.0,1531.0
MŁAWSKI,17637.0,39021.0,13092.0,1603.0
NIESZAWSKI,17314.0,37697.0,21240.0,5531.0
PŁOCKI,20171.0,42145.0,21224.0,2886.0
PŁOŃSKI,15785.0,36444.0,17812.0,3256.0
PRZASNYCKI,13416.0,29722.0,9215.0,2428.0
PUŁTUSKI,17598.0,41543.0,21691.0,1816.0
RADZYMIŃSKI,10061.0,23531.0,7376.0,537.0
RAWSKI (RAWA MAZOWIECKA),13074.0,32209.0,19212.0,7101.0
RYPIŃSKI,14690.0,34533.0,19826.0,5345.0
SIERPECKI,15385.0,40012.0,16286.0,2992.0
SKIERNIEWICKI,8830.0,23840.0,11547.0,2150.0
SOCHACZEWSKI,11051.0,29444.0,11706.0,362.0
WARSZAWSKI,16058.0,27709.0,11859.0,437.0
WŁOCŁAWSKI,16030.0,31850.0,16135.0,8029.0
DUBIEŃSKI,54465.0,64572.0,50081.0,4281.0
HOROCHOWSKI,37117.0,43559.0,33761.0,3799.0
KOWELSKI,48959.0,101152.0,45661.0,42232.0
KRZEMIENIECKI,58016.0,64085.0,33265.0,17823.0
LUBOMELSKI,16509.0,35601.0,13080.0,19114.0
ŁUCKI,59000.0,91824.0,59513.0,15640.0
RÓWIEŃSKI,51144.0,64753.0,50517.0,14964.0
WŁODZIMIERSKI,35675.0,45596.0,24964.0,6443.0
KOSTOPOLSKI,25992.0,71813.0,34370.0,19361.0
ZDOŁBUNOWSKI,25264.0,30308.0,26572.0,5950.0
SARNEŃSKI,23416.0,79555.0,46668.0,23153.0
OSZMIAŃSKI,19864.996150148745,39486.910100666784,26369.437467316307,30282.662385961456
ŚWIĘCIAŃSKI,28506.0,49700.0,28791.0,48288.0
WILNO (MIASTO),534.0,932.0,385.0,76.0
DZIŚNIEŃSKI,31846.0,55238.0,33492.0,49268.0
WILEJSKI,23554.0,50594.0,33452.0,27993.0
WILEŃSKO-TROCKI,38638.00384985125,77888.08989933321,57465.56253268369,43724.337614038544
POSTAWSKI,23253.0,43013.0,20693.0,37426.0
MOŁODECZAŃSKI,15893.0,31957.0,25749.0,25127.0
