District,Pszenica,Żyto,Jęczmień,Owies,Ziemniaki,Buraki cukrowe,Gryka,Proso,Kukurydza,Mieszanki na ziarno: Jęczmień,Mieszanki na ziarno: Inne mieszanki zbóż,Groch,"Fasola, bób, soczewica",Len,Konopie,Rzepak i rzepik,Chmiel,Tytoń
LESKI,3282.0,8228.0,2726.0,25883.0,8483.0,0.0,5.0,1.0,0.0,32.0,35.0,125.0,366.0,575.0,245.0,1.0,0.0,0.0
LWOWSKI,13444.0,13586.0,3997.0,11610.0,11259.0,255.0,1565.0,588.0,194.0,247.0,245.0,196.0,177.0,295.0,219.0,6.0,25.0,0.0
LWÓW (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŁAŃCUCKI,6205.90211000055,16804.272891766086,3560.260677461287,6190.899780140386,7210.390827857272,352.1847761453633,1410.3397212212133,1158.090216924575,8.350388627086565,65.37804854849333,159.94738668666935,102.43138557785949,80.74055201352411,419.3397212212133,160.99927628396452,0.9481104027048204,29.0,0.0
MOŚCISKI,7895.0,14004.0,3250.0,5636.0,7247.0,32.0,325.0,768.0,219.0,112.0,151.0,68.0,132.0,369.0,266.0,75.0,11.0,0.0
NIŻAŃSKI,3132.0,10599.0,2345.0,3372.0,6699.0,14.0,929.0,776.0,35.0,49.0,18.0,27.0,69.0,247.0,197.0,0.0,0.0,0.0
PRZEMYSKI,12480.0,14330.0,3657.0,6842.0,8739.0,395.0,45.0,128.0,80.0,105.0,70.0,176.0,155.0,28.0,96.0,42.0,0.0,0.0
PRZEWORSKI,5959.0,7327.0,1444.0,3662.0,3522.0,1250.0,68.0,223.0,19.0,138.0,92.0,60.0,34.0,6.0,28.0,44.0,0.0,0.0
RAWSKI (RAWA RUSKA),10892.0,16241.0,8020.0,9622.0,10226.0,155.0,2201.0,980.0,55.0,274.0,153.0,345.0,216.0,189.0,352.0,64.0,0.0,0.0
RUDECKI,5951.698122651899,6511.589804186752,3177.0136831871446,4545.527687080297,7052.653269882379,188.28215839225123,514.30758002936,709.5264495202731,470.7053959806281,109.00546012182966,82.24957445556238,19.819174567605394,322.06158672358765,533.1357958685851,240.80297099640552,52.520812604154294,0.0,0.0
RZESZOWSKI,14203.09788999945,21015.72710823391,6379.739322538712,10449.100219859614,10947.609172142727,103.81522385463671,63.66027877878666,336.9097830754248,16.649611372913434,445.6219514515066,140.05261331333065,210.5686144221405,225.2594479864759,63.66027877878666,95.00072371603548,45.05188959729518,0.0,0.0
SAMBORSKI,8803.954882429405,14186.48000858413,5155.303737487697,8370.48638712615,11083.16019644329,20.974282030802634,55.93141874880702,508.6263392469638,26.21785253850329,207.121035054176,74.28391552575933,79.52748603345998,310.24458837228894,334.714584074892,228.96924550292874,0.0,0.0,0.0
SANOCKI,7144.0,10236.0,5318.0,15151.0,8343.0,64.0,10.0,19.0,4.0,371.0,65.0,261.0,449.0,244.0,207.0,10.0,0.0,0.0
SOKALSKI,18592.42822203041,12439.753179880587,7756.551982749072,9447.044251611596,10279.347865727656,374.33751065507005,1222.5703805436863,963.7199742396484,14.933677286771413,391.262344913411,357.4126763967291,888.0560093200066,150.3323513534989,394.2490803707653,546.5725886958337,38.827560945605676,0.0,0.0
TARNOBRZESKI,2855.0,10726.0,3567.0,4126.0,6701.0,168.0,243.0,788.0,0.0,100.0,152.0,74.0,26.0,127.0,82.0,1.0,0.0,0.0
ŻÓŁKIEWSKI,9564.0,11858.0,3858.0,3867.0,6479.0,7169.0,10.0,1171.0,712.0,85.0,126.0,215.0,274.0,173.0,403.0,297.0,12.0,10.0
LUBACZOWSKI,6034.849884313267,13724.516423811267,3915.2087846982176,9242.039223223186,7620.580903654413,28.954404327506285,2226.3550284593834,871.8921358138304,4.849683519479717,108.02112818866618,91.8054804537733,154.71182330145942,60.20188030397358,603.553332285414,533.9457717035133,24.565208429879558,1.927526149670851,0.0
TURCZAŃSKI,667.0,4814.0,1032.0,32622.0,9671.0,0.0,1.0,0.0,0.0,25.0,17.0,45.0,363.0,805.0,146.0,0.0,0.0,0.0
BRZEZIŃSKI,2719.0,34906.0,1032.0,8260.0,13620.0,47.0,121.0,11.0,4.0,93.0,124.0,174.0,25.0,29.0,3.0,236.0,5.0,0.0
KALISKI,8757.0,36614.0,1931.0,10349.0,15024.0,1232.0,253.0,99.0,19.0,271.0,413.0,711.0,37.0,133.0,6.0,388.0,2.0,0.0
KOLSKI,6230.0,36129.0,3097.0,5008.0,13638.0,746.0,141.0,33.0,4.0,482.0,366.0,607.0,74.0,28.0,1.0,378.0,0.0,0.0
KONIŃSKI,7339.0,70525.0,5057.0,9912.0,24550.0,1162.0,367.0,30.0,20.0,963.0,691.0,763.0,69.0,60.0,8.0,258.0,6.0,0.0
ŁASKI,3150.0,40274.0,1654.0,6589.0,14239.0,42.0,227.0,234.0,23.0,221.0,237.0,205.0,86.0,86.0,4.0,188.0,0.0,0.0
ŁĘCZYCKI,9660.0,36148.0,3052.0,8118.0,13656.0,1473.0,49.0,61.0,6.0,229.0,273.0,329.0,35.0,48.0,0.0,252.0,6.0,0.0
ŁÓDZKI,1060.0,26480.0,576.0,5778.0,11434.0,0.0,70.0,9.0,2.0,131.0,47.0,40.0,21.0,37.0,0.0,185.0,0.0,0.0
ŁÓDŹ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIOTRKOWSKI,4547.0,54721.0,2830.0,11092.0,21364.0,3.0,313.0,348.0,1.0,175.0,326.0,244.0,111.0,193.0,3.0,201.0,2.0,0.0
RADOMSZCZAŃSKI,3468.0,53888.0,3983.0,9026.0,23383.0,18.0,256.0,604.0,2.0,155.0,291.0,127.0,95.0,261.0,2.0,94.0,32.0,0.0
SIERADZKI,4058.0,49265.0,1466.0,10479.0,18336.0,200.0,239.0,205.0,9.0,122.0,310.0,277.0,131.0,161.0,1.0,185.0,0.0,0.0
TURECKI,4650.0,36974.0,1450.0,7531.0,12319.0,418.0,145.0,221.0,1.0,253.0,154.0,420.0,110.0,181.0,5.0,208.0,0.0,0.0
WIELUŃSKI,2784.0,53970.0,1598.0,10892.0,21668.0,471.0,350.0,164.0,8.0,214.0,297.0,128.0,107.0,205.0,7.0,29.0,0.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARANOWICKI,3733.0,39739.0,8216.0,18220.0,16778.0,0.0,6716.0,65.0,1.0,168.0,352.0,632.0,106.0,1218.0,59.0,33.0,0.0,0.0
BRASŁAWSKI,3894.0,41358.0,8768.0,18419.0,12341.0,0.0,170.0,0.0,0.0,167.0,1108.0,4916.0,750.0,3191.0,35.0,1.0,0.0,0.0
LIDZKI,1662.0,49156.0,12732.0,22239.0,16740.0,0.0,7762.0,0.0,2.0,693.0,437.0,4379.0,231.0,2077.0,95.0,0.0,0.0,0.0
NIEŚWIESKI,4378.0,27604.0,6781.0,17479.0,14855.0,0.0,2266.0,42.0,0.0,13.0,72.0,407.0,13.0,1106.0,18.0,0.0,0.0,0.0
NOWOGRÓDZKI,6523.269397848002,34804.084938710796,8731.63141686605,18664.50243749462,14617.107385477493,0.0,3880.2057178906844,0.0,1.0172598602890985,264.6396867274644,347.1046310585023,2364.8262199883357,181.13807888231278,2830.7733685107005,211.1391507790805,8.017259860289098,0.0,0.0
SŁONIMSKI,3085.0,38071.0,6100.0,12428.0,12894.0,0.0,5591.0,28.0,0.0,167.0,105.0,1688.0,53.0,985.0,79.0,0.0,0.0,0.0
STOŁPECKI,2406.7306021519976,29270.9150612892,6071.368583133949,11131.497562505381,13044.892614522507,0.0,2687.7942821093156,0.0,0.9827401397109015,93.36031327253563,62.89536894149769,844.1737800116643,7.861921117687212,784.2266314892994,64.86084922091949,0.9827401397109015,0.0,0.0
WOŁOŻYŃSKI,1443.0,23048.0,7902.0,14618.0,10540.0,0.0,1920.0,0.0,0.0,30.0,67.0,2642.0,72.0,3029.0,202.0,1.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),1090.0,24593.0,6959.0,8944.0,9029.0,0.0,2445.0,0.0,0.0,119.0,198.0,2025.0,59.0,1065.0,41.0,6.0,0.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),7673.6545391772015,57797.99864518768,8855.742998404974,18177.334800472705,26547.490630244163,0.1500542063437795,4554.461752418603,1852.2210900654097,5.006524095927991,151.59840350235766,54.683216749421526,1399.7020598410636,213.7437469357909,1485.1837588128594,438.1547649792543,215.43348778114043,0.0,0.0
DROHICKI,2360.0,21364.0,2983.0,8699.0,11164.0,0.0,1588.0,1218.0,1.0,5.0,189.0,137.0,106.0,1136.0,54.0,8.0,0.0,0.0
KOBRYŃSKI,4755.0,35163.0,4177.0,9763.0,13834.0,0.0,2966.0,1629.0,0.0,39.0,35.0,320.0,93.0,1684.0,35.0,12.0,0.0,0.0
KOSZYRSKI,983.0,23607.0,3627.0,5627.0,11609.0,0.0,3019.0,1300.0,121.0,2.0,3.0,779.0,188.0,1450.0,966.0,0.0,0.0,0.0
ŁUNINIECKI,466.0,16799.0,1459.0,3266.0,11810.0,0.0,2532.0,1316.0,0.0,3.0,2.0,251.0,14.0,791.0,117.0,3.0,0.0,0.0
PIŃSKI,1969.0,37367.0,4467.0,13936.0,21755.0,0.0,4022.0,2772.0,0.0,11.0,49.0,137.0,211.0,1799.0,361.0,17.0,0.0,0.0
PRUŻAŃSKI,2108.0,30137.0,4314.0,8527.0,17042.0,0.0,2416.0,764.0,0.0,219.0,11.0,366.0,63.0,1095.0,12.0,36.0,0.0,0.0
STOLIŃSKI,2368.0,23308.0,2550.0,4485.0,11500.0,0.0,4011.0,3568.0,6.0,5.0,10.0,261.0,137.0,656.0,415.0,0.0,0.0,0.0
IWACEWICKI,536.0,24842.0,3373.0,6299.0,9723.0,0.0,2037.0,358.0,0.0,8.0,21.0,185.0,26.0,931.0,31.0,34.0,0.0,0.0
BRODNICKI,3363.7662777335095,21371.027225358066,5346.437392916233,2631.361470030547,8992.446623976153,598.6190542909819,2.5992707901336076,0.03926123323870437,1.2498230504707668,2058.5897616564985,1164.3559184413512,763.3158418898845,5.833981599365504,3.3948188429591766,0.0,122.71755851256793,0.0,2.889989748547136
CHEŁMIŃSKI,7736.474357125394,11159.07667282754,5433.493007411995,2467.7487016502373,6269.160439173014,3124.663448487365,81.9816481596516,3.1115434474780583,13.789255696400152,1693.6180120037266,1233.5117203153532,860.2414352893859,11.516701815586966,4.9440880826620734,0.0,48.24684745716667,0.0,105.68015912891455
CHOJNICKI,1051.5620154839307,27488.81437391313,2052.9216110451307,5248.2976370790875,10366.096171046818,18.814686335458322,813.458571915439,0.0,3.9443021845669937,544.487235382355,633.1927441196214,465.7157392952807,2.959463448105853,12.824975869833366,0.0,41.416124330015435,0.0,0.0
DZIAŁDOWSKI,658.0,19760.0,3298.0,2447.0,7924.0,15.0,131.0,0.0,0.0,1004.0,1230.0,478.0,14.0,3.0,0.0,243.0,0.0,0.0
GRUDZIĄDZ (MIASTO),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GRUDZIĄDZKI,7979.776210940848,11623.7598540486,5150.894172212462,3880.7838691099205,5817.261750342531,1640.9668553951933,27.398373256449265,0.0,10.76364663646221,2541.199119535669,891.4256441651885,1302.4012430119276,41.09755988467389,5.871079983524842,0.0,70.45295980229811,0.0,214.29441939865674
KARTUSKI,344.42956979509205,23932.69334971292,1007.9492042504874,9535.161932202003,11569.830344506525,0.0,18.77000380354725,0.0,2.8155005705320875,294.6890597156918,387.6005785432507,511.4826036466626,18.77000380354725,0.9385001901773625,0.0,4.692500950886813,0.0,0.0
KOŚCIERSKI,796.7788022702415,22203.183028202515,950.6817096791023,5602.353229076906,9255.202364197945,0.0,121.42859461517924,0.0,0.07054385088072035,758.0930530573568,840.0998817944036,609.9270854152047,0.4702923392048023,0.023514616960240115,0.0,15.477357500797954,0.0,0.0
LUBAWSKI,2232.7568939532507,19809.472631851153,4746.0495078008,3792.0359124068336,7655.166493554003,144.11081501419434,22.0969916355098,0.9607387667612955,1.921477533522591,1205.727152285426,1513.1635576490405,570.6788274562095,2.8822163002838868,6.725171367329069,0.0,123.93530091220713,0.0,0.0
SĘPOLEŃSKI,922.0,14758.0,2802.0,3950.0,5484.0,136.0,7.0,0.0,0.0,1192.0,936.0,397.0,1.0,10.0,0.0,17.0,0.0,0.0
STAROGARDZKI,2848.5322695044124,18633.966855189752,2558.9562910203226,3379.8591581989217,8607.27480683991,435.9467696438455,30.246110995621645,0.0,2.0185294349476317,1298.297021027052,707.0246079635726,800.101636407304,15.074117739790527,4.352059264005002,0.0,32.881098238322465,0.0,0.0
ŚWIECKI,4259.389903460325,27794.020390505426,5690.332065967863,4175.085029409636,12763.425252952651,904.5420791569437,16.165423216907712,0.0,2.002544972567811,2647.51171370528,1245.292846064448,536.2268509968346,33.010179890271246,10.048354478788408,0.0,40.03308464338154,0.0,13.0
TCZEWSKI,7860.0,8568.0,4470.0,3388.0,4923.0,1868.0,2.0,0.0,10.0,1895.0,754.0,1806.0,129.0,8.0,0.0,108.0,0.0,0.0
TORUŃ (MIASTO),54.48093920413046,108.31089705788439,33.58753776823633,15.778547968650015,51.001288890808326,26.403493580152556,0.1859946715361495,0.061998223845383164,0.04649866788403737,15.026819504524745,9.42373002449824,4.239128555428074,0.12399644769076633,0.015499555961345791,0.0,0.32549067518826164,0.0,0.0077497779806728955
TORUŃSKI,7058.5812732165905,13878.949390217373,4376.005721170566,2051.9894928482977,6572.568487258269,3398.7567031965955,26.146645819614363,7.826458328676559,6.287716177102354,1930.5054408536444,1217.2901554058888,558.4593716629578,15.83073471292543,2.1077599294056055,0.0,42.23583268399335,0.0,4.7702773261641305
TUCHOLSKI,1318.3668737054995,17316.661599292256,2848.363020902879,2414.3134545514886,6462.889602848515,208.6964648637524,75.17159159605713,0.0,1.0346234079175636,588.994566553472,506.1014568625338,862.844154128707,3.956238921832376,18.774610387373222,0.0,13.309908372283806,0.0,0.0
WĄBRZESKI,5977.164047826278,13903.403328639386,4375.532660719709,1929.3020059855141,6376.394916805223,1249.4796300355183,6.591075667105222,0.0,0.9415822381578888,2412.333694160511,695.8292739986798,585.6641521342068,20.714809239473553,0.9415822381578888,0.0,63.08600995657855,0.0,10.357404619736776
MORSKI,782.4582762453726,20243.243653872858,1365.072410639015,7806.649082004352,9983.783406972832,5.9652086193909915,3.7423081669434453,0.0,2.102358451717523,818.2247156131418,893.567753139211,290.13051941916643,2.7481067303782805,0.03798519286239749,0.0,10.131940329963639,0.0,0.0
GDYNIA (MIASTO),4.482289535127279,112.41674931114173,7.7236864951999165,43.28047747760674,55.498050634803604,0.03479138060900863,0.017395690304504316,0.0,0.011597126869669544,4.702634945651,5.120131512959103,1.5714106908402232,0.011597126869669544,0.0,0.0,0.05798563434834772,0.0,0.0
BYDGOSKI,4261.041580039534,23582.351609755315,5390.137803963868,3969.790610617356,9703.045994996392,914.6477361648532,9.974348267882805,0.9974348267882804,9.974348267882805,2309.0616240148693,909.6605620309117,497.7199785673519,5.984608960729682,24.93587066970701,0.0,113.70757025386396,0.0,0.0
BYDGOSZCZ (MIASTO),10.958419960465617,60.648390244683654,13.862196036132069,10.20938938264353,24.954005003607097,2.3522638351467626,0.025651732117194796,0.0025651732117194796,0.025651732117194796,5.9383759851305955,2.3394379690881655,1.2800214326480204,0.015391039270316879,0.064129330292987,0.0,0.2924297461360207,0.0,0.0
CHODZIESKI,1054.0,19107.0,2730.0,4225.0,7864.0,182.0,1.0,1.0,4.0,1477.0,276.0,249.0,3.0,8.0,0.0,6.0,0.0,0.0
CZARNKOWSKI,984.4597340201028,15979.05697212896,1652.519275379447,2425.986877221065,7045.102617185439,260.6668369603756,13.377859196790642,0.0,12.133577590371925,869.0005108811267,207.07263490904893,142.42797086200912,13.695826703742327,13.437750886629596,0.0,64.11035368555211,0.0,0.0
GNIEŹNIEŃSKI,5684.802532460039,32462.709902884635,6541.373427793778,5849.246854131251,13679.144124312283,2229.7599696560433,60.98634914958398,0.3884678674086445,23.77192118104275,3146.5215171827926,1792.8720348014526,694.5218045083167,38.75011579063559,17.294020222517148,1.0353922036404284,207.42660308333177,0.05816445449717492,0.0
GOSTYŃSKI,8139.196240449524,11790.302183923628,3977.7864624317604,5701.630622655874,7367.422475563452,2567.675940802219,16.863860561370192,12.258389649193235,38.415575447316776,1032.7459229897183,1027.3212863456558,1561.6821995893927,19.191610291181384,117.7614570913405,0.2816978532228431,217.62352552519755,0.0,0.0
INOWROCŁAWSKI,9135.057793146085,18220.603077928234,7843.771575014648,2742.992963362022,7178.323462603356,6135.590036458877,0.9902501672787083,1.9805003345574166,15.844002676459333,2293.4193874174885,1344.7597271644859,1998.3248375684334,12.873252174623207,14.853752509180625,0.0,116.84951973888758,0.0,0.0
JAROCIŃSKI,8463.516634317493,26687.363940761155,4150.179993739112,9333.685417460263,12867.808417099375,2435.1598381700123,15.940591932572278,6.5637731487062325,85.32905093318102,1468.409821553423,1371.8285880796027,994.8804729681875,17.81595568934549,5.626091270319628,0.0,364.7582506923892,0.0,0.0
KĘPIŃSKI,2753.0445401204533,30940.229396694744,1558.3955584602766,9126.319973031921,13209.171200406605,534.281131509373,83.45307996411259,6.349690866834654,49.89042823941514,812.7604309548357,522.4888484709658,165.9990612329631,9.978085647883027,23.58456607681443,0.9070986952620934,56.24011910624979,0.0,0.0
KOŚCIAŃSKI,7024.299008846005,24913.862552693445,4980.6928830234665,6487.953290935715,13260.293372931379,2036.6434407493218,24.477531494675524,22.321106817513694,103.33198533853695,1820.4882762064497,839.4350992747585,939.5967322310828,39.139792093715364,218.59493694252123,0.0036211703751815073,227.48046348495842,0.0,0.0
KROTOSZYŃSKI,9120.591743540956,17254.63398212247,4306.0894961574695,8988.117104214602,9080.556625567497,3239.424059325207,3.080474847704567,4.640380128519924,13.02846650238932,1039.449495464317,852.1223280860158,1606.0726923839507,13.149505663811674,51.36189914477225,3.728038388386398,302.66407275319403,0.0,0.0
LESZCZYŃSKI,4562.914733706477,18193.11072201728,2631.497270123866,5291.729178375839,8612.552810689125,1286.854020679538,4.627723942208595,23.50251440819255,87.94912913789054,1096.2045051996606,414.3442903072206,548.1682099110951,5.629400214336961,64.71212024688538,1.0,51.275563149957584,6.0,0.0
MIĘDZYCHODZKI,1454.0,15581.0,1415.0,2905.0,6262.0,376.0,15.0,2.0,12.0,827.0,306.0,112.0,6.0,2.0,0.0,132.0,0.0,0.0
MOGILEŃSKI,9737.287748985233,31623.532470411297,11524.791342281997,4795.542930767926,12549.716893341358,5048.986252321725,41.48304882911125,7.716992013757847,47.268076963223066,3682.1821532013105,1937.086781059956,2148.260748497013,40.51685247800877,27.975239576696012,0.9646954721462194,273.96686733986286,0.0,0.0
NOWOTOMYSKI,5246.709061108209,29693.504925565707,4162.110320116022,6031.524311706779,13839.838480098648,1960.0462096167341,17.927251917226226,7.967667518767212,57.76558951106229,2353.449793355865,614.5063573849212,984.0069385677507,8.963625958613113,100.59180242443605,1.991916879691803,93.62009334551475,91.62817646582293,0.0
OBORNICKI,3369.8570527339402,23225.31626725076,3606.1170247039468,4939.770304561291,10097.717808251075,812.8039327266439,12.572116368037724,0.21110568107297,36.871926379821296,2347.354881077124,643.0060924292429,359.17134495318516,14.867121779118927,21.090013316052833,0.0,148.168960096859,0.105552840536485,0.0
