Izba;District;Kategoria IR;Kategoria IPR;Kategoria IIR;Kategoria IIPR;Kategoria IIIR;Kategoria IIIPR;Kategoria IVR;Kategoria IVPR;RazemR;RazemPR;Handel jarmarczny - hurtR;Handel jarmarczny - hurtPR;Handel jarmarczny - detalR;Handel jarmarczny - detalPR;Karty rejestracyjneR;Karty rejestracyjnePR
Białostocka;AUGUSTOWSKI;0.0;0.0;3.0;0.0;2.0;1.0;;;5.0;1.0;;;;;;
Poleska;BARANOWICKI;0.0;0.0;4.0;1.0;1.0;1.0;0.0;0.0;5.0;2.0;0.0;0.0;0.0;0.0;22.0;10.0
Krakowska;BIALSKI (BIAŁA KRAKOWSKA);0.0;0.0;17.0;10.0;1.0;0.0;5.0;0.0;23.0;10.0;0.0;0.0;0.0;0.0;20.0;0.0
Lubelska;BIALSKI (BIAŁA PODLASKA);0.0;0.0;9.0;0.0;0.0;0.0;;;9.0;0.0;;;;;;
Białostocka;BIAŁOSTOCKI;0.0;0.0;19.0;1.0;10.0;0.0;;;29.0;1.0;;;;;;
Białostocka;BIELSKI (BIELSK PODLASKI);0.0;0.0;5.0;1.0;0.0;1.0;;;5.0;2.0;;;;;;
Śląska;BIELSKI (BIELSKO);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
;BIELSKO (MIASTO);;;;;;;;;;;;;;;;
Lubelska;BIŁGORAJSKI;0.0;0.0;1.0;1.0;0.0;0.0;;;1.0;1.0;;;;;;
Krakowska;BOCHEŃSKI;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;7.0;0.0
Lwowska;BOHORODCZAŃSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Lwowska;BORSZCZOWSKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0
Wileńska;BRASŁAWSKI;0.0;0.0;10.0;1.0;1.0;2.0;0.0;0.0;11.0;3.0;0.0;0.0;0.0;0.0;29.0;4.0
Pomorska;BRODNICKI;0.0;0.0;12.0;1.0;8.0;0.0;4.0;2.0;24.0;3.0;0.0;0.0;0.0;0.0;13.0;0.0
Lwowska;BRODZKI;0.0;0.0;10.0;0.0;6.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;49.0;0.0
Krakowska;BRZESKI (BRZESKO);0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0
Poleska;BRZESKI (BRZEŚĆ N.BUG.);0.0;0.0;1.0;1.0;3.0;1.0;1.0;2.0;4.0;3.0;0.0;0.0;1.0;1.0;36.0;8.0
Łódzka;BRZEZIŃSKI;0.0;0.0;18.0;0.0;0.0;1.0;4.0;0.0;22.0;1.0;0.0;0.0;0.0;0.0;47.0;0.0
Lwowska;BRZEŻAŃSKI;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;9.0;0.0
Lwowska;BRZOZOWSKI;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0
Lwowska;BUCZACKI;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0
Wielkopolska;BYDGOSKI;0.0;0.0;35.0;0.0;13.0;0.0;24.0;0.0;72.0;0.0;0.0;0.0;2.0;0.0;171.0;0.0
;BYDGOSZCZ (MIASTO);;;;;;;;;;;;;;;;
Lwowska;BÓBRECKI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0
Kielecka;BĘDZIŃSKI;1.0;0.0;86.0;1.0;2.0;0.0;;;89.0;1.0;;;;;;
Warszawa Okręgowa;BŁOŃSKI;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;11.0;0.0
Pomorska;CHEŁMIŃSKI;0.0;0.0;6.0;0.0;0.0;0.0;0.0;2.0;6.0;2.0;0.0;0.0;0.0;0.0;14.0;1.0
Lubelska;CHEŁMSKI;0.0;0.0;55.0;13.0;0.0;0.0;;;55.0;13.0;;;;;;
Wielkopolska;CHODZIESKI;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;19.0;0.0
Pomorska;CHOJNICKI;0.0;0.0;8.0;0.0;6.0;0.0;7.0;4.0;21.0;4.0;0.0;0.0;0.0;0.0;15.0;0.0
Krakowska;CHRZANOWSKI;0.0;0.0;3.0;1.0;9.0;0.0;0.0;0.0;12.0;1.0;0.0;0.0;0.0;0.0;26.0;0.0
