District,Konie,Bydło rogate,Trzoda chlewna,Owce,Kozy
AUGUSTOWSKI,13902.0,26583.0,25510.0,15019.0,26.0
BIAŁOSTOCKI,27646.0,50761.0,41871.0,23792.0,44.0
BIELSKI (BIELSK PODLASKI),42025.0,76324.0,64795.0,80588.0,145.0
GRODZIEŃSKI,34111.0,55445.0,41524.0,51734.0,97.0
ŁOMŻYŃSKI,31951.0,62990.0,51892.0,11507.0,59.0
OSTROŁĘCKI,20087.0,46641.0,34901.0,8485.0,29.0
OSTROWSKI (OSTRÓW MAZOWIECKA),14453.0,34394.0,29457.0,5646.0,46.0
SOKÓLSKI,24666.0,41723.0,36732.0,45896.0,16.0
SUWALSKI,20858.0,31492.0,36273.0,18943.0,70.0
SZCZUCZYŃSKI (WOJ. BIAŁOSTOCKIE),14238.0,23312.0,16558.0,5252.0,8.0
WOŁKOWYSKI,28435.0,58358.0,41210.0,66073.0,79.0
WYSOKOMAZOWIECKI,18003.0,39521.0,27328.0,4652.0,22.0
BIAŁYSTOK (MIASTO),892.0,1165.0,1935.0,71.0,117.0
BĘDZIŃSKI,5079.0,10827.0,3125.0,201.0,7193.0
CZĘSTOCHOWSKI,15152.0,45919.0,27350.0,3411.0,1872.0
IŁŻECKI,16936.0,47145.0,35490.0,1346.0,530.0
JĘDRZEJOWSKI,15683.0,35672.0,19645.0,2582.0,480.0
KIELECKI,14782.0,48223.0,16152.0,2566.0,517.0
KONECKI,10669.0,42320.0,18931.0,3113.0,419.0
KOZIENICKI,17556.0,41857.0,43712.0,1540.0,333.0
MIECHOWSKI,22732.0,49607.0,30272.0,1595.0,2093.0
OLKUSKI,12159.0,36690.0,13914.0,2359.0,3235.0
OPATOWSKI,18567.0,51960.0,40390.0,1493.0,1046.0
OPOCZYŃSKI,14046.0,38548.0,25407.0,12906.0,163.0
PIŃCZOWSKI,19523.0,41614.0,24480.0,1166.0,913.0
RADOMSKI,21801.0,54923.0,43436.0,3234.0,85.0
SANDOMIERSKI,14562.0,38623.0,31665.0,1844.0,287.0
STOPNICKI,20588.0,57238.0,30934.0,422.0,325.0
WŁOSZCZOWSKI,14261.0,33346.0,20478.0,1978.0,291.0
ZAWIERCIAŃSKI,6706.0,23814.0,5283.0,1888.0,2774.0
CZĘSTOCHOWA (MIASTO),1154.0,1443.0,1824.0,26.0,286.0
SOSNOWIEC,890.0,796.0,320.0,6.0,1810.0
RADOM (MIASTO),599.0,553.0,181.0,5.0,22.0
BIALSKI (BIAŁA KRAKOWSKA),4559.0,26940.0,17818.0,504.0,2140.0
BOCHEŃSKI,8338.0,38146.0,19004.0,426.0,785.0
BRZESKI (BRZESKO),8167.0,39081.0,18144.0,314.0,958.0
CHRZANOWSKI,4688.0,19121.0,7258.0,153.0,4728.0
DĄBROWSKI,9060.0,32534.0,18614.0,92.0,374.0
GORLICKI,8680.0,47852.0,13387.0,3654.0,2044.0
JASIELSKI,11348.060900450226,47780.090816929864,21015.294709541777,2618.1978551954267,2418.392086669325
KRAKOWSKI,11438.0,41231.0,17295.0,527.0,2125.0
KRAKÓW (MIASTO),1823.0,1318.0,791.0,22.0,537.0
LIMANOWSKI,4840.0,43086.0,9014.0,6365.0,1426.0
MIELECKI,9967.852387708097,35644.52284470746,18330.104600390157,90.52640392030307,143.25057323652354
MYŚLENICKI,7455.0,44472.0,13953.0,1779.0,1848.0
NOWOSĄDECKI,10409.0,65164.0,21658.0,7917.0,1966.0
NOWOTARSKI,12634.0,63520.0,16454.0,26903.0,1079.0
ROPCZYCKI,13871.939099549774,49761.909183070136,18330.705290458223,272.8021448045734,540.6079133306748
TARNOWSKI,10343.0,40245.0,15158.0,413.0,725.0
WADOWICKI,7717.0,51373.0,24842.0,1012.0,2937.0
ŻYWIECKI,5065.0,47576.0,12578.0,4060.0,2183.0
BIALSKI (BIAŁA PODLASKA),19569.0,36887.0,43983.0,20844.0,83.0
BIŁGORAJSKI,17287.0,43158.0,28265.0,2814.0,124.0
CHEŁMSKI,24831.0,47794.0,48072.0,1447.0,76.0
GARWOLIŃSKI,20117.0,49214.0,63841.0,2756.0,252.0
HRUBIESZOWSKI,27405.0,40965.0,45455.0,2259.0,48.0
JANOWSKI,20378.0,54373.0,47265.0,2542.0,161.0
KRASNOSTAWSKI,23078.0,47015.0,45938.0,1024.0,63.0
LUBARTOWSKI,15147.0,32550.0,50487.0,1061.0,135.0
LUBELSKI,23251.0,58886.0,64853.0,3515.0,48.0
ŁUKOWSKI,18538.0,40245.0,57126.0,5228.0,161.0
PUŁAWSKI,18788.0,44239.0,60541.0,1549.0,295.0
RADZYŃSKI,17102.0,30404.0,44600.0,5822.0,52.0
SIEDLECKI,23018.0,46647.0,54177.0,13612.0,169.0
SOKOŁOWSKI,14299.0,33028.0,33762.0,4233.0,63.0
TOMASZOWSKI,20673.0,36348.0,31026.0,532.0,114.0
WĘGROWSKI,13061.0,33814.0,28410.0,1046.0,76.0
WŁODAWSKI,22022.0,44817.0,48385.0,7851.0,108.0
ZAMOJSKI,23703.0,42202.0,35394.0,693.0,98.0
LUBLIN (MIASTO),964.0,967.0,1741.0,35.0,132.0
BÓBRECKI,12241.0,27404.0,11100.0,228.0,417.0
BRZOZOWSKI,7772.0,34882.0,8973.0,315.0,1097.0
