District,1. Number of workers in plants I-VII,2. Plants: total,3. Plants: I-III,4. Plants: IV-V,5. Plants: VI-VII,6. Plants: VIII,7. Mining: I-V,8. Mining: VI-VII,9. Mining: VIII,10. Mineral: I-V,11. Mineral: VI-VII,12. Mineral: VIII,13. Mineral: brickyards (within others),14. Mineral: concrete plants (within others),15. Metal and electrotechnical: I-V,16. Metal and electrotechnical: VI-VII,17. Metal and electrotechnical: VIII,18. Metal and electrotechnical: metal production (within others),19. Metal and electrotechnical: blacksmithing (within others),"20. Metal and electrotechnical: locksmithing, repairs (within others)",21. Metal and electrotechnical: tinsmithing (within others),22. Metal and electrotechnical: watchmaking and jewelry (within others),23. Chemical: I-V,24. Chemical: VI-VII,25. Chemical: VIII,26. Chemical: oil mills (within others),27. Textile: I-V,28. Textile: VI-VII,29. Textile: VIII,30. Paper: I-V,31. Paper: VI-VII,32. Paper: VIII,33. Leather: I-V,34. Leather: VI-VII,35. Leather: VIII,36. Leather: tanning and white leather (within others),37. Leather: saddlery and harness making (within others),38. Wood: I-V,39. Wood: VI-VII,40. Wood: VIII,41. Wood: sawmills (within others),42. Wood: carpentry (within others),43. Wood: wheelwrighting (within others),44. Food: I-V,45. Food: VI-VII,46. Food: VIII,47. Food: mills (within others),48. Food: bakeries (within others),49. Food: dairies (within others),50. Food: butchery and meat processing (within others),51. Clothing: I-V,52. Clothing: VI-VII,53. Clothing: VIII,54. Clothing: tailoring and clothing accessories (within others),55. Clothing: shoemaking and boot making (within others),56. Clothing: furriery (within others),57. Printing: I-V,58. Printing: VI-VII,59. Printing: VIII,60. Printing: printing houses (within others),61. Construction: I-V,62. Construction: VI-VII,63. Construction: VIII,64. Processing of various materials: VII,65. Processing of various materials: VIII,66. Power plants: I-V,67. Power plants: VI-VII,68. Power plants: VIII,69. Services: V-VII,70. Services: VIII,71. Services: hairdressing (within others),72. Services: transport (within others),73. Horticulture and fisheries: V-VII,74. Horticulture and fisheries: VIII,75. Other plants: VIII
KALISKI,3193.0,1642.0,5.0,43.0,149.0,1445.0,0.0,0.0,0.0,7.0,8.0,23.0,0.0,19.0,1.0,6.0,147.0,6.0,58.0,45.0,13.0,13.0,1.0,7.0,19.0,9.0,8.0,51.0,81.0,1.0,0.0,8.0,2.0,2.0,23.0,5.0,10.0,4.0,5.0,69.0,2.0,45.0,9.0,21.0,43.0,386.0,61.0,98.0,36.0,151.0,2.0,21.0,460.0,214.0,129.0,18.0,1.0,3.0,31.0,11.0,0.0,1.0,25.0,1.0,17.0,0.0,0.0,3.0,1.0,151.0,104.0,32.0,0.0,2.0,0.0
KOLSKI,492.0,1048.0,1.0,14.0,42.0,991.0,0.0,0.0,0.0,2.0,6.0,16.0,4.0,0.0,0.0,2.0,121.0,3.0,66.0,23.0,11.0,16.0,0.0,3.0,15.0,13.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,8.0,1.0,7.0,0.0,5.0,66.0,1.0,39.0,13.0,12.0,23.0,344.0,35.0,71.0,63.0,151.0,0.0,2.0,269.0,157.0,87.0,2.0,0.0,0.0,13.0,4.0,0.0,1.0,27.0,0.0,9.0,0.0,0.0,3.0,0.0,85.0,40.0,39.0,0.0,2.0,4.0
KONIŃSKI,496.0,1714.0,2.0,21.0,78.0,1613.0,0.0,4.0,1.0,2.0,7.0,52.0,12.0,34.0,0.0,3.0,197.0,3.0,117.0,37.0,19.0,20.0,0.0,1.0,20.0,18.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,12.0,4.0,7.0,2.0,10.0,133.0,4.0,75.0,39.0,19.0,44.0,581.0,69.0,108.0,120.0,260.0,0.0,2.0,400.0,218.0,143.0,4.0,0.0,1.0,14.0,5.0,0.0,4.0,55.0,0.0,20.0,0.0,0.0,3.0,0.0,96.0,59.0,30.0,1.0,3.0,7.0
ŁASKI,10476.0,1550.0,9.0,87.0,179.0,1275.0,0.0,0.0,0.0,9.0,9.0,21.0,5.0,9.0,3.0,3.0,116.0,4.0,71.0,22.0,6.0,7.0,1.0,1.0,7.0,6.0,67.0,93.0,277.0,2.0,0.0,1.0,1.0,5.0,29.0,20.0,6.0,3.0,9.0,59.0,3.0,42.0,6.0,7.0,44.0,321.0,21.0,103.0,23.0,149.0,0.0,3.0,262.0,146.0,68.0,3.0,0.0,2.0,19.0,6.0,3.0,6.0,43.0,0.0,12.0,0.0,2.0,3.0,2.0,104.0,76.0,17.0,0.0,1.0,0.0
ŁĘCZYCKI,2827.0,1068.0,2.0,19.0,57.0,990.0,0.0,0.0,5.0,0.0,2.0,17.0,8.0,5.0,0.0,1.0,108.0,3.0,66.0,18.0,8.0,11.0,0.0,0.0,10.0,6.0,7.0,11.0,160.0,0.0,1.0,1.0,0.0,0.0,14.0,8.0,5.0,1.0,4.0,56.0,0.0,30.0,16.0,13.0,35.0,246.0,19.0,83.0,28.0,102.0,0.0,2.0,258.0,167.0,58.0,2.0,0.0,0.0,8.0,1.0,0.0,1.0,14.0,0.0,7.0,0.0,0.0,3.0,0.0,80.0,60.0,12.0,0.0,3.0,0.0
ŁÓDZKI,8040.0,1837.0,10.0,66.0,256.0,1505.0,0.0,0.0,0.0,15.0,10.0,29.0,1.0,24.0,1.0,7.0,112.0,1.0,57.0,32.0,11.0,6.0,1.0,1.0,15.0,4.0,46.0,184.0,526.0,1.0,1.0,13.0,1.0,3.0,10.0,2.0,8.0,1.0,9.0,80.0,0.0,60.0,6.0,6.0,24.0,390.0,10.0,140.0,2.0,216.0,0.0,2.0,116.0,45.0,50.0,0.0,1.0,1.0,12.0,5.0,0.0,11.0,37.0,1.0,8.0,1.0,1.0,0.0,1.0,149.0,124.0,14.0,2.0,8.0,0.0
ŁÓDŹ (MIASTO),87430.0,8426.0,75.0,500.0,1223.0,6628.0,0.0,0.0,0.0,8.0,16.0,44.0,1.0,6.0,37.0,95.0,572.0,96.0,56.0,178.0,63.0,103.0,5.0,36.0,160.0,12.0,433.0,645.0,1613.0,11.0,27.0,54.0,6.0,10.0,63.0,6.0,26.0,14.0,49.0,343.0,0.0,223.0,4.0,26.0,101.0,697.0,13.0,276.0,3.0,248.0,5.0,98.0,1700.0,703.0,341.0,70.0,8.0,22.0,194.0,70.0,21.0,78.0,164.0,3.0,154.0,1.0,0.0,1.0,43.0,836.0,647.0,39.0,0.0,21.0,12.0
PIOTRKOWSKI,5120.0,1291.0,4.0,36.0,159.0,1092.0,0.0,1.0,1.0,8.0,10.0,22.0,1.0,10.0,1.0,3.0,75.0,1.0,26.0,21.0,6.0,18.0,1.0,2.0,16.0,13.0,12.0,34.0,58.0,0.0,1.0,0.0,0.0,0.0,24.0,5.0,10.0,8.0,19.0,60.0,6.0,31.0,5.0,8.0,81.0,354.0,34.0,105.0,35.0,151.0,0.0,3.0,311.0,171.0,93.0,2.0,1.0,3.0,27.0,8.0,0.0,1.0,24.0,0.0,17.0,1.0,0.0,0.0,1.0,93.0,79.0,6.0,0.0,4.0,6.0
RADOMSZCZAŃSKI,3510.0,767.0,2.0,25.0,107.0,633.0,0.0,0.0,1.0,2.0,13.0,16.0,5.0,4.0,7.0,1.0,32.0,0.0,12.0,6.0,2.0,11.0,0.0,0.0,13.0,6.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,10.0,2.0,7.0,11.0,21.0,89.0,11.0,65.0,0.0,5.0,66.0,246.0,27.0,74.0,46.0,82.0,1.0,4.0,147.0,75.0,57.0,2.0,0.0,2.0,8.0,2.0,0.0,0.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,43.0,34.0,1.0,0.0,0.0,5.0
SIERADZKI,1659.0,1420.0,2.0,39.0,195.0,1184.0,0.0,0.0,1.0,2.0,11.0,26.0,7.0,15.0,1.0,4.0,116.0,2.0,54.0,30.0,15.0,12.0,1.0,2.0,14.0,7.0,20.0,132.0,106.0,0.0,0.0,0.0,0.0,3.0,19.0,6.0,9.0,0.0,13.0,84.0,4.0,52.0,11.0,15.0,23.0,377.0,27.0,116.0,29.0,183.0,0.0,3.0,294.0,149.0,110.0,0.0,0.0,1.0,14.0,6.0,1.0,1.0,24.0,0.0,7.0,1.0,1.0,2.0,0.0,88.0,44.0,34.0,1.0,10.0,2.0
TURECKI,176.0,593.0,0.0,4.0,49.0,540.0,0.0,0.0,0.0,0.0,3.0,11.0,7.0,1.0,0.0,0.0,59.0,0.0,37.0,10.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,24.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,3.0,37.0,0.0,15.0,5.0,4.0,19.0,263.0,21.0,46.0,36.0,153.0,0.0,0.0,85.0,54.0,19.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,0.0,4.0,0.0,0.0,1.0,0.0,34.0,18.0,14.0,0.0,1.0,1.0
WIELUŃSKI,589.0,989.0,1.0,9.0,77.0,902.0,0.0,0.0,5.0,1.0,6.0,50.0,7.0,30.0,0.0,0.0,88.0,0.0,48.0,19.0,6.0,13.0,0.0,0.0,19.0,11.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,3.0,12.0,9.0,3.0,1.0,18.0,61.0,5.0,40.0,6.0,8.0,45.0,313.0,32.0,104.0,28.0,129.0,0.0,3.0,253.0,117.0,91.0,3.0,0.0,0.0,9.0,3.0,0.0,1.0,21.0,0.0,6.0,0.0,0.0,3.0,1.0,43.0,34.0,6.0,0.0,0.0,0.0
POŁUDNIOWO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PÓŁNOCNO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRASKO-WARSZAWSKI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ŚRÓDMIEJSKO-WARSZAWSKI,62686.0,16646.0,62.0,762.0,2067.0,13755.0,0.0,6.0,13.0,17.0,38.0,136.0,0.0,18.0,221.0,336.0,2009.0,468.0,97.0,544.0,139.0,381.0,71.0,145.0,384.0,3.0,52.0,98.0,846.0,26.0,78.0,200.0,32.0,61.0,402.0,14.0,61.0,27.0,94.0,772.0,1.0,521.0,16.0,81.0,230.0,829.0,8.0,254.0,27.0,158.0,54.0,513.0,4391.0,1869.0,858.0,264.0,76.0,119.0,588.0,220.0,150.0,198.0,449.0,3.0,504.0,1.0,0.0,0.0,158.0,2084.0,1353.0,333.0,6.0,67.0,81.0
BARANOWICKI,862.0,904.0,2.0,10.0,82.0,810.0,0.0,2.0,0.0,2.0,4.0,17.0,7.0,7.0,0.0,1.0,91.0,1.0,32.0,27.0,9.0,15.0,0.0,3.0,18.0,0.0,0.0,1.0,15.0,0.0,0.0,6.0,0.0,0.0,27.0,7.0,16.0,6.0,16.0,48.0,0.0,0.0,3.0,3.0,50.0,199.0,61.0,36.0,67.0,18.0,0.0,2.0,237.0,122.0,79.0,4.0,0.0,1.0,15.0,4.0,0.0,1.0,25.0,0.0,6.0,1.0,1.0,3.0,0.0,93.0,42.0,44.0,0.0,4.0,6.0
BRASŁAWSKI,329.0,364.0,0.0,3.0,54.0,307.0,0.0,0.0,0.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,24.0,0.0,7.0,4.0,4.0,9.0,0.0,2.0,5.0,3.0,0.0,1.0,14.0,0.0,1.0,1.0,0.0,0.0,11.0,9.0,2.0,3.0,4.0,11.0,2.0,5.0,0.0,0.0,28.0,84.0,14.0,37.0,15.0,9.0,0.0,1.0,79.0,58.0,16.0,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,23.0,18.0,3.0,17.0,24.0,0.0
LIDZKI,2120.0,726.0,2.0,15.0,84.0,625.0,0.0,0.0,1.0,1.0,7.0,11.0,2.0,4.0,3.0,1.0,110.0,1.0,49.0,28.0,10.0,18.0,2.0,6.0,21.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,6.0,5.0,16.0,34.0,4.0,15.0,4.0,5.0,50.0,157.0,37.0,43.0,39.0,24.0,0.0,0.0,188.0,100.0,66.0,2.0,0.0,0.0,14.0,3.0,0.0,0.0,6.0,0.0,14.0,0.0,0.0,4.0,2.0,45.0,32.0,6.0,1.0,2.0,2.0
NIEŚWIESKI,310.0,592.0,0.0,4.0,53.0,535.0,0.0,0.0,0.0,0.0,1.0,28.0,9.0,13.0,0.0,0.0,63.0,0.0,40.0,6.0,7.0,10.0,0.0,0.0,10.0,6.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,5.0,1.0,8.0,24.0,2.0,18.0,2.0,3.0,40.0,232.0,99.0,38.0,64.0,17.0,0.0,0.0,111.0,59.0,37.0,0.0,0.0,0.0,11.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,2.0,0.0,32.0,29.0,1.0,0.0,1.0,1.0
NOWOGRÓDZKI,321.0,627.0,0.0,3.0,87.0,537.0,0.0,0.0,0.0,0.0,1.0,44.0,26.0,9.0,0.0,0.0,73.0,1.0,43.0,11.0,6.0,11.0,0.0,0.0,20.0,3.0,0.0,2.0,6.0,0.0,0.0,1.0,0.0,0.0,13.0,5.0,7.0,1.0,12.0,22.0,0.0,18.0,0.0,2.0,70.0,144.0,40.0,47.0,24.0,14.0,0.0,0.0,156.0,77.0,56.0,0.0,0.0,0.0,11.0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,7.0,0.0,33.0,24.0,4.0,0.0,1.0,1.0
SŁONIMSKI,595.0,691.0,0.0,7.0,91.0,593.0,0.0,0.0,0.0,0.0,7.0,19.0,8.0,10.0,0.0,0.0,84.0,3.0,46.0,18.0,6.0,7.0,0.0,1.0,23.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,24.0,12.0,8.0,5.0,20.0,46.0,9.0,31.0,0.0,1.0,60.0,108.0,28.0,47.0,4.0,13.0,0.0,2.0,200.0,97.0,76.0,1.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,0.0,50.0,31.0,14.0,0.0,6.0,0.0
STOŁPECKI,472.0,460.0,0.0,4.0,68.0,388.0,0.0,0.0,0.0,0.0,5.0,20.0,9.0,8.0,0.0,0.0,50.0,0.0,28.0,6.0,6.0,10.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,4.0,3.0,8.0,25.0,2.0,12.0,2.0,1.0,51.0,105.0,22.0,34.0,29.0,13.0,0.0,0.0,130.0,67.0,46.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0,0.0,0.0,23.0,20.0,1.0,0.0,2.0,1.0
WOŁOŻYŃSKI,305.0,309.0,0.0,5.0,47.0,257.0,0.0,0.0,0.0,0.0,2.0,12.0,5.0,1.0,0.0,0.0,35.0,0.0,22.0,4.0,2.0,7.0,0.0,0.0,17.0,4.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,9.0,3.0,6.0,5.0,17.0,11.0,4.0,2.0,1.0,0.0,28.0,80.0,18.0,25.0,10.0,14.0,0.0,0.0,59.0,28.0,22.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0
SZCZUCZYŃSKI (WOJ. NOWOGRÓDZKIE),445.0,493.0,0.0,3.0,36.0,454.0,0.0,0.0,0.0,0.0,0.0,13.0,5.0,5.0,0.0,0.0,61.0,0.0,47.0,4.0,4.0,5.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,6.0,7.0,3.0,16.0,39.0,1.0,24.0,2.0,0.0,20.0,89.0,18.0,30.0,24.0,10.0,0.0,0.0,172.0,107.0,55.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,19.0,0.0,5.0,0.0,0.0,3.0,0.0,23.0,15.0,5.0,0.0,1.0,0.0
BRZESKI (BRZEŚĆ N.BUG.),861.0,1410.0,0.0,15.0,88.0,1307.0,0.0,0.0,0.0,2.0,1.0,40.0,19.0,15.0,0.0,1.0,179.0,6.0,53.0,54.0,17.0,35.0,0.0,4.0,32.0,9.0,0.0,3.0,27.0,0.0,0.0,9.0,1.0,1.0,37.0,0.0,27.0,6.0,10.0,124.0,3.0,76.0,21.0,3.0,55.0,188.0,50.0,60.0,17.0,32.0,0.0,2.0,497.0,229.0,184.0,17.0,0.0,2.0,29.0,9.0,2.0,1.0,18.0,0.0,25.0,1.0,2.0,1.0,2.0,92.0,69.0,8.0,4.0,4.0,5.0
DROHICKI,155.0,437.0,0.0,1.0,41.0,395.0,0.0,0.0,0.0,0.0,3.0,19.0,11.0,8.0,0.0,0.0,54.0,0.0,46.0,4.0,3.0,1.0,0.0,2.0,7.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,11.0,1.0,7.0,20.0,0.0,13.0,0.0,0.0,26.0,120.0,72.0,10.0,17.0,16.0,0.0,0.0,116.0,37.0,58.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,3.0,0.0,1.0,1.0,0.0,14.0,12.0,2.0,2.0,0.0,0.0
KOBRYŃSKI,199.0,430.0,0.0,1.0,45.0,384.0,0.0,0.0,0.0,0.0,3.0,15.0,3.0,11.0,0.0,1.0,60.0,0.0,40.0,9.0,3.0,7.0,0.0,0.0,5.0,2.0,0.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,12.0,1.0,10.0,0.0,4.0,17.0,1.0,11.0,1.0,1.0,30.0,85.0,26.0,26.0,17.0,10.0,0.0,3.0,149.0,51.0,64.0,20.0,0.0,0.0,9.0,2.0,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,14.0,0.0,1.0,1.0,0.0
KOSZYRSKI,245.0,205.0,0.0,0.0,33.0,172.0,0.0,0.0,0.0,0.0,1.0,10.0,8.0,2.0,0.0,0.0,23.0,0.0,18.0,2.0,0.0,3.0,0.0,1.0,9.0,8.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,0.0,18.0,5.0,1.0,3.0,1.0,0.0,11.0,39.0,17.0,9.0,3.0,7.0,0.0,0.0,60.0,23.0,19.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,5.0,1.0,0.0,2.0,0.0
ŁUNINIECKI,1557.0,545.0,2.0,10.0,48.0,485.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,1.0,0.0,0.0,82.0,0.0,59.0,4.0,7.0,11.0,0.0,1.0,19.0,4.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,8.0,11.0,30.0,31.0,10.0,20.0,0.0,0.0,14.0,75.0,34.0,19.0,5.0,14.0,0.0,0.0,164.0,73.0,69.0,1.0,0.0,1.0,7.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,1.0,3.0,0.0,24.0,20.0,2.0,0.0,7.0,39.0
PIŃSKI,1612.0,966.0,2.0,11.0,65.0,888.0,0.0,0.0,0.0,0.0,2.0,21.0,10.0,8.0,0.0,0.0,102.0,1.0,46.0,21.0,9.0,21.0,0.0,6.0,13.0,1.0,0.0,0.0,19.0,0.0,0.0,3.0,0.0,0.0,16.0,1.0,12.0,9.0,33.0,49.0,6.0,25.0,2.0,3.0,17.0,164.0,70.0,40.0,10.0,23.0,0.0,3.0,305.0,142.0,114.0,13.0,0.0,1.0,20.0,7.0,0.0,1.0,3.0,0.0,13.0,1.0,0.0,0.0,2.0,145.0,43.0,89.0,0.0,1.0,14.0
PRUŻAŃSKI,167.0,632.0,0.0,0.0,47.0,585.0,0.0,0.0,0.0,0.0,2.0,22.0,11.0,7.0,0.0,0.0,96.0,0.0,66.0,17.0,3.0,8.0,0.0,1.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,16.0,0.0,9.0,33.0,0.0,23.0,1.0,0.0,30.0,120.0,42.0,30.0,19.0,19.0,0.0,0.0,220.0,95.0,99.0,2.0,0.0,0.0,14.0,2.0,0.0,4.0,10.0,0.0,5.0,0.0,0.0,1.0,1.0,31.0,21.0,5.0,0.0,0.0,1.0
STOLIŃSKI,515.0,577.0,0.0,4.0,63.0,510.0,0.0,0.0,0.0,0.0,4.0,17.0,7.0,2.0,0.0,1.0,62.0,1.0,45.0,1.0,9.0,6.0,0.0,3.0,7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,9.0,4.0,35.0,53.0,2.0,37.0,0.0,0.0,15.0,79.0,40.0,5.0,19.0,13.0,0.0,0.0,206.0,79.0,115.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,2.0,15.0,14.0,0.0,3.0,6.0,19.0
IWACEWICKI,561.0,397.0,0.0,6.0,42.0,349.0,0.0,0.0,0.0,0.0,0.0,25.0,16.0,8.0,0.0,0.0,52.0,0.0,38.0,5.0,3.0,4.0,0.0,4.0,11.0,2.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,9.0,4.0,20.0,21.0,3.0,14.0,3.0,1.0,14.0,52.0,5.0,16.0,19.0,7.0,0.0,0.0,116.0,54.0,49.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,0.0,6.0,0.0,0.0,3.0,2.0,14.0,9.0,3.0,0.0,0.0,8.0
BRODNICKI,247.0,638.0,0.0,8.0,50.0,580.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,1.0,0.0,3.0,118.0,0.0,78.0,29.0,2.0,7.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,10.0,0.0,8.0,66.0,0.0,38.0,20.0,6.0,28.0,147.0,23.0,30.0,16.0,69.0,0.0,1.0,100.0,48.0,46.0,0.0,0.0,0.0,6.0,3.0,0.0,5.0,24.0,2.0,11.0,0.0,0.0,0.0,0.0,48.0,24.0,19.0,0.0,22.0,12.0
CHEŁMIŃSKI,557.0,498.0,1.0,8.0,29.0,460.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,2.0,1.0,2.0,80.0,1.0,56.0,16.0,1.0,6.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,11.0,1.0,5.0,49.0,1.0,17.0,23.0,4.0,17.0,124.0,27.0,17.0,21.0,44.0,0.0,0.0,89.0,44.0,38.0,1.0,0.0,1.0,10.0,5.0,0.0,2.0,17.0,0.0,9.0,0.0,0.0,0.0,2.0,28.0,19.0,4.0,1.0,13.0,21.0
CHOJNICKI,542.0,806.0,0.0,17.0,66.0,723.0,0.0,0.0,0.0,1.0,7.0,11.0,5.0,5.0,0.0,1.0,108.0,1.0,61.0,27.0,4.0,9.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,12.0,6.0,15.0,122.0,8.0,77.0,28.0,9.0,37.0,165.0,11.0,58.0,11.0,75.0,0.0,0.0,159.0,66.0,79.0,1.0,0.0,1.0,8.0,3.0,0.0,3.0,36.0,1.0,21.0,0.0,0.0,2.0,0.0,50.0,32.0,10.0,0.0,20.0,2.0
DZIAŁDOWSKI,224.0,435.0,0.0,7.0,46.0,382.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,2.0,0.0,1.0,74.0,0.0,53.0,11.0,2.0,7.0,0.0,0.0,6.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,2.0,6.0,46.0,4.0,26.0,13.0,4.0,35.0,126.0,7.0,28.0,17.0,67.0,0.0,0.0,59.0,24.0,29.0,0.0,0.0,0.0,6.0,2.0,0.0,2.0,7.0,0.0,6.0,0.0,0.0,1.0,0.0,30.0,17.0,9.0,1.0,8.0,0.0
GRUDZIĄDZ (MIASTO),1879.0,639.0,4.0,18.0,41.0,576.0,0.0,0.0,0.0,4.0,0.0,8.0,5.0,1.0,3.0,6.0,75.0,4.0,7.0,32.0,7.0,12.0,1.0,1.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,6.0,2.0,4.0,2.0,5.0,39.0,1.0,27.0,3.0,8.0,9.0,117.0,1.0,45.0,1.0,44.0,0.0,2.0,123.0,57.0,43.0,1.0,2.0,5.0,19.0,4.0,1.0,12.0,36.0,0.0,18.0,0.0,0.0,2.0,1.0,96.0,55.0,22.0,1.0,10.0,5.0
GRUDZIĄDZKI,762.0,395.0,1.0,6.0,21.0,367.0,0.0,2.0,0.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,74.0,0.0,57.0,8.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,2.0,38.0,1.0,16.0,21.0,6.0,15.0,88.0,25.0,16.0,18.0,27.0,0.0,0.0,69.0,24.0,41.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,0.0,1.0,0.0,25.0,12.0,9.0,1.0,22.0,17.0
KARTUSKI,371.0,451.0,0.0,9.0,31.0,411.0,1.0,0.0,0.0,5.0,4.0,11.0,4.0,2.0,0.0,0.0,90.0,1.0,68.0,13.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,5.0,81.0,8.0,46.0,26.0,3.0,21.0,89.0,10.0,26.0,1.0,47.0,0.0,0.0,82.0,31.0,51.0,0.0,0.0,1.0,7.0,1.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,1.0,0.0,26.0,15.0,6.0,0.0,6.0,0.0
